Season,Team,Matches_x,HomeWins,HomeDraws,HomeLosses,HomeGoalsScored,HomeGoalsConceded,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,Matches_y,AwayWins,AwayDraws,AwayLosses,AwayGoalsScored,AwayGoalsConceded,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDifference,Points,GoalsPerMatch,ConcededPerMatch,ShotsPerMatch,ShotsOnTargetPerMatch,CornersPerMatch,FoulsPerMatch,YellowCardsPerMatch,RedCardsPerMatch,HomeWinRate,AwayWinRate,WinRate
2000/01,Arsenal,19,15,3,1,45,13,323,189,176,248,17,1,19,5,7,7,18,25,217,106,119,247,31,2,38,20,10,8,63,38,25,70,1.6578947368421053,1.0,14.210526315789474,7.7631578947368425,7.7631578947368425,13.026315789473685,1.263157894736842,0.07894736842105263,0.7894736842105263,0.2631578947368421,0.5263157894736842
2000/01,Aston Villa,19,8,8,3,27,20,183,88,111,205,24,1,19,5,7,7,19,23,166,77,75,286,42,2,38,13,15,10,46,43,3,54,1.2105263157894737,1.131578947368421,9.18421052631579,4.342105263157895,4.894736842105263,12.921052631578947,1.736842105263158,0.07894736842105263,0.42105263157894735,0.2631578947368421,0.34210526315789475
2000/01,Bradford,19,4,7,8,20,29,221,101,108,255,27,0,19,1,4,14,10,41,150,73,71,262,30,1,38,5,11,22,30,70,-40,26,0.7894736842105263,1.8421052631578947,9.763157894736842,4.578947368421052,4.7105263157894735,13.605263157894736,1.5,0.02631578947368421,0.21052631578947367,0.05263157894736842,0.13157894736842105
2000/01,Charlton,19,11,5,3,31,19,206,119,114,233,24,2,19,3,5,11,19,38,167,98,99,234,20,1,38,14,10,14,50,57,-7,52,1.3157894736842106,1.5,9.81578947368421,5.7105263157894735,5.605263157894737,12.289473684210526,1.1578947368421053,0.07894736842105263,0.5789473684210527,0.15789473684210525,0.3684210526315789
2000/01,Chelsea,19,13,3,3,44,20,280,136,118,257,30,0,19,4,7,8,24,25,224,104,94,288,45,2,38,17,10,11,68,45,23,61,1.7894736842105263,1.1842105263157894,13.263157894736842,6.315789473684211,5.578947368421052,14.342105263157896,1.9736842105263157,0.05263157894736842,0.6842105263157895,0.21052631578947367,0.4473684210526316
2000/01,Coventry,19,4,7,8,14,23,213,95,127,247,25,3,19,4,3,12,22,40,176,82,79,282,51,1,38,8,10,20,36,63,-27,34,0.9473684210526315,1.6578947368421053,10.236842105263158,4.657894736842105,5.421052631578948,13.921052631578947,2.0,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.21052631578947367
2000/01,Derby,19,8,7,4,23,24,148,65,80,270,37,1,19,2,5,12,14,35,157,76,79,259,39,1,38,10,12,16,37,59,-22,42,0.9736842105263158,1.5526315789473684,8.026315789473685,3.710526315789474,4.184210526315789,13.921052631578947,2.0,0.05263157894736842,0.42105263157894735,0.10526315789473684,0.2631578947368421
2000/01,Everton,19,6,8,5,29,27,229,117,110,266,37,2,19,5,1,13,16,32,165,78,93,292,37,3,38,11,9,18,45,59,-14,42,1.1842105263157894,1.5526315789473684,10.368421052631579,5.131578947368421,5.342105263157895,14.68421052631579,1.9473684210526316,0.13157894736842105,0.3157894736842105,0.2631578947368421,0.2894736842105263
2000/01,Ipswich,19,11,5,3,31,15,298,141,124,199,10,1,19,9,1,9,26,27,193,85,82,215,21,1,38,20,6,12,57,42,15,66,1.5,1.105263157894737,12.921052631578947,5.947368421052632,5.421052631578948,10.894736842105264,0.8157894736842105,0.05263157894736842,0.5789473684210527,0.47368421052631576,0.5263157894736842
2000/01,Leeds,19,11,3,5,36,21,281,132,169,300,30,0,19,9,5,5,28,22,194,96,101,289,42,3,38,20,8,10,64,43,21,68,1.6842105263157894,1.131578947368421,12.5,6.0,7.105263157894737,15.5,1.894736842105263,0.07894736842105263,0.5789473684210527,0.47368421052631576,0.5263157894736842
2000/01,Leicester,19,10,4,5,28,23,199,97,99,188,24,1,19,4,2,13,11,28,127,62,75,238,32,1,38,14,6,18,39,51,-12,48,1.0263157894736843,1.3421052631578947,8.578947368421053,4.184210526315789,4.578947368421052,11.210526315789474,1.4736842105263157,0.05263157894736842,0.5263157894736842,0.21052631578947367,0.3684210526315789
