position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1988-03-25,Kevin Hitchcock,185,26168,['England'],,Mansfield Town,30,1962-05-10,Retired,,,False,
Goalkeeper,,,1989-01-14,Dave Beasant,193,10384,['England'],,Newcastle United,34,1959-03-20,Retired,,,False,
Goalkeeper,right,,1992-12-22,Dmitriy Kharin,188,67109,['Russia'],,: Ablöse €400k,24,1968-08-16,Retired,,,False,
Goalkeeper,,,1993-01-01,Gerry Peyton,188,104115,"['Ireland', 'England']",,: Ablöse ?,37,1956-05-20,Retired,,,False,
Centre-Back,right,,1991-01-08,Ian Pearce,191,3879,['England'],,: Ablöse -,19,1974-07-05,Retired,,,False,
Centre-Back,left,,1990-01-07,Frank Sinclair,178,8056,"['Jamaica', 'England']",,: Ablöse -,21,1971-03-12,Retired,,,False,
Centre-Back,right,,1989-06-12,Erland Johnsen,183,95371,['Norway'],,: Ablöse €335k,26,1967-05-04,Retired,,,False,
Centre-Back,right,,1988-01-07,David Lee,191,107092,['England'],,: Ablöse -,23,1969-11-26,Retired,,,False,
Centre-Back,,,1991-01-07,Paul Elliott,188,222499,['England'],,: Ablöse €1.60m,29,1964-03-18,Retired,,,False,
Left-Back,left,,1991-07-25,Andy Myers,178,15058,['England'],,: Ablöse -,19,1973-03-11,Retired,,,False,
Left-Back,left,,1997-08-08,Graeme Le Saux,178,3157,"['England', 'Jersey']",,Blackburn Rovers,24,1968-10-17,Retired,,,False,
Left-Back,,,1992-08-09,Anthony Barness,178,3288,['England'],,Charlton Athletic,20,1973-02-25,Retired,,,False,
Left-Back,left,,1992-01-08,Mal Donaghy,178,117755,['Northern Ireland'],,: Ablöse €115k,35,1957-09-13,Retired,,,False,
Left-Back,left,,1990-07-25,Darren Barnard,175,175578,"['Wales', 'England']",,: Ablöse €115k,21,1971-11-30,Retired,,,False,
Right-Back,right,,1987-01-19,Steve Clarke,178,107084,['Scotland'],,St. Mirren FC,29,1963-08-29,Retired,,,False,
Right-Back,,,1986-04-25,Gareth Hall,173,175580,"['Wales', 'England']",,: Ablöse -,24,1969-03-20,Retired,,,False,
Defensive Midfield,right,,1990-03-07,Dennis Wise,168,4006,['England'],,: Ablöse €2.40m,26,1966-12-16,Retired,,,False,
Defensive Midfield,right,,1991-08-30,Vinnie Jones,183,136042,"['Wales', 'England']",,Sheffield United,28,1965-05-01,Retired,,,False,
Defensive Midfield,,,1992-08-09,Nigel Spackman,185,175584,['England'],,: Ablöse €720k,32,1960-02-12,Retired,,,False,
Central Midfield,right,,1990-05-07,Andy Townsend,183,102498,"['Ireland', 'England']",,: Ablöse €1.80m,29,1963-07-23,Retired,,,False,
Central Midfield,right,,1990-01-07,Eddie Newton,180,107094,['England'],,: Ablöse -,21,1971-12-13,Retired,,,False,
Central Midfield,right,,1989-01-07,Damian Matthew,180,222518,['England'],,: Ablöse -,22,1970-09-23,Retired,,,False,
Right Midfield,right,,1992-09-25,David Hopkin,183,107198,['Scotland'],,Morton FC,22,1970-08-21,Retired,,,False,
Attacking Midfield,right,,1989-01-09,Craig Burley,185,11319,['Scotland'],,: Ablöse -,21,1971-09-24,Retired,,,False,
Right Winger,right,,1989-01-07,Graham Stuart,175,3334,['England'],,: Ablöse -,22,1970-10-24,Retired,,,False,
Centre-Forward,right,,1992-09-24,Neil Shipperley,185,13801,['England'],,: Ablöse -,18,1974-10-30,Retired,,,False,
Centre-Forward,right,,1992-01-02,Tony Cascarino,190,15447,"['Ireland', 'England']",,: Ablöse free transfer,30,1962-01-09,Retired,,,False,
Centre-Forward,,,1992-01-08,John Spencer,170,27004,['Scotland'],,: Ablöse €675k,22,1970-11-09,Retired,,,False,
Centre-Forward,,,1992-08-13,Robert Fleck,178,175579,['Scotland'],,: Ablöse €3.20m,27,1965-11-08,Retired,,,False,
Centre-Forward,,,1991-08-14,Joe Allon,180,176776,['England'],,: Ablöse €290k,26,1966-12-11,Retired,,,False,
Centre-Forward,,,1992-08-13,Mick Harford,191,176806,['England'],,: Ablöse €450k,34,1959-12-02,Retired,,,False,
Centre-Forward,,,1993-03-23,Steve Livingstone,181,176815,['England'],,Blackburn Rovers,23,1969-08-09,Retired,,,False,
