position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2010-01-07,Paul Gerrard,188,3584,['England'],,: Ablöse free transfer,20,1973-01-22,Retired,,,False,
Goalkeeper,,,1989-03-02,Jon Hallworth,,222507,['England'],,: Ablöse €94k,27,1965-10-26,Retired,,,False,
Goalkeeper,,,,John Keeley,,226572,['England'],,: Ablöse ?,31,1961-07-27,Retired,,,False,
Centre-Back,right,,1991-01-07,Craig Fleming,183,11670,['England'],,Halifax Town (- 2008),21,1971-06-10,Retired,,,False,
Centre-Back,,,1988-03-24,Ian Marshall,186,107794,['England'],,: Ablöse €150k,27,1966-03-20,Retired,,,False,
Centre-Back,right,,1990-08-30,Richard Jobson,185,175897,['England'],,: Ablöse €522k,30,1963-09-05,Retired,,,False,
Centre-Back,,,1992-10-07,Steve Redmond,180,177056,['England'],,: Ablöse €450k,25,1967-02-11,Retired,,,False,
Left-Back,left,,1992-01-07,Neil Pointon,179,177252,['England'],,: Ablöse €675k,28,1964-11-28,Retired,,,False,
Left-Back,,,1984-07-31,Andy Barlow,175,222485,['England'],,: Ablöse -,27,1965-11-24,Retired,,,False,
Right-Back,right,,1991-02-15,Gunnar Halle,183,102506,['Norway'],,Lillestrøm SK,27,1965-11-08,Retired,,,False,
Right-Back,right,,1991-01-10,Neil McDonald,180,177251,['England'],,: Ablöse €550k,27,1965-02-11,Retired,,,False,
Central Midfield,right,,1991-01-07,Paul Bernard,183,14560,['Scotland'],,: Ablöse -,20,1972-12-30,Retired,,,False,
Central Midfield,right,,1991-01-07,Mike Milligan,173,177271,"['Ireland', 'England']",,: Ablöse €710k,26,1967-02-20,Retired,,,False,
Central Midfield,,,1992-11-24,Mark Brennan,185,222491,['England'],,: Ablöse €222k,27,1965-04-10,Retired,,,False,
Central Midfield,right,,1987-06-07,Nick Henry,168,222508,['England'],,: Ablöse -,24,1969-02-21,Retired,,,False,
Right Winger,right,,1999-03-07,Neil Adams,173,222481,['England'],,: Ablöse free transfer,27,1965-11-23,Retired,,,False,
Centre-Forward,right,,1991-01-07,Graeme Sharp,185,116154,['Scotland'],,: Ablöse €850k,32,1960-10-16,Retired,,,False,
Centre-Forward,,,1997-02-21,Andy Ritchie,178,176460,['England'],,Scarborough FC (- 2007),32,1960-11-28,Retired,,,False,
Centre-Forward,,,1993-01-03,Darren Beckford,185,177041,['England'],,: Ablöse €330k,26,1967-12-05,Retired,,,False,
Centre-Forward,right,,1990-03-23,Paul Moulden,173,222523,['England'],,: Ablöse €280k,25,1967-06-09,Retired,,,False,
Centre-Forward,,,1992-01-07,Ian Olney,185,222643,['England'],,: Ablöse €1.10m,23,1969-12-17,Retired,,,False,
Centre-Forward,,,1992-03-24,Neil Tolson,191,226595,['England'],,Walsall FC,19,1973-10-25,Retired,,,False,
Centre-Forward,,,1980-01-11,Roger Palmer,,226782,['England'],,: Ablöse ?,34,1959-01-30,Retired,,,False,
