position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1996-03-28,Carl Muggleton,188,44487,['England'],,: Ablöse ?,25,1968-09-13,Retired,,,False,
Goalkeeper,right,,1992-07-24,Alan Kelly,189,3819,"['Ireland', 'England']",,: Ablöse €210k,25,1968-11-08,Retired,,,False,
Goalkeeper,,,1988-10-19,Simon Tracey,,224428,['England'],,: Ablöse €10k,26,1967-09-12,Retired,,,False,
Goalkeeper,,,1993-08-18,Sal Bibbo,,1035023,"['England', 'Italy']",,Crawley Town,19,1974-08-24,Retired,,,False,
Centre-Back,,,1991-09-17,Brian Gayle,,177110,['England'],,: Ablöse €1.00m,29,1965-06-03,Retired,,,False,
Centre-Back,,,1993-01-08,Dave Tuttle,188,195615,['England'],,: Ablöse €490k,22,1972-06-02,Retired,,,False,
Centre-Back,left,,1990-10-07,Paul Beesley,185,223222,['England'],,Leyton Orient,28,1965-07-21,Retired,,,False,
Centre-Back,right,,1990-07-27,John Pemberton,180,223245,['England'],,: Ablöse €375k,29,1964-11-18,Retired,,,False,
Centre-Back,left,,1993-01-07,Jonas Wirmola,191,185897,['Sweden'],,Spårvägens FF,24,1969-07-17,Retired,,,False,
Centre-Back,N/A,,1993-02-11,Roger Nilsen,,102509,['Norway'],,Viking FK,24,1969-08-08,Retired,,,False,
Left-Back,left,,1991-01-07,Tom Cowan,174,12825,['Scotland'],,: Ablöse ?,24,1969-08-28,Retired,,,False,
Left-Back,,,1989-11-07,David Barnes,,226549,['England'],,: Ablöse €63k,32,1961-11-16,Retired,,,False,
Right-Back,,,1991-11-15,Kevin Gage,178,222639,['England'],,: Ablöse €188k,30,1964-04-21,Retired,,,False,
Right-Back,right,,1989-07-09,Carl Bradshaw,178,177104,['England'],,: Ablöse €58k,25,1968-02-10,Retired,,,False,
Central Midfield,,,1989-01-08,John Gannon,173,226563,"['England', 'Ireland']",,: Ablöse free transfer,27,1966-12-18,Retired,,,False,
Central Midfield,,,1992-01-29,Paul Rogers,,228611,['England'],,Sutton United,29,1965-03-21,Retired,,,False,
Central Midfield,both,,1989-01-07,Mitch Ward,,199621,['England'],,Sheffield United U18,23,1971-06-19,Retired,,,False,
Central Midfield,,,1991-01-08,Charlie Hartfield,183,226569,['England'],,Arsenal FC Reserves,22,1971-04-09,Retired,,,False,
Central Midfield,right,,1993-01-08,Willie Falconer,185,220507,['Scotland'],,: Ablöse €600k,28,1966-05-04,Retired,,,False,
Central Midfield,,,1993-01-07,Chris Kamara,185,232934,['England'],,: Ablöse free transfer,36,1957-12-25,Retired,,,False,
Central Midfield,right,,1990-04-07,Jamie Hoyland,183,232476,['England'],,Bury FC,28,1966-01-23,Retired,,,False,
Right Midfield,left,,1991-01-17,Glyn Hodges,185,221987,"['Wales', 'England']",,: Ablöse ?,31,1963-04-30,Retired,,,False,
Left Winger,,,1989-01-07,Dane Whitehouse,,228617,['England'],,Sheffield United U18,23,1970-10-14,Retired,,,False,
Left Winger,,,1988-08-24,Ian Bryson,180,226554,['Scotland'],,: Ablöse €60k,31,1962-11-26,Retired,,,False,
Right Winger,,,1993-12-01,Franz Carr,170,222286,['England'],,Newcastle United,27,1966-09-24,Retired,,,False,
Right Winger,right,,1993-01-07,Jostein Flo,192,102505,['Norway'],,Sogndal IL,29,1964-03-10,Retired,,,False,
Right Winger,,,1990-01-07,John Reed,178,427806,['England'],,Sheffield United U18,21,1972-08-27,Retired,,,False,
Centre-Forward,right,,1994-01-01,Nathan Blake,182,4229,['Wales'],,: Ablöse €420k,22,1972-01-27,Retired,,,False,
Centre-Forward,,,2001-10-23,Adrian Littlejohn,,227031,['England'],,Bury FC,23,1970-09-26,Retired,,,False,
Centre-Forward,,,1992-09-03,Alan Cork,183,226560,['England'],,: Ablöse free transfer,35,1959-04-03,Retired,,,False,
Centre-Forward,right,,1992-01-07,Andy Scott,185,13678,['England'],,Sutton United,21,1972-02-08,Retired,,,False,
Centre-Forward,,,1993-04-11,Bobby Davison,,235737,['England'],,: Ablöse free transfer,34,1959-07-17,Retired,,,False,
