position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1987-01-07,Tony Roberts,183,66886,['Wales'],,Queens Park Rangers U18,26,1969-04-08,Retired,,,False,
Goalkeeper,N/A,,1994-01-07,Sieb Dijkstra,,170387,['Netherlands'],,Motherwell FC,29,1966-10-20,Retired,,,False,
Goalkeeper,,,1995-08-29,Juergen Sommer,196,102009,['United States'],,: Ablöse €1.00m,27,1969-02-27,Retired,,,False,
Centre-Back,right,,1981-01-07,Alan McDonald,184,117758,['Northern Ireland'],,Queens Park Rangers U18,32,1963-12-10,---,,,False,
Centre-Back,,,1987-07-23,Danny Maddix,178,223568,"['Jamaica', 'England']",,: Ablöse ?,28,1967-11-10,Retired,,,False,
Centre-Back,,,1990-01-07,Karl Ready,,17974,['Wales'],,Queens Park Rangers U21,23,1972-08-14,Retired,,,False,
Centre-Back,N/A,,1995-01-07,Ned Zelic,,573,"['Australia', 'Croatia']",,Borussia Dortmund,24,1971-04-07,Retired,,,False,
Centre-Back,right,,1993-08-16,Steve Yates,178,223575,['England'],,Bristol Rovers,26,1970-01-29,Retired,,,False,
Centre-Back,right,,1994-01-07,Chris Plummer,188,223571,['England'],,Queens Park Rangers U18,19,1976-12-10,Retired,,,False,
Left-Back,left,,1991-02-15,Rufus Brevett,172,3883,['England'],,Doncaster Rovers,26,1969-09-24,Retired,,,False,
Left-Back,,,1994-01-07,Trevor Challis,,223558,['England'],,Queens Park Rangers U18,20,1975-10-23,Retired,,,False,
Right-Back,right,,1989-09-15,David Bardsley,178,223555,['England'],,: Ablöse €615k,31,1964-11-09,Retired,,,False,
Right-Back,right,,1990-01-07,Andy Impey,173,4250,['England'],,Yeading FC (- 2007),24,1971-09-30,Retired,,,False,
Right-Back,,,1995-04-08,Andy McDermott,175,15346,['Australia'],,Unknown,19,1977-03-20,Retired,,,False,
Central Midfield,right,,1994-11-17,Ray Wilkins,173,117197,['England'],,: Ablöse free transfer,39,1956-09-14,---,,,False,
Central Midfield,,,1994-01-07,Matt Brazier,,175974,['England'],,Queens Park Rangers U18,19,1976-02-07,---,,,False,
Central Midfield,,,1988-07-20,Simon Barker,174,223630,['England'],,Blackburn Rovers,31,1964-04-11,Retired,,,False,
Central Midfield,right,,1996-01-07,Paul Murray,175,19390,['England'],,Carlisle United,19,1976-08-31,Retired,,,False,
Central Midfield,right,,1995-01-07,Simon Osborn,178,13800,['England'],,Reading FC,24,1972-01-19,Retired,,,False,
Central Midfield,right,,1995-09-08,Greg Goodridge,168,223563,['Barbados'],,: Ablöse €120k,24,1971-10-07,Retired,,,False,
Central Midfield,left,,2010-01-01,Nigel Quashie,175,4139,"['Scotland', 'England']",,: Ablöse free transfer,17,1978-07-20,Retired,,,False,
Central Midfield,left,,1994-01-10,Steve Hodge,185,101390,['England'],,: Ablöse €360k,33,1962-10-25,Retired,,,False,
Left Winger,right,,1993-01-07,Trevor Sinclair,178,3253,"['England', 'Jamaica']",,Blackpool FC,23,1973-02-03,Retired,,,False,
Right Winger,,,1991-12-08,Ian Holloway,173,223566,['England'],,Bristol Rovers,33,1963-12-03,Retired,,,False,
Centre-Forward,right,,1993-01-07,Danny Dichio,191,3651,"['England', 'Italy']",,Queens Park Rangers U18,21,1974-10-19,Retired,,,False,
Centre-Forward,right,,2001-11-20,Kevin Gallen,180,13727,['England'],,Barnsley FC,20,1975-09-21,Retired,,,False,
Centre-Forward,,,1991-10-29,Gary Penrice,173,222646,['England'],,: Ablöse €788k,32,1964-03-23,Retired,,,False,
Centre-Forward,both,,1988-09-30,Bradley Allen,173,223445,['England'],,Queens Park Rangers U18,24,1971-09-13,Retired,,,False,
Centre-Forward,,,1995-04-08,Lee Charles,,223559,['England'],,Chertsey Town,24,1971-08-20,Retired,,,False,
Centre-Forward,right,,1995-03-11,Mark Hateley,190,117192,['England'],,: Ablöse €1.75m,34,1961-07-11,Retired,,,False,
Centre-Forward,,,1994-01-07,Michael Mahoney-Johnson,,1069371,['England'],,Queens Park Rangers U18,19,1976-06-11,Retired,,,False,
