position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1995-01-07,Paul Heald,188,13790,['England'],,Leyton Orient,28,1968-09-20,Retired,,,False,
Goalkeeper,,,1988-07-26,Neil Sullivan,183,4045,"['Scotland', 'England']",,: Ablöse -,27,1970-02-24,Retired,,,False,
Goalkeeper,right,,1994-01-07,Brendan Murphy,180,103857,['Ireland'],,Bradford City,21,1975-08-19,Retired,,,False,
Centre-Back,,,1994-01-07,Alan Reeves,184,222303,['England'],,Rochdale AFC,29,1967-11-19,Retired,,,False,
Centre-Back,right,,1994-09-11,Kenny Cunningham,183,3937,['Ireland'],,: Ablöse €900k,26,1971-06-28,Retired,,,False,
Centre-Back,right,,1988-01-07,Dean Blackwell,,109501,['England'],,Unknown,27,1969-05-12,Retired,,,False,
Centre-Back,right,,1991-02-07,Chris Perry,175,4051,['England'],,: Ablöse -,24,1973-04-26,Retired,,,False,
Left-Back,,,1993-07-27,Alan Kimble,173,109508,['England'],,: Ablöse €210k,30,1966-06-08,Retired,,,False,
Left-Back,left,,1996-01-07,Ben Thatcher,178,3304,"['Wales', 'England']",,: Ablöse €2.64m,21,1975-11-30,Retired,,,False,
Right-Back,right,,1996-01-07,Duncan Jupp,183,39702,['Scotland'],,: Ablöse €240k,22,1975-01-25,Retired,,,False,
Right-Back,right,,1989-01-08,Brian McAllister,180,109510,['Scotland'],,Napier City Rovers,26,1970-11-30,Retired,,,False,
Defensive Midfield,right,,1992-10-09,Vinnie Jones,183,136042,"['Wales', 'England']",,: Ablöse €1.10m,32,1965-05-01,Retired,,,False,
Central Midfield,right,,1994-08-11,Øyvind Leonhardsen,177,4071,['Norway'],,: Ablöse €975k,26,1970-08-17,Retired,,,False,
Central Midfield,right,,1991-01-07,Stewart Castledine,185,109502,['England'],,: Ablöse -,24,1973-01-22,Retired,,,False,
Central Midfield,,,2001-01-05,Peter Fear,,109505,['England'],,: Ablöse ?,23,1973-10-09,Retired,,,False,
Right Midfield,right,,1991-07-29,Neal Ardley,175,13985,['England'],,: Ablöse -,24,1972-01-09,Retired,,,False,
Attacking Midfield,,,1991-07-19,Robbie Earle,175,109504,"['Jamaica', 'England']",,: Ablöse ?,32,1965-01-27,Retired,,,False,
Left Winger,,,1995-01-07,Jason Euell,180,3092,"['Jamaica', 'England']",,: Ablöse -,20,1977-06-02,Retired,,,False,
Centre-Forward,N/A,,1993-01-07,Gary Blissett,,6778,['England'],,: Ablöse free transfer,33,1964-06-29,Retired,,,False,
Centre-Forward,,,1994-10-14,Efan Ekoku,188,102315,"['Nigeria', 'England']",,: Ablöse €750k,30,1967-08-06,Retired,,,False,
Centre-Forward,both,,2003-07-24,Dean Holdsworth,180,13792,['England'],,Rushden & Diamonds (- 2011),28,1968-08-11,Retired,,,False,
Centre-Forward,right,,1994-03-24,Marcus Gayle,188,3135,"['Jamaica', 'England']",,: Ablöse €375k,26,1970-09-27,Retired,,,False,
Centre-Forward,left,,1994-09-11,Jon Goodman,180,109506,"['Ireland', 'England']",,: Ablöse €650k,26,1971-02-06,Retired,,,False,
Centre-Forward,,,1994-08-18,Mick Harford,191,176806,['England'],,Coventry City,38,1959-12-02,Retired,,,False,
Centre-Forward,,,1991-02-21,Andy Clarke,178,109503,['England'],,Barnet FC,29,1967-07-22,Retired,,,False,
Centre-Forward,right,,1996-01-07,Carl Cort,193,3093,"['Guyana', 'England']",,: Ablöse -,19,1977-01-11,Retired,,,False,
