position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,N/A,,1997-01-07,Lars Leese,,3128,['Germany'],,Bayer 04 Leverkusen,28,1969-08-18,Retired,,,False,
Goalkeeper,,,1992-01-07,Dave Watson,180,195616,['England'],,Barnsley FC U18,24,1973-10-11,Retired,,,False,
Goalkeeper,,,1997-01-03,Tony Bullock,186,12572,['England'],,Leek Town FC,26,1972-02-18,Retired,,,False,
Defender,,,,Scott Jones,178,195177,['England'],,,23,1975-01-05,Retired,,,False,
Centre-Back,right,,,Adie Moses,185,14162,['England'],,,23,1975-04-05,Retired,,,False,
Centre-Back,right,,1995-01-11,Arjan de Zeeuw,192,5909,['Netherlands'],,: Ablöse €375k,28,1970-04-16,Retired,,,False,
Centre-Back,,,1995-01-08,Peter Shirtliff,183,195180,['England'],,: Ablöse €143k,37,1961-06-04,Retired,,,False,
Centre-Back,right,,1996-01-07,Chris Morgan,185,13533,['England'],,Barnsley FC U18,20,1977-09-11,Retired,,,False,
Left-Back,left,,1996-01-08,Neil Thompson,,195634,['England'],,Ipswich Town,34,1963-02-10,Retired,,,False,
Left-Back,left,,1997-02-07,Ales Krizan,182,113185,['Slovenia'],,NK Maribor,26,1971-07-25,Retired,,,False,
Left-Back,left,,1997-08-08,Darren Barnard,175,175578,"['Wales', 'England']",,: Ablöse €1.20m,26,1971-11-30,Retired,,,False,
Right-Back,right,,1991-01-07,Nicky Eaden,175,13514,['England'],,Barnsley FC U18,25,1972-12-12,Retired,,,False,
Midfielder,,,1996-01-08,Clint Marcelle,163,186972,['Trinidad and Tobago'],,FC Felgueiras,29,1968-09-11,Retired,,,False,
Defensive Midfield,,,1993-01-09,Martin Bullock,165,49698,"['England', 'New Zealand']",,Unknown,23,1975-05-03,Retired,,,False,
Defensive Midfield,right,,1997-01-07,Eric Tinkler,179,129635,['South Africa'],,: Ablöse €442k,27,1970-07-30,Retired,,,False,
Central Midfield,right,,1993-01-07,Darren Sheridan,167,22759,['England'],,Winsford United,30,1967-08-12,Retired,,,False,
Central Midfield,right,,1996-01-08,Matty Appleby,178,195172,['England'],,Darlington FC (- 2012),26,1972-04-16,Retired,,,False,
Central Midfield,both,,1991-01-09,Neil Redfearn,175,195179,['England'],,: Ablöse €172k,33,1965-06-20,Retired,,,False,
Attacking Midfield,right,,1996-01-07,Jovan Bosancic,179,174004,['Serbia'],,SC Campomaiorense (-2013),27,1970-07-08,Retired,,,False,
Right Winger,,,1996-11-10,John Hendrie,173,195175,['Scotland'],,: Ablöse €287k,34,1963-10-24,Retired,,,False,
Right Winger,right,,1991-01-07,Andy Liddell,170,13527,"['Scotland', 'England']",,Barnsley FC U18,25,1973-06-28,Retired,,,False,
Centre-Forward,right,,1997-01-09,Ashley Ward,185,13548,['England'],,: Ablöse €1.82m,27,1970-11-24,Retired,,,False,
Centre-Forward,right,,1997-01-07,Sven Peter Markstedt,190,26724,['Sweden'],,Västerås SK,26,1972-11-01,Retired,,,False,
Centre-Forward,,,1996-01-07,Paul Wilkinson,185,177255,['England'],,: Ablöse free transfer,33,1964-10-30,Retired,,,False,
Centre-Forward,right,,1997-06-13,Gjorgji Hristov,182,4532,['North Macedonia'],,FK Partizan Belgrade,22,1976-01-30,Retired,,,False,
Centre-Forward,right,,,Luke Beckett,180,27507,['England'],,,21,1976-11-25,Retired,,,False,
Centre-Forward,right,,1998-01-01,Jan Åge Fjørtoft,192,514,['Norway'],,Sheffield United,31,1967-10-01,Retired,,,False,
