position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1997-07-28,Paul Jones,191,3684,['Wales'],,: Ablöse €1.35m,32,1967-04-18,Retired,,,False,
Goalkeeper,,,1995-01-12,Neil Moss,188,48075,['England'],,: Ablöse €40k,24,1975-10-05,Retired,,,False,
Goalkeeper,,,1997-01-07,Scott Bevan,198,4110,['England'],,Southampton FC U18,19,1979-09-16,Retired,,,False,
Goalkeeper,right,,1999-01-01,Michael Stensgaard,191,211168,['Denmark'],,: Ablöse free transfer,24,1974-01-09,Retired,,,False,
Centre-Back,right,,1996-01-07,Claus Lundekvam,191,3687,['Norway'],,SK Brann,26,1973-02-22,Retired,,,False,
Centre-Back,,,1992-08-21,Ken Monkou,191,109494,"['Netherlands', 'Suriname']",,: Ablöse €1.10m,34,1964-11-29,Retired,,,False,
Centre-Back,right,,2001-01-01,Richard Dryden,183,109489,['England'],,Swindon Town,30,1969-06-14,Retired,,,False,
Centre-Back,,,1998-03-08,Scott Marshall,185,106912,['Scotland'],,: Ablöse free transfer,26,1973-01-05,Retired,,,False,
Centre-Back,right,,1996-01-07,Garry Monk,183,4111,['England'],,: Ablöse free transfer,20,1979-06-03,Retired,,,False,
Left-Back,left,,1998-06-02,John Beresford,168,109487,['England'],,Newcastle United,32,1966-04-09,Retired,,,False,
Left-Back,left,,1987-01-01,Francis Benali,178,3298,['England'],,Southampton FC U18,30,1968-12-30,Retired,,,False,
Left-Back,left,,1998-01-01,Wayne Bridge,178,3682,['England'],,Southampton FC U18,18,1980-05-08,Retired,,,False,
Left-Back,right,,1998-12-24,Patrick Colleter,178,107065,['France'],,: Ablöse ?,33,1965-06-11,Retired,,,False,
Right-Back,right,,1989-01-03,Jason Dodd,180,3685,['England'],,Bath City,28,1970-02-11,Retired,,,False,
Right-Back,right,,1998-08-21,Scott Hiley,175,211250,['England'],,: Ablöse free transfer,30,1968-09-27,Retired,,,False,
Right-Back,right,,1997-01-07,Phil Warner,175,66508,['England'],,Southampton FC U18,20,1979-02-02,Without Club,,,False,
Defensive Midfield,right,,1997-01-09,Carlton Palmer,191,101325,['England'],,: Ablöse €1.20m,33,1965-05-12,Retired,,,False,
Central Midfield,right,,1994-09-15,Ronnie Ekelund,179,168498,['Denmark'],,: Ablöse ?,26,1972-08-21,Retired,,,False,
Central Midfield,left,,1999-02-02,Chris Marsden,180,4117,['England'],,: Ablöse €1.20m,30,1969-03-01,Retired,,,False,
Central Midfield,right,,1995-01-07,Matt Oakley,177,3784,['England'],,Southampton FC U18,21,1977-08-17,Retired,,,False,
Central Midfield,right,,1998-01-07,David Howells,180,109492,['England'],,: Ablöse ?,31,1967-12-15,Retired,,,False,
Central Midfield,right,,1991-01-07,David Hughes,180,195176,"['Wales', 'England']",,Weymouth FC,26,1972-12-30,Retired,,,False,
Central Midfield,right,,1997-01-07,Kevin Gibbens,180,109490,['England'],,Southampton FC U18,19,1979-04-11,Retired,,,False,
Right Midfield,both,,1998-10-07,Stuart Ripley,180,107223,['England'],,Blackburn Rovers,31,1967-11-20,Retired,,,False,
Left Midfield,right,,1998-10-16,Hassan Kachloul,186,4066,['Morocco'],,: Ablöse €350k,26,1973-02-19,Retired,,,False,
Attacking Midfield,right,,1986-10-16,Matt Le Tissier,185,43705,"['England', 'Guernsey']",,Southampton FC U18,30,1968-10-14,Retired,,,False,
Second Striker,N/A,,1998-07-15,Mark Hughes,,8022,['Wales'],,: Ablöse €900k,35,1963-01-11,Retired,,,False,
Centre-Forward,left,,1996-01-10,Egil Østenstad,183,3705,['Norway'],,Viking FK,27,1972-02-01,Retired,,,False,
Centre-Forward,right,,1998-07-17,James Beattie,185,3112,['England'],,Blackburn Rovers,21,1978-02-27,Retired,,,False,
Centre-Forward,right,,1996-01-07,Steve Basham,178,13663,['England'],,Southampton FC U18,21,1977-02-12,Retired,,,False,
Centre-Forward,,,1997-10-17,David Hirst,,109491,"['England', 'Scotland']",,: Ablöse €2.50m,31,1967-07-12,Retired,,,False,
Striker,,,,Shayne Bradley,180,211242,['England'],,,19,1979-08-12,Retired,,,False,
Centre-Forward,both,,1999-02-16,Marians Pahars,175,3689,['Latvia'],,Skonto Riga (- 2016),22,1976-05-08,Retired,,,False,
