position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1998-01-01,Gary Walsh,191,13547,['England'],,: Ablöse €700k,32,1968-03-21,Retired,,,False,
Goalkeeper,right,,1999-01-07,Matt Clarke,191,13781,['England'],,: Ablöse free transfer,26,1973-03-11,Retired,,,False,
Goalkeeper,right,,1999-03-12,Aidan Davison,185,42041,"['Northern Ireland', 'England']",,Sheffield United,32,1968-11-05,Retired,,,False,
Goalkeeper,right,,2000-03-02,Neville Southall,185,135910,['Wales'],,: Ablöse ?,41,1958-09-16,Retired,,,False,
Centre-Back,right,,1999-01-07,David Wetherall,191,13615,['England'],,: Ablöse €2.10m,29,1971-03-14,Retired,,,False,
Centre-Back,right,,1998-01-07,Ashley Westwood,183,50009,['England'],,Crewe Alexandra,23,1976-08-31,Retired,,,False,
Centre-Back,right,,1994-01-07,Andrew O'Brien,191,3228,"['Ireland', 'England']",,Bradford City U18,21,1979-06-29,Retired,,,False,
Centre-Back,left,,1996-06-11,John Dreyer,185,211259,['England'],,: Ablöse ?,37,1963-11-06,Retired,,,False,
Centre-Back,right,,1997-01-07,Darren Moore,188,3243,"['Jamaica', 'England']",,Doncaster Rovers,26,1974-04-22,Retired,,,False,
Left-Back,left,,1999-07-16,Andy Myers,178,15058,['England'],,: Ablöse €1.20m,26,1973-03-11,Retired,,,False,
Left-Back,,,1998-01-08,Lee Todd,165,109498,['England'],,Southampton FC,28,1972-07-03,Retired,,,False,
Left-Back,left,,1994-01-07,Wayne Jacobs,173,13587,['England'],,: Ablöse ?,31,1969-03-02,Retired,,,False,
Right-Back,right,,1998-01-07,Stephen Wright,178,165976,['Scotland'],,: Ablöse ?,28,1971-08-27,Retired,,,False,
Right-Back,right,,1999-11-06,Gunnar Halle,183,102506,['Norway'],,: Ablöse ?,34,1965-11-08,Retired,,,False,
Central Midfield,right,,1998-01-07,Stuart McCall,168,13529,"['Scotland', 'England']",,: Ablöse free transfer,36,1964-10-06,Retired,,,False,
Central Midfield,right,,1997-01-07,Jamie Lawrence,176,14039,"['Jamaica', 'England']",,: Ablöse ?,30,1970-08-03,Retired,,,False,
Central Midfield,right,,1998-01-07,Gareth Whalley,178,12726,['England'],,Crewe Alexandra,26,1973-12-19,Retired,,,False,
Central Midfield,both,,1999-01-07,Neil Redfearn,175,195179,['England'],,Charlton Athletic,35,1965-06-20,Retired,,,False,
Left Midfield,left,,1999-01-07,Lee Sharpe,183,107229,['England'],,: Ablöse €300k,29,1971-05-27,Retired,,,False,
Left Winger,left,,2001-01-05,Peter Beagrie,,138385,['England'],,Wigan Athletic,34,1965-11-28,Retired,,,False,
Second Striker,,,1997-01-03,Robbie Blake,175,3490,['England'],,Darlington FC (- 2012),24,1976-04-03,Retired,,,False,
Centre-Forward,right,,2000-01-01,Jorge Cadete,180,25356,"['Portugal', 'Mozambique']",,SL Benfica,31,1968-08-27,Retired,,,False,
Centre-Forward,right,,1998-01-08,Lee Mills,185,211264,['England'],,: Ablöse €1.25m,29,1970-10-07,Retired,,,False,
Centre-Forward,right,,2003-01-07,Dean Windass,178,3328,['England'],,Sheffield United,31,1969-01-04,Retired,,,False,
Centre-Forward,right,,1998-08-14,Isaiah Rankin,178,16495,['England'],,: Ablöse €2.00m,22,1978-05-22,Retired,,,False,
Striker,,,,Gareth Grant,188,105052,['England'],,,19,1980-06-09,Retired,,,False,
Centre-Forward,right,,1999-06-08,Dean Saunders,173,92213,['Wales'],,SL Benfica,36,1964-06-21,Retired,,,False,
Centre-Forward,,,1999-09-09,Bruno Rodriguez,180,5742,['France'],,: Ablöse free transfer,27,1972-11-25,Retired,,,False,
