position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1996-10-07,Alec Chamberlain,188,14000,['England'],,: Ablöse €60k,36,1964-06-20,Retired,,,False,
Goalkeeper,right,,1997-01-07,Chris Day,188,13721,['England'],,: Ablöse ?,24,1975-07-28,Retired,,,False,
Goalkeeper,,,1999-01-08,Herwig Walker,186,17104,['Austria'],,: Ablöse ?,28,1972-04-05,Retired,,,False,
Centre-Back,right,,1993-04-19,Rob Page,183,4224,['Wales'],,Watford FC U18,25,1974-03-09,Retired,,,False,
Centre-Back,,,1995-09-28,Steve Palmer,186,223448,['England'],,Ipswich Town,32,1968-03-31,Retired,,,False,
Centre-Back,right,,2008-01-09,Darren Ward,191,13614,['England'],,Wolverhampton Wanderers,21,1978-09-13,Retired,,,False,
Centre-Back,right,,1999-01-01,Adrian Bakalli,190,223403,['Belgium'],,RWD Molenbeek (- 2002),23,1976-11-22,Retired,,,False,
Centre-Back,,,1999-01-12,James Panayi,185,223432,"['England', 'Cyprus']",,Watford FC U21,20,1980-01-24,Retired,,,False,
Centre-Back,right,,1999-07-07,Mark Williams,182,16237,['Northern Ireland'],,: Ablöse free transfer,29,1970-09-28,Retired,,,False,
Left-Back,left,,1997-01-08,Peter Kennedy,180,13523,['Northern Ireland'],,: Ablöse €150k,26,1973-10-09,Retired,,,False,
Left-Back,left,,1996-01-07,Paul Robinson,175,14063,['England'],,Watford FC U18,21,1978-12-14,Retired,,,False,
Left-Back,left,,1996-01-07,Clint Easton,180,11666,['England'],,Watford FC U18,22,1977-01-10,Retired,,,False,
Left-Back,left,,,David Perpetuini,175,14056,"['England', 'Italy']",,,20,1979-09-26,Retired,,,False,
Right-Back,right,,1983-11-23,Nigel Gibbs,170,223414,['England'],,Watford FC U18,34,1965-11-20,Retired,,,False,
Right-Back,right,,1999-05-11,Neil Cox,183,13784,['England'],,: Ablöse €750k,28,1971-08-10,Retired,,,False,
Midfielder,right,,1992-01-05,Richard Johnson,180,14033,['Australia'],,Newcastle United Jets,26,1974-04-27,Retired,,,False,
Midfielder,,,1998-11-11,Alexandre Bonnot,,223406,['France'],,: Ablöse ?,26,1973-07-31,Retired,,,False,
Central Midfield,right,,1997-01-07,Micah Hyde,178,14027,"['Jamaica', 'England']",,: Ablöse €375k,25,1974-10-11,Retired,,,False,
Attacking Midfield,right,,1999-01-07,Charlie Miller,178,11366,['Scotland'],,: Ablöse free transfer,24,1976-03-18,Retired,,,False,
Left Winger,both,,1998-03-26,Jóhann Gudmundsson,181,32887,['Iceland'],,Keflavík ÍF,22,1977-05-12,Retired,,,False,
Right Winger,right,,1999-01-07,Des Lyttle,175,3674,['England'],,: Ablöse ?,28,1971-09-24,Retired,,,False,
Right Winger,,,1998-01-07,Felix Michel Ngonge,188,112821,"['DR Congo', 'Belgium']",,: Ablöse ?,32,1967-08-17,Retired,,,False,
Right Winger,right,,1999-09-13,Nordin Wooter,169,12090,"['Netherlands', 'Suriname']",,: Ablöse €1.40m,22,1977-08-24,Retired,,,False,
Centre-Forward,left,,1999-09-11,Xavier Gravelaine,183,20083,['France'],,: Ablöse ?,31,1968-05-10,Retired,,,False,
Centre-Forward,right,,1994-01-07,Tommy Mooney,180,10410,['England'],,Southend United,28,1971-11-08,Retired,,,False,
Centre-Forward,right,,1998-03-07,Nick Wright,180,223442,['England'],,Carlisle United,24,1975-10-15,Retired,,,False,
Centre-Forward,right,,1998-01-07,Allan Smart,188,14175,"['Scotland', 'England']",,Carlisle United,25,1974-08-07,Retired,,,False,
Centre-Forward,right,,1996-01-07,Gifton Noel-Williams,191,13596,['England'],,Watford FC U18,20,1980-01-21,Retired,,,False,
Centre-Forward,right,,2006-08-20,Tommy Smith,178,12401,['England'],,: Ablöse €725k,20,1980-05-22,Retired,,,False,
Centre-Forward,right,,1999-01-07,Steve Brooker,183,48086,['England'],,Watford FC U18,19,1981-05-21,Retired,,,False,
Centre-Forward,both,,2010-11-01,Heidar Helguson,178,9886,['Iceland'],,: Ablöse free transfer,22,1977-08-22,Retired,,,False,
