position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,1997-03-26,Mart Poom,195,3715,['Estonia'],,: Ablöse €700k,30,1972-03-02,Retired,,,False,
Goalkeeper,right,,2001-12-10,Ian Feuer,201,141044,['United States'],,: Ablöse ?,31,1971-05-20,Retired,,,False,
Goalkeeper,right,,1999-01-07,Andy Oakes,187,13480,['England'],,: Ablöse €500k,25,1977-11-01,Retired,,,False,
Goalkeeper,,,2002-01-01,Patrick Foletti,187,20082,"['Switzerland', 'Italy']",,: Ablöse free transfer,28,1974-05-27,Retired,,,False,
Goalkeeper,right,,2013-01-07,Lee Grant,193,13460,['England'],,: Ablöse free transfer,19,1983-01-27,Retired,,,False,
Centre-Back,right,,1998-01-07,Horacio Carbonari,191,30799,"['Argentina', 'Italy']",,: Ablöse €3.00m,28,1974-02-05,Retired,,,False,
Centre-Back,both,,2000-07-26,Bjørn Otto Bragstad,194,3834,['Norway'],,: Ablöse €3.00m,31,1971-05-01,Retired,,,False,
Centre-Back,N/A,,2000-01-11,Brian O'Neil,,669,['Scotland'],,: Ablöse €750k,29,1972-06-09,Retired,,,False,
Centre-Back,right,,1995-05-27,Darryl Powell,183,4081,"['Jamaica', 'England']",,: Ablöse €1.13m,30,1971-11-15,Retired,,,False,
Centre-Back,right,,2011-10-08,Chris Riggott,183,3782,['England'],,Without Club,21,1980-01-09,Retired,,,False,
Centre-Back,left,,2000-05-07,Danny Higginbotham,185,3686,"['Gibraltar', 'England']",,Manchester United,23,1978-12-29,Retired,,,False,
Centre-Back,right,,2001-01-01,Youl Mawéné,182,13471,['France'],,: Ablöse €700k,22,1979-07-16,Retired,,,False,
Centre-Back,right,,1997-01-07,Steve Elliott,185,13457,['England'],,Derby County U18,23,1978-10-29,Retired,,,False,
Centre-Back,,,2000-01-07,Con Blatsis,190,16700,"['Australia', 'Greece']",,South Melbourne FC,24,1977-06-07,Retired,,,False,
Centre-Back,right,,1999-01-07,Ian Evatt,191,37127,['England'],,Derby County U18,20,1981-11-19,Retired,,,False,
Centre-Back,,,,Gareth McKeown,188,120324,['Northern Ireland'],,,18,1983-07-14,Retired,,,False,
Left-Back,left,,2001-01-07,Luciano Zavagno,182,13502,"['Argentina', 'Italy']",,: Ablöse ?,24,1977-06-08,Retired,,,False,
Left-Back,left,,1999-03-23,Paul Boertien,178,13440,['England'],,Carlisle United,23,1979-01-20,Retired,,,False,
Right-Back,right,,2002-01-02,Warren Barton,177,13238,['England'],,Newcastle United,33,1969-03-19,Retired,,,False,
Right-Back,both,,1999-03-24,Richard Jackson,173,13467,['England'],,Scarborough FC (- 2007),22,1980-04-18,Retired,,,False,
Right-Back,right,,2001-07-08,Daniele Daino,181,15458,['Italy'],,AC Milan,22,1979-08-09,Retired,,,False,
Right-Back,right,,2002-01-07,Lewis Hunt,180,13466,['England'],,Derby County Reserves,19,1982-08-25,Retired,,,False,
Right-Back,right,,2002-01-01,François Grenet,180,8506,['France'],,: Ablöse €4.19m,27,1975-08-03,Retired,,,False,
Defensive Midfield,right,,2000-01-06,Simo Valakari,178,48025,['Finland'],,Motherwell FC,29,1973-04-28,Retired,,,False,
Midfielder,right,,2000-01-07,Adam Bolder,175,13441,['England'],,: Ablöse €125k,21,1980-10-25,Retired,,,False,
Defensive Midfield,right,,2001-10-15,Pierre Ducrocq,179,23919,['France'],,: Ablöse ?,25,1976-12-18,Retired,,,False,
Central Midfield,left,,2005-01-07,Seth Johnson,179,3635,['England'],,Leeds United,23,1979-12-03,Retired,,,False,
Central Midfield,right,,2002-01-02,Rob Lee,178,14183,['England'],,Newcastle United,36,1966-01-02,Retired,,,False,
Central Midfield,right,,1998-01-07,Adam Murray,175,9408,['England'],,Derby County U18,20,1981-09-30,Retired,,,False,
Right Midfield,right,,1997-01-07,Stefano Eranio,180,4227,['Italy'],,: Ablöse free transfer,35,1966-12-29,Retired,,,False,
Attacking Midfield,right,,1999-02-12,Craig Burley,185,11319,['Scotland'],,: Ablöse €4.50m,30,1971-09-24,Retired,,,False,
Attacking Midfield,N/A,,2000-04-19,Giorgi Kinkladze,,3425,['Georgia'],,: Ablöse €5.00m,28,1973-06-07,Retired,,,False,
Second Striker,right,,,Benny Carbone,168,3389,['Italy'],,,30,1971-08-14,Retired,,,False,
Centre-Forward,right,,1999-01-01,Marvin Robinson,180,25387,['England'],,Derby County U18,22,1980-11-04,Retired,,,False,
Centre-Forward,right,,1997-06-08,Deon Burton,178,3464,"['Jamaica', 'England']",,: Ablöse €1.25m,25,1976-10-25,Retired,,,False,
Centre-Forward,left,,2001-07-28,Fabrizio Ravanelli,188,4226,['Italy'],,: Ablöse free transfer,33,1968-11-12,Retired,,,False,
Centre-Forward,right,,1998-10-28,Malcolm Christie,184,3790,['England'],,: Ablöse €75k,23,1979-11-04,Retired,,,False,
Centre-Forward,right,,1999-10-14,Lee Morris,178,13476,['England'],,Sheffield United,22,1980-04-30,Retired,,,False,
Centre-Forward,right,,2000-01-07,Gary Twigg,183,12402,['Scotland'],,Derby County U18,18,1984-03-19,Retired,,,False,
Centre-Forward,right,,1999-12-17,Branko Strupar,190,10444,"['Belgium', 'Croatia']",,: Ablöse €4.20m,32,1970-09-02,Retired,,,False,
Centre-Forward,,,2002-01-07,Marcus Tudgay,180,13491,['England'],,Derby County U18,19,1983-03-02,South Normanton Athletic,,,False,
