position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1998-01-07,Thomas Sörensen,196,3473,['Denmark'],,: Ablöse €650k,26,1976-12-06,Retired,,,False,
Goalkeeper,right,,1999-01-07,Michael Ingham,193,4292,"['Northern Ireland', 'England']",,Cliftonville FC,21,1980-09-07,Retired,,,False,
Goalkeeper,right,,2000-01-07,Jürgen Macho,192,3567,['Austria'],,: Ablöse free transfer,24,1977-08-24,Retired,,,False,
Goalkeeper,,,,Jon Kennedy,,797068,['England'],,,21,1980-11-30,Unknown,,,False,
Centre-Back,right,,2002-01-01,Joachim Björklund,186,3642,['Sweden'],,: Ablöse €2.23m,31,1971-03-15,Retired,,,False,
Centre-Back,right,,2006-01-08,Stanislav Varga,193,9495,"['Slovakia', 'Hungary']",,: Ablöse €1.65m,29,1972-08-10,Retired,,,False,
Centre-Back,both,,2000-08-31,Émerson Thome,188,3643,"['Brazil', 'Portugal']",,: Ablöse €6.70m,30,1972-03-30,Retired,,,False,
Centre-Back,right,,1997-01-08,Jody Craddock,183,4129,['England'],,: Ablöse €450k,26,1975-07-25,Retired,,,False,
Centre-Back,right,,2002-01-07,Simon Ramsden,183,13919,['England'],,Sunderland AFC U18,20,1981-12-17,Retired,,,False,
Left-Back,left,,1992-01-07,Michael Gray,170,4128,['England'],,Sunderland AFC U18,27,1974-03-08,Retired,,,False,
Left-Back,left,,2008-01-09,George McCartney,183,3775,['Northern Ireland'],,: Ablöse €5.50m,21,1981-04-29,Retired,,,False,
Right-Back,right,,2001-10-08,Bernt Haas,187,2888,"['Switzerland', 'Austria']",,: Ablöse €1.80m,24,1978-08-04,Retired,,,False,
Right-Back,right,,1996-01-10,Darren Williams,172,3324,['England'],,York City,25,1977-04-28,Retired,,,False,
Defensive Midfield,left,,2001-01-07,Nicolás Medina,177,3776,"['Argentina', 'Italy']",,: Ablöse €5.25m,20,1982-02-17,Retired,,,False,
Defensive Midfield,right,,1997-01-07,Paul Thirlwell,180,4122,['England'],,Sunderland AFC U18,23,1979-02-13,Retired,,,False,
Central Midfield,right,,2001-07-12,Claudio Reyna,175,3475,"['United States', 'Portugal']",,: Ablöse €6.70m,28,1973-07-20,Retired,,,False,
Central Midfield,right,,1998-01-11,Gavin McCann,180,4136,['England'],,: Ablöse €750k,24,1978-10-01,Retired,,,False,
Central Midfield,right,,1996-01-07,Alex Rae,177,4239,['Scotland'],,: Ablöse €1.50m,32,1969-09-30,Retired,,,False,
Central Midfield,N/A,,1999-01-07,Stefan Schwarz,,4123,['Sweden'],,: Ablöse €6.00m,33,1969-04-18,Retired,,,False,
Central Midfield,right,,1997-01-07,Chris Lumsdon,180,48637,['England'],,Sunderland AFC U18,22,1979-12-15,Retired,,,False,
Central Midfield,left,,2000-01-07,Julio Arca,175,3280,"['Argentina', 'Italy']",,: Ablöse €4.70m,21,1981-01-31,Retired,,,False,
Right Midfield,right,,2001-10-19,Jason McAteer,175,3710,"['Ireland', 'England']",,Blackburn Rovers,31,1971-06-18,Retired,,,False,
Right Midfield,both,,1998-01-07,Thomas Butler,170,4132,['Ireland'],,Sunderland AFC U18,21,1981-04-25,Retired,,,False,
Left Midfield,left,,1999-12-15,Kevin Kilbane,183,4135,"['Ireland', 'England']",,: Ablöse €3.75m,25,1977-01-02,Retired,,,False,
Attacking Midfield,right,,2000-07-14,Don Hutchison,185,3880,"['Scotland', 'England']",,: Ablöse €3.75m,31,1971-09-05,Retired,,,False,
Left Winger,left,,1998-01-07,Neil Wainwright,183,61943,['England'],,Wrexham AFC,24,1977-04-11,Retired,,,False,
Centre-Forward,right,,2001-01-07,Lilian Laslandes,186,1450,['France'],,: Ablöse €6.00m,30,1971-04-09,Retired,,,False,
Centre-Forward,right,,2002-02-14,Patrick Mboma,185,26415,"['Cameroon', 'France']",,: Ablöse €4.50m,31,1970-11-15,Retired,,,False,
Centre-Forward,right,,1996-08-17,Niall Quinn,193,104110,['Ireland'],,: Ablöse €1.30m,35,1966-06-10,Retired,,,False,
Centre-Forward,right,,1997-07-15,Kevin Phillips,170,3131,['England'],,: Ablöse €850k,28,1973-07-25,Retired,,,False,
Centre-Forward,right,,1998-01-26,Danny Dichio,191,3651,"['England', 'Italy']",,UC Sampdoria,27,1974-10-19,Retired,,,False,
Centre-Forward,right,,2001-03-07,David Bellion,181,3115,"['France', 'Senegal']",,: Ablöse free transfer,19,1982-11-27,Retired,,,False,
Centre-Forward,right,,2000-01-07,Kevin Kyle,191,4121,['Scotland'],,Sunderland AFC Reserves,21,1981-07-06,Retired,,,False,
