position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,1998-01-07,Rob Green,191,11680,['England'],5000000,Norwich City U18,25,1980-01-18,Retired,,,False,
Goalkeeper,,,2004-01-07,Paul Gallacher,183,12569,['Scotland'],500000,: Ablöse free transfer,25,1979-08-16,Retired,,,False,
Goalkeeper,,,2004-01-07,Darren Ward,180,9993,['Wales'],200000,: Ablöse free transfer,31,1974-11-05,Retired,,,False,
Goalkeeper,right,,2005-01-07,Joe Lewis,198,25834,['England'],100000,Norwich City U18,17,1987-06-10,Retired,,,False,
Centre-Back,right,,2004-01-07,Gary Doherty,188,4052,['Ireland'],1800000,: Ablöse free transfer,25,1980-01-31,Retired,,,False,
Centre-Back,right,,1997-01-07,Craig Fleming,183,11670,['England'],1250000,: Ablöse €950k,33,1971-06-10,Retired,,,False,
Centre-Back,left,,2009-01-02,Jason Shackell,193,11756,['England'],300000,Wolverhampton Wanderers,21,1983-09-27,Retired,,,False,
Left-Back,left,,2001-01-03,Adam Drury,180,11663,['England'],650000,: Ablöse free transfer,26,1978-08-29,Retired,,,False,
Left-Back,right,,2004-07-13,Simon Charlton,173,19846,['England'],600000,: Ablöse €375k,33,1971-10-25,Retired,,,False,
Right-Back,right,,2004-01-07,Thomas Helveg,181,5802,['Denmark'],2750000,: Ablöse free transfer,34,1971-06-24,Retired,,,False,
Right-Back,right,,2003-01-07,Marc Edworthy,180,4235,['England'],350000,Wolverhampton Wanderers,32,1972-12-24,Retired,,,False,
Defensive Midfield,right,,2004-01-07,Youssef Safri,188,10035,['Morocco'],850000,Coventry City,28,1977-01-13,Retired,,,False,
Defensive Midfield,right,,,Shaun Derry,177,14007,['England'],750000,,27,1977-06-12,Retired,,,False,
Central Midfield,right,,2003-01-07,Ryan Jarvis,183,11692,['England'],1000000,Norwich City U18,18,1986-11-07,Leiston FC,,,False,
Central Midfield,right,,2001-01-03,Gary Holt,185,11689,['Scotland'],600000,: Ablöse €150k,32,1973-09-03,Retired,,,False,
Central Midfield,right,,2003-01-07,Damien Francis,183,11671,"['Jamaica', 'England']",550000,: Ablöse free transfer,26,1979-02-27,Retired,,,False,
Central Midfield,right,,1999-03-25,Phil Mulryne,175,11720,['Northern Ireland'],500000,Manchester United,27,1978-01-01,Retired,,,False,
Right Midfield,right,,2004-01-08,David Bentley,178,3205,['England'],2000000,: Ablöse free transfer,20,1984-08-27,Retired,,,False,
Left Midfield,left,,2003-01-07,Jim Brennan,183,11653,"['Canada', 'Scotland']",800000,: Ablöse free transfer,28,1977-08-05,Retired,,,False,
Left Winger,left,,2009-01-07,Paul McVeigh,168,11716,['Northern Ireland'],750000,Luton Town,27,1977-06-12,Retired,,,False,
Right Winger,right,,2004-01-07,Mattias Jonson,179,15044,['Sweden'],1000000,Bröndby IF,31,1974-01-16,Retired,,,False,
Right Winger,right,,2005-01-31,Graham Stuart,175,3334,['England'],,Charlton Athletic,34,1970-10-24,Retired,,,False,
Centre-Forward,right,,2005-01-01,Dean Ashton,185,14168,['England'],4500000,Crewe Alexandra,21,1983-11-24,Retired,,,False,
Centre-Forward,right,,2003-01-09,Darren Huckerby,178,3136,['England'],2250000,: Ablöse €1.25m,29,1976-04-23,Retired,,,False,
Centre-Forward,right,,2004-01-07,Mathias Svensson,186,3861,['Sweden'],1000000,Charlton Athletic,30,1974-09-24,Retired,,,False,
Centre-Forward,right,,2003-01-12,Leon McKenzie,180,28797,['England'],750000,: Ablöse €500k,27,1978-05-17,Retired,,,False,
Centre-Forward,right,,2002-01-07,Ian Henderson,175,11686,"['England', 'Scotland']",200000,Norwich City U18,20,1985-01-24,Rochdale AFC,,,False,
Centre-Forward,right,,2004-01-07,Danny Crow,176,25818,['England'],50000,Norwich City U18,19,1986-01-26,Retired,,,False,
