position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2005-04-07,Pepe Reina,188,7825,['Spain'],11000000,: Ablöse €9.80m,23,1982-08-31,Retired,,,False,
Goalkeeper,left,,2001-08-31,Jerzy Dudek,188,3209,['Poland'],3000000,: Ablöse €7.40m,33,1973-03-23,Retired,,,False,
Goalkeeper,right,,2005-01-21,Scott Carson,188,14555,['England'],1750000,Leeds United,20,1985-03-09,Retired,,,False,
Goalkeeper,right,,2006-12-01,David Martin,188,15930,['England'],50000,: Ablöse free transfer,20,1986-01-22,Retired,,,False,
Centre-Back,right,,1996-09-10,Jamie Carragher,185,3597,"['England', 'Malta']",15750000,: Ablöse -,28,1978-01-28,Retired,,,False,
Centre-Back,left,,2006-01-01,Daniel Agger,191,22832,['Denmark'],6500000,Bröndby IF,21,1984-12-12,Retired,,,False,
Centre-Back,N/A,,1999-01-07,Sami Hyypiä,,3470,['Finland'],5000000,: Ablöse €3.90m,32,1973-07-10,Retired,,,False,
Centre-Back,right,,2004-01-07,Josemi,183,7776,['Spain'],2750000,Málaga CF,26,1979-11-15,Retired,,,False,
Centre-Back,left,,1999-02-17,Djimi Traoré,191,3598,"['Mali', 'France']",2500000,: Ablöse €800k,26,1980-01-03,Retired,,,False,
Centre-Back,right,,2005-01-07,Miki Roqué,186,33823,['Spain'],100000,UE Lleida,17,1988-08-07,---,,,False,
Left-Back,left,,2001-01-07,John Arne Riise,185,3220,['Norway'],12000000,: Ablöse €6.36m,25,1980-09-24,Retired,,,False,
Left-Back,left,,2000-01-07,Stephen Warnock,178,3308,['England'],1800000,: Ablöse -,24,1981-12-12,Retired,,,False,
Right-Back,right,,2006-01-01,Jan Kromkamp,188,4549,['Netherlands'],5000000,: Ablöse free transfer,25,1980-08-17,Retired,,,False,
Right-Back,right,,2003-01-07,Steve Finnan,183,4038,['Ireland'],5000000,Fulham FC,30,1976-04-24,Retired,,,False,
Right-Back,right,,2005-01-07,Antonio Barragán,186,32522,['Spain'],250000,Sevilla FC B,19,1987-12-06,Retired,,,False,
Right-Back,right,,,David Raven,183,27980,['England'],150000,,21,1985-10-03,Retired,,,False,
Defensive Midfield,right,,2004-08-20,Xabi Alonso,183,7476,['Spain'],21500000,Real Sociedad,24,1981-11-25,Retired,,,False,
Defensive Midfield,right,,2005-07-14,Mohamed Sissoko,191,6119,"['Mali', 'France']",7500000,: Ablöse €12.00m,21,1985-01-22,Retired,,,False,
Defensive Midfield,N/A,,1999-07-17,Dietmar Hamann,,919,['Germany'],4000000,Newcastle United,32,1973-08-27,Retired,,,False,
Defensive Midfield,right,,2002-06-08,Salif Diao,183,3600,"['Senegal', 'France']",2200000,: Ablöse €7.50m,29,1977-10-02,Retired,,,False,
Central Midfield,right,,1997-05-11,Steven Gerrard,183,3109,['England'],34000000,: Ablöse -,26,1980-05-30,Retired,,,False,
Central Midfield,both,,2003-01-07,David Mannix,179,4765,['England'],250000,: Ablöse -,20,1985-08-24,Retired,,,False,
Central Midfield,right,,2003-01-07,Darren Potter,185,22231,"['Ireland', 'England']",100000,: Ablöse -,21,1984-12-21,Retired,,,False,
Left Winger,left,,2003-01-07,Harry Kewell,180,3241,"['Australia', 'England']",7400000,Leeds United,27,1978-09-22,Retired,,,False,
Left Winger,left,,2005-04-07,Boudewijn Zenden,174,3173,['Netherlands'],4000000,: Ablöse free transfer,29,1976-08-15,Retired,,,False,
Right Winger,both,,2004-08-20,Luis García,177,7920,['Spain'],10000000,FC Barcelona,28,1978-06-24,Retired,,,False,
Second Striker,right,,2002-01-07,Florent Sinama-Pongolle,176,4216,"['France', 'Réunion']",2000000,: Ablöse €400k,21,1984-10-20,Retired,,,False,
Centre-Forward,right,,2004-01-07,Djibril Cissé,182,3966,"['France', ""Cote d'Ivoire""]",13500000,AJ Auxerre,24,1981-12-08,Retired,,,False,
Centre-Forward,right,,2005-07-20,Peter Crouch,201,4072,"['England', 'Ireland']",10500000,Southampton FC,25,1981-01-30,Retired,,,False,
Centre-Forward,right,,2005-01-13,Fernando Morientes,186,7531,['Spain'],10000000,Real Madrid,30,1976-05-04,Retired,,,False,
Centre-Forward,left,,2006-01-27,Robbie Fowler,175,3225,['England'],4500000,: Ablöse free transfer,31,1975-09-04,Retired,,,False,
Centre-Forward,N/A,,2005-08-22,Besian Idrizaj,,20275,"['Austria', 'Kosovo']",,: Ablöse €275k,18,1987-12-10,---,,,False,
