position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2005-07-22,Sander Westerveld,193,3427,['Netherlands'],1900000,Real Sociedad,31,1974-10-23,Retired,,,False,
Goalkeeper,left,,2006-01-25,Dean Kiely,185,3748,"['Ireland', 'England']",1200000,Charlton Athletic,35,1970-10-10,Retired,,,False,
Goalkeeper,right,,2005-01-01,Konstantinos Chalkias,198,15423,['Greece'],1100000,: Ablöse €150k,32,1974-05-30,Retired,,,False,
Goalkeeper,left,,2004-01-07,Jamie Ashdown,190,13397,['England'],700000,Reading FC,25,1980-11-30,Retired,,,False,
Goalkeeper,right,,2005-01-03,Andrea Guatelli,197,28808,['Italy'],75000,Parma Primavera,22,1984-05-05,Retired,,,False,
Centre-Back,right,,2005-01-07,Andrew O'Brien,191,3228,"['Ireland', 'England']",3000000,Newcastle United,27,1979-06-29,Retired,,,False,
Centre-Back,right,,2006-01-01,Noé Pamarot,180,5531,['France'],2200000,: Ablöse ?,27,1979-04-14,Retired,,,False,
Centre-Back,left,,2003-07-28,Dejan Stefanovic,180,4308,['Serbia'],2000000,Vitesse Arnhem,31,1974-10-28,Retired,,,False,
Centre-Back,right,,2000-01-07,Linvoy Primus,180,4266,['England'],1750000,Reading FC,32,1973-09-14,Retired,,,False,
Left-Back,N/A,,2005-01-07,Grégory Vignal,,4755,['France'],2000000,: Ablöse free transfer,24,1981-07-19,Retired,,,False,
Right-Back,right,,2004-01-07,Andy Griffin,173,3579,['England'],2200000,Newcastle United,27,1979-03-17,Retired,,,False,
Right-Back,right,,2005-08-22,Brian Priske,188,13351,['Denmark'],2000000,: Ablöse €750k,29,1977-05-14,Retired,,,False,
Defensive Midfield,right,,2006-12-01,Sean Davis,178,4036,['England'],3000000,: Ablöse €2.80m,26,1979-09-20,Retired,,,False,
Defensive Midfield,right,,2005-01-07,Jhon Viáfara,192,32137,['Colombia'],2500000,Once Caldas,27,1978-10-27,Retired,,,False,
Defensive Midfield,right,,2005-08-31,Salif Diao,183,3600,"['Senegal', 'France']",2200000,: Ablöse free transfer,29,1977-10-02,Retired,,,False,
Defensive Midfield,right,,2004-01-07,Aliou Cissé,180,3796,"['Senegal', 'France']",1800000,: Ablöse €450k,30,1976-03-24,Retired,,,False,
Defensive Midfield,right,,2005-01-01,Giannis Skopelitis,179,15219,['Greece'],1500000,: Ablöse €1.50m,28,1978-02-03,Retired,,,False,
Defensive Midfield,left,,2002-01-07,Richard Hughes,175,9207,['Scotland'],1000000,: Ablöse €80k,27,1979-06-25,Retired,,,False,
Central Midfield,both,,2006-01-01,Pedro Mendes,177,9811,['Portugal'],3000000,: Ablöse ?,27,1979-02-26,Retired,,,False,
Central Midfield,right,,2000-01-07,Gary O'Neil,174,3995,['England'],2000000,: Ablöse -,23,1983-05-18,Retired,,,False,
Left Midfield,left,,2002-01-07,Matthew Taylor,177,9218,['England'],1600000,: Ablöse €600k,24,1981-11-27,Retired,,,False,
Attacking Midfield,N/A,,2006-01-31,Andrés D'Alessandro,,3445,"['Argentina', 'Brazil']",5750000,: Ablöse ?,25,1981-04-15,Retired,,,False,
Attacking Midfield,right,,2005-01-07,Zvonimir Vukic,182,14542,['Serbia'],4500000,: Ablöse €400k,26,1979-07-19,Retired,,,False,
Left Winger,both,,2005-01-07,Laurent Robert,176,3316,['France'],6600000,Newcastle United,31,1975-05-21,Retired,,,False,
Left Winger,right,,2006-01-30,Wayne Routledge,170,14066,"['England', 'Jamaica']",2800000,: Ablöse free transfer,21,1985-07-01,Retired,,,False,
Right Winger,right,,2005-01-08,Ognjen Koroman,179,25002,"['Serbia', 'Bosnia-Herzegovina']",2750000,: Ablöse ?,27,1978-09-19,FK Ježevica,,,False,
Right Winger,right,,2005-08-31,Franck Songo'o,178,34839,"['Cameroon', 'France']",400000,FC Barcelona U19,19,1987-05-14,Retired,,,False,
Centre-Forward,right,,2004-01-07,Lomana LuaLua,180,3458,"['DR Congo', 'England']",5500000,Newcastle United,25,1980-12-28,Retired,,,False,
Centre-Forward,right,,2011-01-08,Benjani,188,12063,['Zimbabwe'],4250000,Blackburn Rovers,27,1978-08-13,Retired,,,False,
Centre-Forward,right,,2005-08-31,Darío Silva,175,7792,"['Uruguay', 'Spain']",4250000,Sevilla FC,33,1972-02-11,Retired,,,False,
Centre-Forward,right,,2006-04-01,Emmanuel Olisadebe,180,4149,"['Poland', 'Nigeria']",3300000,: Ablöse €500k,27,1978-12-22,Retired,,,False,
Centre-Forward,right,,2005-01-07,Azar Karadas,189,12373,"['Norway', 'Türkiye']",2200000,SL Benfica,24,1981-09-08,Retired,,,False,
Centre-Forward,right,,2002-03-19,Svetoslav Todorov,183,3978,"['Bulgaria', 'England']",2000000,: Ablöse €1.13m,27,1978-08-30,Retired,,,False,
Centre-Forward,left,,2005-01-07,Collins Mbesuma,183,32515,['Zambia'],1500000,Kaizer Chiefs,22,1984-03-02,Retired,,,False,
Centre-Forward,right,,2003-07-26,Vincent Péricard,185,3970,"['France', 'Cameroon']",1000000,: Ablöse €600k,23,1982-03-10,Retired,,,False,
Centre-Forward,N/A,,2004-01-27,Ivica Mornar,,9615,"['Croatia', 'Belgium']",600000,: Ablöse €600k,32,1974-12-01,Retired,,,False,
