position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,N/A,,2004-07-14,Tomasz Kuszczak,,1320,"['Poland', 'England']",3500000,: Ablöse free transfer,24,1982-03-20,Retired,,,False,
Goalkeeper,right,,2005-07-16,Chris Kirkland,198,3219,['England'],3000000,: Ablöse free transfer,25,1981-02-05,Retired,,,False,
Goalkeeper,,,2001-03-01,Russell Hoult,193,3653,['England'],1250000,: Ablöse €700k,33,1972-11-22,Retired,,,False,
Centre-Back,both,,2004-01-07,Martin Albrechtsen,185,14960,['Denmark'],8000000,: Ablöse €3.75m,26,1980-03-31,FK Prespa,,,False,
Centre-Back,right,,2005-08-31,Curtis Davies,188,18227,"['Sierra Leone', 'England']",4000000,: Ablöse €4.50m,21,1985-03-15,Retired,,,False,
Centre-Back,right,,2004-01-07,Riccardo Scimeca,185,5174,['England'],1750000,: Ablöse €147k,31,1975-06-13,Retired,,,False,
Centre-Back,right,,2001-01-09,Darren Moore,188,3243,"['Jamaica', 'England']",1200000,: Ablöse €1.10m,32,1974-04-22,Retired,,,False,
Centre-Back,right,,2003-01-07,Thomas Gaardsøe,188,9984,['Denmark'],900000,Ipswich Town,27,1979-01-23,Retired,,,False,
Centre-Back,right,,2006-01-31,Williams Martínez,183,38065,"['Uruguay', 'Italy']",500000,Defensor Sporting Club,23,1982-12-18,---,,,False,
Left-Back,left,,2003-10-14,Paul Robinson,175,14063,['England'],1000000,Watford FC,27,1978-12-14,Retired,,,False,
Right-Back,right,,2005-05-07,Steve Watson,185,3309,['England'],2500000,: Ablöse free transfer,32,1974-01-04,Retired,,,False,
Right-Back,left,,2000-01-07,Neil Clement,183,3789,['England'],1500000,: Ablöse €150k,27,1978-03-10,Retired,,,False,
Right-Back,right,,2005-01-07,Jared Hodgkiss,168,39927,['England'],,West Bromwich Albion U18,19,1986-11-15,Retired,,,False,
Defensive Midfield,right,,2004-08-31,Junichi Inamoto,181,3568,['Japan'],2250000,: Ablöse €300k,26,1979-09-18,Retired,,,False,
Central Midfield,right,,2004-07-29,Jonathan Greening,180,3865,['England'],4000000,: Ablöse €1.75m,27,1979-02-01,Retired,,,False,
Central Midfield,right,,2005-01-31,Richard Chaplow,175,9975,['England'],2250000,: Ablöse €2.25m,21,1985-02-02,Retired,,,False,
Central Midfield,left,,2005-04-07,Darren Carter,188,3929,['England'],2250000,: Ablöse €2.25m,22,1983-12-18,Retired,,,False,
Central Midfield,left,,2006-01-01,Nigel Quashie,175,4139,"['Scotland', 'England']",2000000,Southampton FC,27,1978-07-20,Retired,,,False,
Central Midfield,left,,2002-01-07,Ronnie Wallwork,178,3305,['England'],900000,Manchester United,28,1977-10-09,Retired,,,False,
Central Midfield,right,,2005-01-07,Rob Davies,178,45849,['Wales'],,West Bromwich Albion U18,19,1987-03-24,Unknown,,,False,
Left Midfield,left,,2001-09-07,Lloyd Dyer,173,3668,"['England', 'Montserrat']",350000,: Ablöse free transfer,23,1982-09-13,Retired,,,False,
Attacking Midfield,right,,2011-02-08,Zoltán Gera,183,18324,['Hungary'],3500000,Fulham FC,27,1979-04-22,Retired,,,False,
Attacking Midfield,right,,2001-01-07,Andy Johnson,183,3672,"['Wales', 'England']",1300000,: Ablöse €300k,32,1974-02-05,Retired,,,False,
Attacking Midfield,left,,2006-01-01,Ján Kozák,190,34427,['Slovakia'],1250000,: Ablöse ?,26,1980-04-22,Retired,,,False,
Right Winger,both,,2005-01-07,Diomansy Kamara,184,6053,"['Senegal', 'France']",2000000,: Ablöse €2.25m,25,1980-08-11,Retired,,,False,
Centre-Forward,right,,2004-01-09,Robert Earnshaw,173,12707,"['Wales', 'Zambia']",5300000,: Ablöse €4.50m,25,1981-06-04,Retired,,,False,
Centre-Forward,right,,2005-01-07,Nathan Ellington,178,13515,"['England', 'Jamaica']",3500000,Wigan Athletic,24,1981-02-07,Retired,,,False,
Centre-Forward,right,,2004-07-30,Nwankwo Kanu,197,3133,['Nigeria'],3000000,: Ablöse free transfer,29,1976-01-08,Retired,,,False,
Centre-Forward,right,,2003-01-12,Geoff Horsfield,183,3792,['England'],1250000,Wigan Athletic,32,1973-01-11,Retired,,,False,
Centre-Forward,right,,2005-11-01,Kevin Campbell,183,3468,"['England', 'Jamaica']",1250000,: Ablöse free transfer,36,1970-04-02,---,,,False,
Centre-Forward,right,,2005-01-07,Stuart Nicholson,178,37683,['England'],50000,West Bromwich Albion U18,19,1987-03-02,Retired,,,False,
