position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2000-03-11,Brad Friedel,191,3476,"['United States', 'England']",3500000,: Ablöse free transfer,37,1971-05-18,Retired,,,False,
Goalkeeper,right,,2004-06-01,Peter Enckelman,188,3719,['Finland'],900000,: Ablöse €215k,31,1977-10-03,Retired,,,False,
Goalkeeper,,,2006-01-07,Jason Brown,180,15916,['Wales'],600000,Gillingham FC,26,1982-05-18,Retired,,,False,
Goalkeeper,right,,2007-02-07,Gunnar Nielsen,191,23086,['Faroe Islands'],400000,Boldklubben Frem,21,1986-07-10,Retired,,,False,
Goalkeeper,right,,2007-01-07,Frank Fielding,185,57070,['England'],300000,Blackburn Rovers U18,20,1988-04-04,Stoke City,,,False,
Centre-Back,N/A,,2007-01-25,Christopher Samba,,29016,"['Congo', 'France']",5000000,: Ablöse €500k,24,1984-03-28,Retired,,,False,
Centre-Back,right,,2005-06-01,Ryan Nelsen,185,28878,['New Zealand'],3500000,: Ablöse free transfer,30,1977-10-18,Retired,,,False,
Centre-Back,right,,2006-08-26,André Ooijer,187,4345,['Netherlands'],3000000,: Ablöse €3.00m,33,1974-11-07,Retired,,,False,
Centre-Back,N/A,,2005-01-01,Aaron Mokoena,,4756,['South Africa'],3000000,: Ablöse €900k,27,1980-11-25,Retired,,,False,
Centre-Back,right,,2006-01-07,Zurab Khizanishvili,186,9621,['Georgia'],1750000,: Ablöse €750k,26,1981-06-10,Retired,,,False,
Centre-Back,N/A,,2006-09-09,Stéphane Henchoz,,3210,"['Switzerland', 'Germany']",800000,Without Club,33,1974-07-09,Retired,,,False,
Centre-Back,right,,2007-01-07,Rostyn Griffiths,187,67715,"['Australia', 'England']",150000,Blackburn Rovers U18,20,1988-10-03,Inglewood United FC,,,False,
Centre-Back,right,,2006-01-07,Eddie Nolan,183,47601,['Ireland'],100000,Blackburn Rovers U18,19,1988-05-08,Retired,,,False,
Centre-Back,right,,,Dean Winnard,175,71282,['England'],50000,,18,1989-08-20,Retired,,,False,
Left-Back,left,,2007-01-22,Stephen Warnock,178,3308,['England'],4000000,: Ablöse €2.25m,26,1981-12-12,Retired,,,False,
Left-Back,left,,2007-01-01,Bruno Berner,185,1589,['Switzerland'],500000,: Ablöse €500k,30,1977-11-21,Retired,,,False,
Left-Back,left,,2007-01-07,Martin Olsson,178,38073,['Sweden'],300000,Blackburn Rovers U18,20,1988-05-17,Without Club,,,False,
Right-Back,right,,2003-01-07,Steven Reid,185,7330,"['Ireland', 'England']",3500000,: Ablöse €3.60m,27,1981-10-03,Retired,,,False,
Right-Back,both,,2006-01-07,Tony Kane,183,46762,['Northern Ireland'],300000,Blackburn Rovers U18,20,1987-08-29,Retired,,,False,
Defensive Midfield,both,,2008-01-03,Johann Vogel,177,4352,['Switzerland'],1500000,Without Club,31,1977-08-03,Retired,,,False,
Defensive Midfield,right,,2001-01-07,Tugay Kerimoğlu,176,3703,['Türkiye'],1000000,: Ablöse €1.95m,37,1970-08-24,Retired,,,False,
Central Midfield,left,,2004-08-27,Morten Gamst Pedersen,183,22741,['Norway'],8250000,Tromsø IL,26,1981-08-09,Retired,,,False,
Central Midfield,right,,2003-01-07,Paul Gallagher,185,10501,['Scotland'],1250000,Blackburn Rovers U18,23,1984-08-09,Retired,,,False,
Central Midfield,left,,2006-01-07,Bryan Hodge,178,48106,['Scotland'],50000,Blackburn Rovers U18,20,1987-09-23,Retired,,,False,
Right Midfield,right,,2013-02-15,David Bentley,178,3205,['England'],9000000,: Ablöse free transfer,23,1984-08-27,Retired,,,False,
Right Midfield,right,,2003-10-07,Brett Emerton,185,4367,['Australia'],5250000,: Ablöse €3.00m,29,1979-02-22,Retired,,,False,
Left Midfield,N/A,,2005-01-07,Sergio Peter,,29341,['Germany'],700000,Blackburn Rovers Reserves,21,1986-12-10,Retired,,,False,
Left Midfield,left,,2007-01-07,Keith Treacy,183,57064,['Ireland'],300000,Blackburn Rovers U18,19,1988-09-13,Retired,,,False,
Attacking Midfield,right,,2007-01-17,David Dunn,178,4243,['England'],5250000,: Ablöse €3.20m,28,1979-12-27,Retired,,,False,
Left Winger,right,,,Raffaele De Vita,180,71226,['Italy'],50000,,20,1987-09-23,Without Club,,,False,
Right Winger,right,,,Josh O'Keefe,191,71259,"['Ireland', 'England']",50000,,19,1988-12-22,Retired,,,False,
Centre-Forward,right,,2006-01-07,Benni McCarthy,184,3091,['South Africa'],10000000,FC Porto,30,1977-12-11,Retired,,,False,
Centre-Forward,right,,2011-01-14,Roque Santa Cruz,193,215,"['Paraguay', 'Spain']",8000000,: Ablöse free transfer,26,1981-08-16,Club Nacional Asunción,,,False,
Centre-Forward,right,,2006-01-07,Matt Derbyshire,180,15175,['England'],3000000,Blackburn Rovers Reserves,22,1986-04-14,Without Club,,,False,
Centre-Forward,right,,2006-03-07,Jason Roberts,185,3666,"['Grenada', 'England']",2000000,Wigan Athletic,30,1978-01-25,Retired,,,False,
Centre-Forward,right,,2007-01-07,Maceo Rigters,179,27701,"['Netherlands', 'Suriname']",1250000,: Ablöse €1.20m,24,1984-01-22,Retired,,,False,
Centre-Forward,right,,2007-01-07,Jamie Clarke,178,71222,['England'],50000,Blackburn Rovers U18,19,1988-11-09,Retired,,,False,
