position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2010-01-07,Ben Foster,193,13572,['England'],5000000,Manchester United,28,1983-03-04,Retired,,,False,
Goalkeeper,right,,2003-01-07,Colin Doyle,196,28728,['Ireland'],250000,Birmingham City U18,26,1985-12-06,Retired,,,False,
Goalkeeper,right,,2004-03-22,Maik Taylor,193,3723,"['Northern Ireland', 'Germany']",,Fulham FC,39,1971-04-09,Retired,,,False,
Centre-Back,right,,2009-01-07,Roger Johnson,191,42751,['England'],5000000,: Ablöse €5.90m,28,1983-04-28,Retired,,,False,
Centre-Back,both,,2007-03-08,Liam Ridgewell,188,4070,['England'],4500000,: Ablöse €3.00m,26,1984-07-21,Retired,,,False,
Centre-Back,right,,2009-01-07,Scott Dann,194,62688,['England'],4500000,Coventry City,24,1987-02-14,Retired,,,False,
Centre-Back,right,,2011-01-28,Curtis Davies,188,18227,"['Sierra Leone', 'England']",4500000,: Ablöse €4.00m,26,1985-03-15,Retired,,,False,
Centre-Back,right,,2010-08-30,Martin Jiránek,190,6065,['Czech Republic'],2000000,: Ablöse €600k,32,1979-05-25,Retired,,,False,
Centre-Back,right,,,Alpaslan Öztürk,186,138736,"['Türkiye', 'Belgium']",,,17,1993-07-16,Kahramanmaras Istiklal Spor,,,False,
Centre-Back,right,,,Fraser Kerr,191,120967,['Scotland'],,,18,1993-01-17,Without Club,,,False,
Left-Back,left,,2010-08-30,Jean Beausejour,178,18871,"['Chile', 'Haiti']",2500000,CF América,27,1984-01-06,Retired,,,False,
Left-Back,left,,2008-01-01,David Murphy,185,3868,['England'],750000,Hibernian FC,27,1984-01-03,Retired,,,False,
Right-Back,right,,2009-01-01,Stephen Carr,175,4046,['Ireland'],1500000,,34,1976-08-29,Retired,,,False,
Right-Back,right,,2007-01-07,Stuart Parnaby,178,3866,['England'],1000000,: Ablöse free transfer,28,1982-07-19,Retired,,,False,
Defensive Midfield,right,,2009-07-17,Barry Ferguson,178,10251,['Scotland'],4500000,: Ablöse €1.20m,33,1978-02-02,Retired,,,False,
Central Midfield,right,,2007-01-31,Sebastian Larsson,178,31720,['Sweden'],6000000,: Ablöse €1.50m,26,1985-06-06,Retired,,,False,
Central Midfield,right,,2017-01-07,Craig Gardner,176,37171,['England'],4000000,West Bromwich Albion,24,1986-11-25,Retired,,,False,
Central Midfield,right,,2009-08-07,Lee Bowyer,175,3877,['England'],2500000,: Ablöse free transfer,34,1977-03-01,Retired,,,False,
Central Midfield,right,,2010-11-01,Míchel Madera,183,57818,['Spain'],2500000,Sporting Gijón,25,1985-08-11,Retired,,,False,
Central Midfield,right,,2009-01-01,Keith Fahey,179,29878,['Ireland'],2500000,St. Patrick's Athletic,28,1983-01-15,Retired,,,False,
Central Midfield,right,,2009-01-07,Jordon Mutch,184,57207,['England'],500000,Birmingham City U18,19,1991-02-12,Without Club,,,False,
Central Midfield,right,,2010-01-07,Enric Vallès,190,65305,['Spain'],75000,: Ablöse free transfer,21,1990-01-03,Unknown,,,False,
Right Midfield,right,,2011-12-01,David Bentley,178,3205,['England'],7000000,: Ablöse free transfer,26,1984-08-27,Retired,,,False,
Attacking Midfield,N/A,,2010-08-31,Aleksandr Hleb,,597,['Belarus'],5000000,FC Barcelona,30,1981-01-05,Retired,,,False,
Left Winger,left,,2008-01-18,James McFadden,178,9956,['Scotland'],4000000,: Ablöse €7.50m,28,1983-04-14,Retired,,,False,
Right Winger,right,,2011-01-07,Nathan Redmond,173,129078,"['England', 'Jamaica']",50000,Birmingham City U18,17,1994-06-03,Without Club,,,False,
Centre-Forward,N/A,,2011-01-31,Obafemi Martins,,5794,"['Nigeria', 'Italy']",7000000,: Ablöse €400k,26,1984-10-28,Retired,,,False,
Centre-Forward,right,,2014-05-12,Nikola Zigic,202,19729,['Serbia'],6000000,Without Club,30,1980-09-25,Retired,,,False,
Centre-Forward,right,,2006-01-07,Cameron Jerome,185,35855,"['England', 'Grenada']",5500000,: Ablöse €4.45m,24,1986-08-14,FC Newsome,,,False,
Centre-Forward,right,,2010-08-16,Matt Derbyshire,180,15175,['England'],3500000,: Ablöse €600k,25,1986-04-14,Without Club,,,False,
Centre-Forward,right,,2007-01-07,Garry O'Connor,186,15708,['Scotland'],1500000,: Ablöse €4.00m,28,1983-07-05,Retired,,,False,
Centre-Forward,right,,2008-01-07,Marcus Bent,188,9958,"['England', 'Jamaica']",1000000,Charlton Athletic,33,1978-05-19,Cornard United FC,,,False,
Centre-Forward,right,,2008-09-07,Kevin Phillips,170,3131,['England'],750000,West Bromwich Albion,37,1973-07-25,Retired,,,False,
Centre-Forward,right,,2011-01-07,Akwasi Asante,183,129552,"['Netherlands', 'Ghana']",,Birmingham City U18,18,1992-06-09,Without Club,,,False,
