position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2008-01-07,Matt Gilks,185,48254,"['Scotland', 'England']",1000000,: Ablöse free transfer,29,1982-04-06,Retired,,,False,
Goalkeeper,right,,2010-01-09,Richard Kingston,183,7125,"['Ghana', 'Türkiye']",1000000,Wigan Athletic,33,1978-06-13,Retired,,,False,
Goalkeeper,right,,2007-01-07,Paul Rachubka,185,4098,"['England', 'United States']",500000,: Ablöse free transfer,30,1981-05-21,Retired,,,False,
Goalkeeper,right,,2009-01-07,Mark Halstead,190,99972,['England'],50000,Blackpool FC U18,20,1990-09-17,Colwyn Bay,,,False,
Goalkeeper,,,2011-01-07,Chris Kettings,193,177953,['Scotland'],,Blackpool FC U18,18,1992-10-25,Retired,,,False,
Defender,,,,Josh Roberts,,162610,['England'],,,,,Unknown,,,False,
Centre-Back,right,,2006-01-07,Ian Evatt,191,37127,['England'],2500000,: Ablöse free transfer,29,1981-11-19,Retired,,,False,
Centre-Back,right,,2010-11-08,Craig Cathcart,189,59606,['Northern Ireland'],2000000,Manchester United Reserves,22,1989-06-02,Retired,,,False,
Centre-Back,right,,2010-08-13,Chris Basham,190,52495,['England'],1000000,: Ablöse €1.40m,22,1988-07-20,Retired,,,False,
Centre-Back,right,,2008-01-07,Rob Edwards,185,4068,['Wales'],1000000,Wolverhampton Wanderers,28,1982-12-25,Retired,,,False,
Centre-Back,left,,2010-07-29,Dekel Keinan,185,24476,['Israel'],1000000,: Ablöse free transfer,26,1984-09-15,Los Angeles Force,,,False,
Centre-Back,right,,2008-01-07,Alex Baptiste,180,16660,['England'],500000,Mansfield Town,25,1986-01-31,Retired,,,False,
Centre-Back,right,,2009-01-07,Ashley Eastham,191,118265,['England'],25000,Blackpool FC U18,20,1991-03-22,Retired,,,False,
Centre-Back,,,,Biko Bradnock-Brennan,191,150673,"['Ireland', 'England']",,,18,1992-04-10,Without Club,,,False,
Left-Back,left,,2007-10-07,Stephen Crainey,175,9499,['Scotland'],1500000,Leeds United,30,1981-06-22,Retired,,,False,
Left-Back,left,,2011-01-24,Salaheddine Sbaï,178,22352,"['Morocco', 'Belgium']",200000,: Ablöse free transfer,25,1985-08-21,Retired,,,False,
Left-Back,left,,2011-01-07,Adam Dodd,187,160851,['England'],,Blackpool FC U18,18,1993-05-14,Bamber Bridge FC,,,False,
Right-Back,right,,2009-07-08,Neal Eardley,180,49428,['Wales'],1000000,: Ablöse €425k,22,1988-06-11,Retired,,,False,
Right-Back,right,,1998-01-07,Danny Coid,180,37898,['England'],250000,Blackpool FC U18,29,1981-03-10,Retired,,,False,
Defensive Midfield,left,,2008-04-08,David Vaughan,171,14178,['Wales'],2000000,Real Sociedad,28,1983-02-18,Retired,,,False,
Defensive Midfield,right,,2010-11-08,Malaury Martin,180,40875,['France'],500000,: Ablöse free transfer,22,1988-08-25,Retired,,,False,
Midfielder,,,,Pa Modou Jobe,,171414,"['Belgium', 'The Gambia']",,,,,Retired,,,False,
Central Midfield,left,,2009-04-08,Charlie Adam,185,28990,['Scotland'],4500000,: Ablöse €590k,25,1985-10-12,Retired,,,False,
Central Midfield,right,,2010-01-08,Ludovic Sylvestre,182,43248,"['France', 'Guadeloupe']",1500000,FK Mlada Boleslav,27,1984-05-02,Retired,,,False,
Central Midfield,right,,2002-01-07,Keith Southern,178,44986,['England'],1000000,Everton FC Reserves,30,1981-04-24,Retired,,,False,
Central Midfield,left,,2011-01-31,Jason Puncheon,173,47995,"['England', 'Jamaica']",450000,: Ablöse free transfer,25,1986-06-18,Retired,,,False,
Central Midfield,right,,2010-01-02,Stephen Husband,180,60932,['Scotland'],250000,Heart of Midlothian FC,20,1990-10-29,Retired,,,False,
Central Midfield,right,,2011-01-07,Liam Tomsett,180,174214,['England'],,Blackpool FC U18,18,1992-10-21,Without Club,,,False,
Right Midfield,right,,,Kingsley Francis-Reynolds,,140916,['England'],,,18,1992-10-28,Bethnal Green United FC,,,False,
Left Midfield,left,Groin injury - Return unknown,2011-01-31,Andy Reid,170,10008,['Ireland'],5000000,Sunderland AFC,28,1982-07-29,Retired,,,False,
Left Midfield,left,,2010-01-09,David Carney,183,10387,['Australia'],1000000,FC Twente Enschede,27,1983-11-30,Retired,,,False,
Attacking Midfield,right,,2014-06-02,Elliot Grandin,180,56785,"['France', 'DR Congo']",2000000,Crystal Palace,23,1987-10-17,Retired,,,False,
Left Winger,,,2009-01-07,Jason Euell,180,3092,"['Jamaica', 'England']",500000,Southampton FC,34,1977-06-02,Retired,,,False,
Left Winger,left,,2009-01-07,Ishmel Demontagnac,178,42188,"['England', 'Jamaica']",250000,Without Club,23,1988-06-15,Retired,,,False,
Right Winger,right,,2007-10-07,Gary Taylor-Fletcher,183,49101,['England'],2000000,: Ablöse €125k,30,1981-04-06,Retired,,,False,
Right Winger,right,,2010-08-31,Matt Phillips,183,77274,"['Scotland', 'England']",1500000,Wycombe Wanderers,20,1991-03-13,Without Club,,,False,
Right Winger,right,,2011-01-07,Tom Barkhuizen,175,160137,"['England', 'South Africa']",,Blackpool FC U18,17,1993-04-07,Barrow AFC,,,False,
Second Striker,left,,2009-01-07,Billy Clarke,170,33248,['Ireland'],500000,Ipswich Town,23,1987-12-13,Retired,,,False,
Centre-Forward,right,,2010-08-27,Luke Varney,181,14177,['England'],3000000,: Ablöse free transfer,28,1982-09-28,Retired,,,False,
Centre-Forward,left,,2011-01-31,Sergey Kornilenko,186,15881,"['Belarus', 'Russia']",3000000,: Ablöse €300k,28,1983-06-14,Retired,,,False,
Centre-Forward,right,,2010-01-08,DJ Campbell,178,37896,['England'],2500000,Leicester City,29,1981-12-11,Retired,,,False,
Centre-Forward,right,,2010-02-08,Marlon Harewood,185,10011,"['England', 'Barbados']",2000000,: Ablöse free transfer,31,1979-08-25,Retired,,,False,
Centre-Forward,right,,2011-01-31,James Beattie,185,3112,['England'],2000000,: Ablöse free transfer,33,1978-02-27,Retired,,,False,
Centre-Forward,right,,2009-01-30,Brett Ormerod,180,4113,['England'],1000000,: Ablöse free transfer,34,1976-10-18,Retired,,,False,
Centre-Forward,right,,2009-01-07,Louis Almond,180,123336,['England'],50000,Blackpool FC U18,19,1992-05-01,Without Club,,,False,
