position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2006-10-27,Chris Kirkland,198,3219,['England'],4000000,: Ablöse €3.73m,30,1981-02-05,Retired,,,False,
Goalkeeper,right,,2011-04-07,Ali Al-Habsi,194,26633,['Oman'],2000000,: Ablöse €4.30m,29,1981-12-30,Retired,,,False,
Goalkeeper,right,,2005-01-07,Mike Pollitt,193,32217,['England'],250000,: Ablöse €300k,39,1972-02-29,Retired,,,False,
Goalkeeper,right,,2010-01-07,Lee Nicholls,191,126258,['England'],50000,Wigan Athletic U18,18,1992-05-10,Preston North End,,,False,
Centre-Back,right,,2010-01-07,Antolín Alcaraz,187,14259,"['Paraguay', 'Italy']",4000000,: Ablöse free transfer,28,1982-07-30,Retired,,,False,
Centre-Back,right,,2010-01-13,Gary Caldwell,185,3791,['Scotland'],3500000,: Ablöse €1.10m,29,1982-12-04,Retired,,,False,
Centre-Back,right,,2010-08-23,Steven Caldwell,183,3462,['Scotland'],2000000,: Ablöse free transfer,30,1980-12-09,Retired,,,False,
Centre-Back,N/A,,2010-01-01,Steve Gohouri,,19857,"[""Cote d'Ivoire"", 'France']",1500000,Borussia Mönchengladbach,30,1981-08-02,---,,,False,
Centre-Back,right,,2011-01-01,Adrián López,184,44966,['Spain'],500000,Deportivo de La Coruña,24,1987-02-25,Retired,,,False,
Centre-Back,,,,Jordan Robinson,188,173066,['England'],,,20,1991-04-28,Retired,,,False,
Centre-Back,N/A,,2011-01-07,Román Golobart,,90273,['Spain'],,Wigan Athletic U21,19,1992-03-21,Retired,,,False,
Left-Back,left,,2014-10-21,Maynor Figueroa,182,62240,['Honduras'],5500000,: Ablöse free transfer,28,1983-02-05,Retired,,,False,
Left-Back,left,,2009-01-07,Jordan Mustoe,179,61715,['England'],,Wigan Athletic U18,20,1991-01-28,Retired,,,False,
Right-Back,right,,2010-01-07,Ronnie Stam,179,24877,['Netherlands'],4000000,FC Twente Enschede,27,1984-06-18,Retired,,,False,
Right-Back,right,,2006-01-08,Emmerson Boyce,180,19641,"['Barbados', 'England']",2500000,: Ablöse €1.50m,31,1979-09-24,Retired,,,False,
Right-Back,right,,2011-01-07,Adam Buxton,185,126249,['England'],,Wigan Athletic U18,19,1992-12-05,Without Club,,,False,
Defensive Midfield,right,,2009-01-07,Hendry Thomas,180,62275,['Honduras'],3000000,CD Olimpia,26,1985-02-23,Retired,,,False,
Central Midfield,right,,2009-08-22,Mohamed Diamé,184,70950,"['Senegal', 'France']",3500000,: Ablöse €3.00m,24,1987-06-14,Retired,,,False,
Central Midfield,right,,2009-07-16,James McCarthy,180,45333,"['Ireland', 'Scotland']",3000000,Hamilton Academical FC,20,1990-12-11,Without Club,,,False,
Central Midfield,right,,2009-01-26,Ben Watson,178,14081,['England'],2500000,: Ablöse €2.10m,25,1985-09-07,Retired,,,False,
Central Midfield,right,,2010-08-31,Tom Cleverley,175,73484,['England'],2500000,Manchester United,21,1989-12-08,Retired,,,False,
Central Midfield,left,,2016-08-17,Jordi Gómez,178,39010,['Spain'],2000000,Sunderland AFC,26,1985-05-24,Retired,,,False,
Central Midfield,both,,2010-01-07,James McArthur,178,41416,['Scotland'],2000000,Hamilton Academical FC,23,1987-07-10,Retired,,,False,
Central Midfield,right,,,Callum Morris,187,142728,['England'],,,18,1992-01-09,Precision FC,,,False,
Central Midfield,left,,2010-01-07,Daniel Redmond,175,61586,['England'],,Wigan Athletic U21,20,1991-02-03,The New Saints,,,False,
Attacking Midfield,left,,2007-10-07,Jason Koumas,177,3661,"['Wales', 'Cyprus']",2000000,West Bromwich Albion,31,1979-09-25,Retired,,,False,
Left Winger,right,,2008-01-07,Daniël de Ridder,180,15894,"['Netherlands', 'Israel']",750000,: Ablöse free transfer,27,1984-06-03,Retired,,,False,
Right Winger,left,heart problems - Return unknown,2009-02-02,Charles N'Zogbia,171,22165,"['France', 'DR Congo']",9000000,Newcastle United,25,1986-05-28,Retired,,,False,
Right Winger,right,,2010-01-31,Victor Moses,177,59866,"['Nigeria', 'England']",2500000,: Ablöse €3.00m,20,1990-12-12,Kaysar Kyzylorda,,,False,
Right Winger,right,,2023-01-07,Callum McManaman,174,61711,"['England', 'Ireland']",,Without Club,20,1991-04-25,Wigan Athletic,,,False,
Centre-Forward,right,,2009-01-26,Hugo Rodallega,181,37934,['Colombia'],7500000,Club Necaxa,25,1985-07-25,Independiente Santa Fe,,,False,
Centre-Forward,right,,2010-01-07,Mauro Boselli,181,40822,"['Argentina', 'Mexico']",5500000,: Ablöse €3.70m,26,1985-05-22,Retired,,,False,
Centre-Forward,right,,2010-08-31,Franco Di Santo,193,59783,"['Argentina', 'Italy']",2500000,: Ablöse €2.40m,22,1989-07-04,Retired,,,False,
Centre-Forward,,,2009-07-18,Jason Scotland,175,12807,['Trinidad and Tobago'],1750000,: Ablöse €2.30m,32,1979-02-18,Retired,,,False,
Centre-Forward,right,,2011-01-31,Conor Sammon,188,68331,['Ireland'],700000,: Ablöse €700k,24,1986-06-11,Retired,,,False,
