position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2010-01-02,Asmir Begovic,199,33873,"['Bosnia-Herzegovina', 'Canada']",3500000,: Ablöse €3.75m,25,1987-06-20,Leicester City,,,False,
Goalkeeper,right,,2008-07-30,Thomas Sörensen,196,3473,['Denmark'],1000000,: Ablöse free transfer,36,1976-12-06,Retired,,,False,
Goalkeeper,right,,2010-01-07,Carlo Nash,197,3804,['England'],250000,: Ablöse free transfer,38,1973-09-13,Retired,,,False,
Centre-Back,N/A,,2009-08-27,Robert Huth,,2998,['Germany'],8000000,: Ablöse €7.00m,27,1984-08-18,Retired,,,False,
Centre-Back,right,,2008-01-18,Ryan Shawcross,191,45861,"['England', 'Wales']",8000000,Manchester United Reserves,24,1987-04-10,Retired,,,False,
Centre-Back,both,,2010-08-31,Marc Wilson,188,30456,"['Ireland', 'Northern Ireland']",5000000,: Ablöse €3.60m,24,1987-08-17,Retired,,,False,
Centre-Back,right,,2007-01-07,Ryan Shotton,189,92109,['England'],2500000,: Ablöse -,23,1988-09-30,Without Club,,,False,
Centre-Back,right,,2011-11-07,Jonathan Woodgate,188,3224,['England'],1500000,: Ablöse free transfer,32,1980-01-22,Retired,,,False,
Centre-Back,left,,2011-09-08,Matthew Upson,185,3273,['England'],1250000,: Ablöse free transfer,33,1979-04-18,Retired,,,False,
Centre-Back,left,,2009-01-09,Danny Collins,185,26183,"['Wales', 'England']",1000000,Sunderland AFC,31,1980-06-08,Retired,,,False,
Centre-Back,right,,2008-01-08,Andrew Davies,190,3869,['England'],750000,Southampton FC,27,1984-12-17,Retired,,,False,
Centre-Back,left,,2008-02-09,Danny Higginbotham,185,3686,"['Gibraltar', 'England']",500000,Sunderland AFC,33,1978-12-29,Retired,,,False,
Left-Back,left,,2008-03-01,Danny Pugh,183,3546,['England'],500000,: Ablöse €750k,29,1982-10-19,Retired,,,False,
Right-Back,right,,2003-01-07,Andy Wilkinson,180,13616,['England'],3500000,: Ablöse -,27,1984-06-08,Retired,,,False,
Defensive Midfield,right,,2011-01-07,Wilson Palacios,181,58361,['Honduras'],5500000,: Ablöse €9.00m,27,1984-07-29,Retired,,,False,
Defensive Midfield,right,,2008-01-30,Glenn Whelan,180,12124,['Ireland'],4000000,: Ablöse €670k,28,1984-01-13,Retired,,,False,
Defensive Midfield,right,,2007-10-12,Salif Diao,183,3600,"['Senegal', 'France']",500000,Without Club,35,1977-10-02,Retired,,,False,
Defensive Midfield,right,,2009-08-26,Diego Arismendi,189,72645,"['Uruguay', 'Italy']",500000,Club Nacional,24,1988-01-25,Club Atlético Terremoto,,,False,
Midfielder,,,,Michael Clarkson,,145483,['England'],,,18,1993-11-12,Unknown,,,False,
Central Midfield,right,,2009-01-07,Dean Whitehead,183,13683,['England'],3000000,Sunderland AFC,30,1982-12-01,Retired,,,False,
Central Midfield,left,,2008-01-09,Michael Tonge,183,13544,['England'],500000,Sheffield United,29,1983-07-04,Retired,,,False,
Central Midfield,right,,2007-09-01,Rory Delap,183,4112,"['Ireland', 'England']",500000,Sunderland AFC,35,1976-06-07,Retired,,,False,
Central Midfield,right,,2008-01-09,Tom Soares,183,15910,"['England', 'Barbados']",400000,: Ablöse €1.90m,25,1986-10-07,Without Club,,,False,
Left Midfield,left,,2009-01-01,Matthew Etherington,178,3788,['England'],4000000,: Ablöse €3.00m,30,1981-08-14,Retired,,,False,
Right Winger,right,,2010-08-18,Jonathan Walters,183,3306,"['Ireland', 'England']",5000000,Ipswich Town,28,1983-09-20,Retired,,,False,
Right Winger,right,,2011-01-01,Jermaine Pennant,173,3195,"['England', 'Jamaica']",3500000,Real Zaragoza,29,1983-01-15,Retired,,,False,
Centre-Forward,right,,2011-08-31,Peter Crouch,201,4072,"['England', 'Ireland']",6500000,: Ablöse €11.30m,31,1981-01-30,Retired,,,False,
Centre-Forward,right,,2010-11-08,Kenwyne Jones,187,28245,['Trinidad and Tobago'],5000000,Sunderland AFC,27,1984-05-10,Retired,,,False,
Centre-Forward,right,,2011-08-31,Cameron Jerome,185,35855,"['England', 'Grenada']",4000000,: Ablöse €4.50m,25,1986-08-14,FC Newsome,,,False,
Centre-Forward,right,,2006-08-30,Ricardo Fuller,191,14014,['Jamaica'],1000000,Southampton FC,32,1979-10-31,Retired,,,False,
Centre-Forward,right,,2005-01-07,Mamady Sidibé,193,14069,"['Mali', 'France']",500000,Gillingham FC,32,1979-12-18,Retired,,,False,
