position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2011-07-08,Michel Vorm,183,26276,"['Netherlands', 'Suriname']",8500000,: Ablöse €1.70m,28,1983-10-20,Retired,,,False,
Goalkeeper,right,,2011-01-07,José Moreira,185,13216,['Portugal'],1000000,SL Benfica,30,1982-03-20,Retired,,,False,
Goalkeeper,N/A,,2011-01-08,Gerhard Tremmel,,488,['Germany'],500000,: Ablöse free transfer,33,1978-11-16,Retired,,,False,
Centre-Back,right,,2008-01-07,Ashley Williams,183,67355,"['Wales', 'England']",4000000,: Ablöse €500k,27,1984-08-23,Retired,,,False,
Centre-Back,right,,2011-01-07,Steven Caulker,191,121280,"['Sierra Leone', 'England']",4000000,: Ablöse free transfer,20,1991-12-29,Retired,,,False,
Centre-Back,right,,2011-09-26,Vangelis Moras,193,9850,['Greece'],600000,Without Club,30,1981-08-26,Retired,,,False,
Centre-Back,right,,2004-06-02,Alan Tate,185,7337,['England'],500000,Manchester United,29,1982-02-09,Retired,,,False,
Centre-Back,right,,2004-01-07,Garry Monk,183,4111,['England'],500000,Barnsley FC,33,1979-06-03,Retired,,,False,
Centre-Back,right,,2011-08-31,Darnel Situ,187,111059,"['France', 'DR Congo']",250000,: Ablöse €285k,20,1992-03-18,Retired,,,False,
Centre-Back,left,,,Joe Walsh,180,156559,['Wales'],,,20,1992-05-13,Without Club,,,False,
Left-Back,left,,2010-01-07,Neil Taylor,176,67416,"['Wales', 'India']",3000000,Wrexham AFC,23,1989-07-02,Retired,,,False,
Left-Back,left,,2011-01-08,Federico Bessone,179,57973,"['Argentina', 'Spain']",500000,Leeds United,28,1984-01-23,Retired,,,False,
Right-Back,right,,2007-01-07,Ángel Rangel,188,66550,['Spain'],3500000,Terrassa FC,29,1982-11-28,Retired,,,False,
Right-Back,right,,2009-01-07,Jazz Richards,174,120241,['Wales'],1000000,: Ablöse -,21,1991-12-04,Retired,,,False,
Right-Back,right,,2012-01-01,Curtis Obeng,173,125467,"['England', 'Ghana']",250000,Wrexham AFC,23,1989-02-14,Retired,,,False,
Right-Back,right,,2010-01-07,Daniel Alfei,180,130216,['Wales'],,: Ablöse -,20,1992-02-23,Pontardawe Town,,,False,
Central Midfield,left,,2012-01-18,Josh McEachran,178,128905,"['England', 'Scotland']",4500000,: Ablöse free transfer,19,1993-01-03,Bristol Rovers,,,False,
Central Midfield,right,,2022-08-07,Joe Allen,170,51452,['Wales'],4000000,: Ablöse free transfer,22,1990-03-14,Retired,,,False,
Central Midfield,right,,2011-01-19,Leon Britton,167,40043,['England'],3500000,Sheffield United,29,1982-09-16,Retired,,,False,
Central Midfield,right,,2007-01-07,Ferrie Bodde,177,6756,['Netherlands'],1000000,ADO Den Haag,30,1982-05-05,Retired,,,False,
Central Midfield,right,,2010-09-10,Kemy Agustien,178,24862,"['Curacao', 'Netherlands']",1000000,Without Club,25,1986-08-20,Retired,,,False,
Central Midfield,left,,2007-08-31,Andrea Orlandi,183,29117,['Italy'],500000,: Ablöse free transfer,27,1984-03-08,Retired,,,False,
Central Midfield,both,,2008-01-07,Mark Gower,180,39700,['England'],500000,Southend United,33,1978-05-10,Retired,,,False,
Central Midfield,right,,2010-01-07,Lee Lucas,175,143851,['Wales'],,: Ablöse -,20,1992-10-06,Merthyr Town FC,,,False,
Right Midfield,right,,2010-01-07,Scott Donnelly,173,37365,['England'],250000,: Ablöse free transfer,24,1987-12-25,Retired,,,False,
Attacking Midfield,right,,2014-07-23,Gylfi Sigurdsson,186,90466,['Iceland'],8500000,: Ablöse €10.10m,22,1989-08-09,Víkingur Reykjavík,,,False,
Left Winger,right,,2010-09-08,Scott Sinclair,177,31552,"['England', 'Jamaica']",8000000,: Ablöse €600k,23,1989-03-25,Without Club,,,False,
Left Winger,right,,2011-04-08,Wayne Routledge,170,14066,"['England', 'Jamaica']",3500000,Newcastle United,27,1985-07-01,Retired,,,False,
Right Winger,right,,2009-01-01,Nathan Dyer,165,37011,"['England', 'Jamaica']",4500000,Southampton FC,24,1987-11-29,Retired,,,False,
Centre-Forward,right,,2011-01-07,Danny Graham,183,29152,['England'],4000000,Watford FC,26,1985-12-08,Retired,,,False,
Centre-Forward,right,,2011-03-08,Leroy Lita,176,20975,"['England', 'DR Congo']",1500000,: Ablöse €2.00m,27,1984-12-28,Retired,,,False,
Centre-Forward,right,,2009-01-07,Stephen Dobbie,178,12693,['Scotland'],1250000,Queen of the South FC,29,1982-05-12,Retired,,,False,
Centre-Forward,,,2011-07-01,Luke Moore,180,4075,"['England', 'Jamaica']",1000000,West Bromwich Albion,26,1986-02-13,Retired,,,False,
