position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2005-01-07,Adam Federici,188,4233,"['Australia', 'Italy']",2000000,FFA Centre of Excellence (- 2017),28,1985-01-31,Retired,,,False,
Goalkeeper,right,,2012-08-20,Stuart Taylor,198,3190,['England'],750000,: Ablöse free transfer,32,1980-11-28,Retired,,,False,
Goalkeeper,right,Wrist injury - Return unknown,2007-01-07,Alex McCarthy,193,95976,['England'],500000,Reading FC U18,23,1989-03-12,Leicester City,,,False,
Goalkeeper,right,,2007-01-26,Mikkel Andersen,196,42694,['Denmark'],250000,Akademisk Boldklub,24,1988-12-17,Herlev IF,,,False,
Centre-Back,right,,2013-01-01,Daniel Carriço,183,37712,['Portugal'],4000000,: Ablöse €750k,24,1988-04-08,Retired,,,False,
Centre-Back,right,,2012-07-18,Adrian Mariappa,179,38145,"['Jamaica', 'England']",3000000,Watford FC,26,1986-03-10,St Albans City,,,False,
Centre-Back,right,,2006-01-07,Alex Pearce,188,47768,"['Ireland', 'Scotland']",2000000,Reading FC U18,24,1988-09-11,Without Club,,,False,
Centre-Back,right,,2011-01-18,Sean Morrison,194,79723,"['England', 'Ireland']",1000000,Swindon Town,22,1991-08-01,Retired,,,False,
Centre-Back,left,,2011-08-24,Kaspars Gorkss,191,30379,['Latvia'],1000000,: Ablöse €1.00m,31,1981-06-11,Retired,,,False,
Left-Back,left,,2012-10-07,Nicky Shorey,175,13426,['England'],2000000,West Bromwich Albion,32,1981-02-19,Retired,,,False,
Left-Back,left,,2011-08-22,Joseph Mills,175,81876,['England'],500000,Southampton FC,23,1989-10-30,Retired,,,False,
Left-Back,left,,2010-01-08,Ian Harte,175,3634,['Ireland'],250000,Carlisle United,35,1977-08-31,Retired,,,False,
Right-Back,right,,2012-07-17,Chris Gunter,180,43853,['Wales'],3000000,: Ablöse €3.00m,23,1989-07-21,Retired,,,False,
Right-Back,right,,2013-11-01,Stephen Kelly,184,12125,['Ireland'],1500000,Fulham FC,29,1983-06-09,Retired,,,False,
Right-Back,right,,2009-01-09,Shaun Cummings,183,40614,"['Jamaica', 'England']",1000000,Chelsea FC Reserves,24,1989-02-25,Retired,,,False,
Defensive Midfield,both,,2011-01-07,Mikele Leigertwood,188,14041,"['Antigua and Barbuda', 'England']",1250000,: Ablöse free transfer,30,1982-12-11,Retired,,,False,
Central Midfield,right,,2012-01-07,Danny Guthrie,176,16716,['England'],3000000,Newcastle United,26,1987-04-18,Retired,,,False,
Central Midfield,right,,2007-01-07,Jem Karacan,175,61447,"['Türkiye', 'England']",1000000,Reading FC U18,24,1989-02-21,Retired,,,False,
Central Midfield,right,,2013-08-01,Hope Akpan,185,61559,"['Nigeria', 'England']",500000,Crawley Town,21,1991-08-14,Retired,,,False,
Left Midfield,left,,2009-01-19,Jay Tabb,170,42284,"['Ireland', 'England']",1000000,Coventry City,29,1984-02-21,Retired,,,False,
Left Winger,right,,2009-08-27,Jobi McAnuff,180,14047,"['Jamaica', 'England']",1500000,Watford FC,31,1981-09-11,Retired,,,False,
Right Winger,left,,2008-01-24,Jimmy Kébé,187,33822,"['Mali', 'France']",2000000,RC Lens B,29,1984-01-19,Retired,,,False,
Right Winger,right,,2012-01-07,Garath McCleary,187,69653,"['Jamaica', 'England']",1000000,: Ablöse free transfer,26,1987-05-15,Gillingham FC,,,False,
Centre-Forward,N/A,,2012-01-07,Pavel Pogrebnyak,,15074,['Russia'],4500000,Fulham FC,29,1983-08-11,Retired,,,False,
Centre-Forward,right,,2011-08-27,Adam Le Fondre,180,46106,"['England', 'France']",2500000,: Ablöse €390k,26,1986-02-12,FC United of Manchester,,,False,
Centre-Forward,left,,2007-01-07,Hal Robson-Kanu,183,65976,"['Wales', 'England']",1500000,Reading FC U18,24,1989-05-21,Retired,,,False,
Centre-Forward,left,,2013-01-30,Nick Blackman,188,67369,"['Barbados', 'England']",1500000,Sheffield United,23,1989-11-11,Without Club,,,False,
Centre-Forward,left,,2008-07-24,Noel Hunt,173,12628,['Ireland'],1000000,: Ablöse €900k,30,1982-12-26,Retired,,,False,
Centre-Forward,right,,2007-01-07,Simon Church,183,66959,"['Wales', 'England']",750000,Reading FC U18,24,1988-10-12,Retired,,,False,
Centre-Forward,right,,2012-01-26,Jason Roberts,185,3666,"['Grenada', 'England']",250000,Blackburn Rovers,35,1978-01-25,Retired,,,False,
Centre-Forward,right,,2012-01-07,Dominic Samuel,188,203784,"['England', 'Antigua and Barbuda']",,Reading FC U18,19,1994-11-04,Ebbsfleet United,,,False,
