position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2008-01-08,Brad Guzan,193,39471,"['United States', 'Poland']",5000000,CD Chivas USA,29,1984-09-09,Retired,,,False,
Goalkeeper,left,,2013-01-07,Jed Steer,183,110867,"['England', 'Scotland']",1000000,: Ablöse €540k,21,1992-09-23,Retired,,,False,
Goalkeeper,right,,2011-07-18,Shay Given,185,3146,['Ireland'],1000000,: Ablöse €4.00m,38,1976-04-20,Retired,,,False,
Centre-Back,right,,2012-01-08,Ron Vlaar,189,30697,['Netherlands'],5000000,: Ablöse €3.80m,29,1985-02-16,Retired,,,False,
Centre-Back,right,,2013-01-07,Jores Okore,186,129085,"['Denmark', ""Cote d'Ivoire""]",4500000,: Ablöse €4.70m,21,1992-11-08,Retired,,,False,
Centre-Back,left,,2010-01-07,Ciaran Clark,185,98240,"['Ireland', 'England']",4000000,: Ablöse -,24,1989-09-26,Retired,,,False,
Centre-Back,left,,2011-01-07,Nathan Baker,189,62638,['England'],2500000,: Ablöse -,23,1991-04-23,Retired,,,False,
Centre-Back,right,,2014-01-07,Philippe Senderos,189,4277,"['Switzerland', 'Spain']",2500000,Valencia CF,29,1985-02-14,Retired,,,False,
Centre-Back,right,,2012-08-31,Jordan Bowery,185,94655,"['St. Kitts & Nevis', 'England']",1000000,Chesterfield FC,22,1991-02-07,Mansfield Town,,,False,
Left-Back,left,,2014-01-17,Ryan Bertrand,179,40611,['England'],6000000,: Ablöse free transfer,24,1989-05-08,Retired,,,False,
Left-Back,left,,2013-01-07,Antonio Luna,178,126516,['Spain'],2000000,Sevilla FC,23,1991-03-17,Without Club,,,False,
Left-Back,left,,2012-08-29,Joe Bennett,178,90964,['England'],1500000,: Ablöse €3.15m,24,1990-03-28,Walton & Hersham FC,,,False,
Left-Back,left,,2012-01-01,Enda Stevens,183,85706,['Ireland'],500000,Shamrock Rovers,23,1990-09-07,Shamrock Rovers,,,False,
Right-Back,right,,2012-06-07,Matthew Lowton,180,102258,['England'],3000000,Sheffield United,25,1989-09-06,Precision FC,,,False,
Right-Back,right,,2011-08-31,Alan Hutton,185,9619,['Scotland'],1500000,: Ablöse €4.50m,29,1984-11-30,Retired,,,False,
Defensive Midfield,right,,2012-08-31,Ashley Westwood,174,91317,['England'],3500000,Crewe Alexandra,24,1990-01-04,Charlotte FC,,,False,
Defensive Midfield,right,,2012-02-07,Karim El Ahmadi,179,25523,"['Morocco', 'Netherlands']",2500000,: Ablöse €2.80m,29,1985-01-27,Retired,,,False,
Defensive Midfield,right,,2013-01-31,Yacouba Sylla,184,160080,"['Mali', 'France']",2000000,Clermont Foot Auvergne 63,23,1990-11-29,Retired,,,False,
Defensive Midfield,right,,2010-01-07,Chris Herd,188,61572,"['Australia', 'Scotland']",1500000,: Ablöse -,25,1989-04-04,Retired,,,False,
Central Midfield,left,,2009-04-08,Fabian Delph,174,50362,"['England', 'Guyana']",5000000,Leeds United,24,1989-11-21,Retired,,,False,
Central Midfield,right,,2013-01-07,Leandro Bacuna,180,126014,"['Curacao', 'Netherlands']",2500000,: Ablöse €1.40m,22,1991-08-21,Igdir FK,,,False,
Central Midfield,right,,2011-01-07,Gary Gardner,186,110861,['England'],1500000,: Ablöse -,22,1992-06-29,Without Club,,,False,
Right Midfield,right,,2009-01-07,Marc Albrighton,175,61560,['England'],2500000,: Ablöse -,24,1989-11-18,Retired,,,False,
Left Winger,both,,2013-01-07,Aleksandar Tonev,178,87282,['Bulgaria'],2000000,Lech Poznan,24,1990-03-02,Retired,,,False,
Left Winger,right,,2013-01-07,Jack Grealish,180,203460,"['England', 'Ireland']",250000,: Ablöse -,18,1995-10-09,Manchester City,,,False,
Right Winger,left,heart problems - Return unknown,2011-07-30,Charles N'Zogbia,171,22165,"['France', 'DR Congo']",3000000,Wigan Athletic,28,1986-05-28,Retired,,,False,
Centre-Forward,right,,2012-08-31,Christian Benteke,190,50201,"['Belgium', 'DR Congo']",18000000,: Ablöse €8.80m,23,1990-03-12,Al-Wahda FC,,,False,
Centre-Forward,right,,2005-01-07,Gabriel Agbonlahor,183,37148,"['England', 'Nigeria']",6500000,: Ablöse -,27,1986-10-13,Retired,,,False,
Centre-Forward,right,,2013-02-09,Libor Kozák,193,63824,['Czech Republic'],5000000,: Ablöse €6.50m,25,1989-05-30,Retired,,,False,
Centre-Forward,right,,2011-01-18,Darren Bent,180,13239,"['England', 'Jamaica']",5000000,Sunderland AFC,30,1984-06-02,Retired,,,False,
Centre-Forward,right,,2011-01-07,Andreas Weimann,179,49693,['Austria'],4000000,: Ablöse -,22,1991-05-08,Without Club,,,False,
Centre-Forward,right,,2014-01-14,Grant Holt,183,13412,['England'],2000000,Wigan Athletic,33,1981-12-04,Retired,,,False,
Centre-Forward,right,Knock - Return unknown,2013-01-07,Nicklas Helenius,196,102132,['Denmark'],1500000,Aalborg BK,23,1991-08-05,Aalborg BK,,,False,
Centre-Forward,right,,2014-01-07,Callum Robinson,178,183299,"['Ireland', 'England']",250000,: Ablöse -,19,1995-02-02,Cardiff City,,,False,
