position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2009-01-07,David Marshall,187,9500,['Scotland'],2500000,: Ablöse €550k,29,1985-05-03,Retired,,,False,
Goalkeeper,right,,2012-01-07,Joe Lewis,198,25834,['England'],500000,: Ablöse free transfer,26,1987-06-10,Retired,,,False,
Centre-Back,right,,2013-07-31,Steven Caulker,191,121280,"['Sierra Leone', 'England']",7500000,: Ablöse €9.15m,22,1991-12-29,Retired,,,False,
Centre-Back,right,,2013-08-31,Kévin Théophile-Catherine,183,60603,"['Martinique', 'France']",3500000,Stade Rennais FC,24,1989-10-28,GNK Dinamo Zagreb,,,False,
Centre-Back,left,,2011-08-31,Ben Turner,193,39518,"['England', 'Wales']",2000000,Coventry City,25,1988-08-21,Retired,,,False,
Centre-Back,right,,2012-08-22,Matthew Connolly,188,34559,['England'],1000000,: Ablöse €635k,26,1987-09-24,Retired,,,False,
Centre-Back,right,,2014-01-02,Juan Cala,186,67089,['Spain'],1000000,Sevilla FC,24,1989-11-26,Retired,,,False,
Centre-Back,right,,2009-02-07,Mark Hudson,187,3640,['England'],500000,Charlton Athletic,32,1982-03-30,Retired,,,False,
Left-Back,left,,2011-04-07,Andrew Taylor,178,29158,['England'],2000000,: Ablöse free transfer,27,1986-01-08,Retired,,,False,
Left-Back,left,,2013-01-07,Declan John,178,238585,['Wales'],500000,Cardiff City U18,19,1995-06-30,St. Mirren FC,,,False,
Right-Back,right,,2014-01-31,Fábio,172,61891,"['Brazil', 'Portugal']",4000000,Manchester United,23,1990-09-07,Retired,,,False,
Right-Back,right,,2013-07-26,John Brayford,173,91286,['England'],1500000,Derby County,26,1987-12-29,Retired,,,False,
Right-Back,right,,2006-01-07,Kevin McNaughton,178,11365,['Scotland'],1000000,Aberdeen FC,31,1982-08-28,Retired,,,False,
Right-Back,right,,,Tom James,180,325105,['Wales'],,,18,1996-04-15,Bristol Rovers,,,False,
Defensive Midfield,right,,2013-11-08,Gary Medel,171,60889,"['Chile', 'Spain']",11000000,Sevilla FC,26,1987-03-08,CD Universidad Católica,,,False,
Defensive Midfield,right,,2011-01-07,Aron Gunnarsson,177,63821,['Iceland'],3000000,Coventry City,25,1989-04-22,Thór Akureyri,,,False,
Defensive Midfield,both,,2012-01-07,Filip Kiss,186,90360,['Slovakia'],250000,Slovan Bratislava,23,1990-10-13,KFC Komarno,,,False,
Central Midfield,right,,2012-01-07,Jordon Mutch,184,57207,['England'],3000000,: Ablöse €1.25m,22,1991-02-12,Without Club,,,False,
Central Midfield,left,,2007-11-01,Peter Whittingham,177,3762,['England'],2500000,: Ablöse €525k,29,1984-08-09,---,,,False,
Central Midfield,right,,2014-11-01,Mats Møller Dæhli,172,190831,['Norway'],1500000,Molde FK,19,1995-02-03,Molde FK,,,False,
Central Midfield,left,,2013-01-29,Simon Lappin,180,14792,['Scotland'],500000,: Ablöse free transfer,31,1983-01-25,Retired,,,False,
Right Midfield,right,,2011-01-07,Don Cowie,176,14746,['Scotland'],1000000,Watford FC,31,1983-02-15,Retired,,,False,
Attacking Midfield,left,,2012-01-08,Bo-kyung Kim,178,128375,"['Korea, South']",2000000,Cerezo Osaka,24,1989-06-10,FC Anyang,,,False,
Attacking Midfield,right,,2014-01-24,Jo Inge Berget,186,73323,['Norway'],2000000,Molde FK,23,1990-11-09,Sarpsborg 08 FF,,,False,
Attacking Midfield,right,,2011-01-07,Craig Conway,171,14574,['Scotland'],1000000,: Ablöse free transfer,29,1985-02-05,Retired,,,False,
Left Winger,right,,2014-01-31,Wilfried Zaha,180,145988,"[""Cote d'Ivoire"", 'England']",8000000,Manchester United,21,1992-10-11,Without Club,,,False,
Left Winger,right,,2012-10-08,Craig Bellamy,173,3297,['Wales'],1000000,: Ablöse free transfer,34,1979-07-13,Retired,,,False,
Right Winger,left,,2012-08-30,Craig Noone,173,81202,['England'],2000000,Brighton & Hove Albion,26,1987-11-17,Warrington Town,,,False,
Second Striker,right,,2014-08-01,Magnus Wolff Eikrem,173,54775,['Norway'],2500000,: Ablöse €2.50m,23,1990-08-08,KFUM-Kameratene Oslo,,,False,
Centre-Forward,left,,2013-01-07,Andreas Cornelius,193,203412,['Denmark'],4500000,: Ablöse €8.70m,21,1993-03-16,FC Copenhagen,,,False,
Centre-Forward,right,,2013-01-21,Fraizer Campbell,172,42411,"['England', 'Jamaica']",4000000,Sunderland AFC,26,1987-09-13,Retired,,,False,
Centre-Forward,right,,2014-01-28,Kenwyne Jones,187,28245,['Trinidad and Tobago'],3000000,: Ablöse free transfer,29,1984-05-10,Retired,,,False,
Centre-Forward,right,,2013-02-09,Peter Odemwingie,181,12516,"['Nigeria', 'Russia']",2500000,West Bromwich Albion,32,1981-07-15,Retired,,,False,
Centre-Forward,right,,2012-08-31,Nicky Maynard,180,39705,['England'],2000000,: Ablöse €3.15m,27,1986-11-12,Without Club,,,False,
Centre-Forward,right,,2011-07-26,Rudy Gestede,193,39908,"['Benin', 'France']",1000000,: Ablöse free transfer,25,1988-10-10,Retired,,,False,
Centre-Forward,right,,2011-08-07,Joe Mason,178,120706,"['Ireland', 'England']",1000000,Plymouth Argyle,23,1991-05-13,FC Radstock Town,,,False,
Centre-Forward,left,,2012-07-25,Etien Velikonja,178,50384,['Slovenia'],500000,NK Maribor,25,1988-12-26,Retired,,,False,
Centre-Forward,right,,2012-08-24,Tommy Smith,178,12401,['England'],250000,: Ablöse €375k,34,1980-05-22,Retired,,,False,
Centre-Forward,right,Knee injury - Return unknown,2013-01-24,Rhys Healey,180,238185,['England'],,: Ablöse ?,19,1994-06-12,Without Club,,,False,
