position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2016-07-07,Víctor Valdés,183,7589,['Spain'],2000000,Manchester United,35,1982-01-14,Retired,,,False,
Goalkeeper,left,,2016-07-29,Brad Guzan,193,39471,"['United States', 'Poland']",1000000,: Ablöse free transfer,32,1984-09-09,Retired,,,False,
Goalkeeper,right,,2019-04-07,Tomás Mejías,195,62947,['Spain'],300000,Omonia Nicosia,28,1989-01-30,Without Club,,,False,
Goalkeeper,right,,2011-01-07,Connor Ripley,191,163531,['England'],250000,Middlesbrough FC U18,24,1993-02-13,Swindon Town,,,False,
Goalkeeper,left,,2013-08-17,Dimitrios Konstantopoulos,193,50552,['Greece'],250000,: Ablöse free transfer,38,1978-11-29,Retired,,,False,
Centre-Back,right,,2016-08-30,Calum Chambers,182,215118,['England'],14000000,Arsenal FC,22,1995-01-20,Cardiff City,,,False,
Centre-Back,left,,2011-01-07,Ben Gibson,185,128904,['England'],8000000,Middlesbrough FC U18,24,1993-01-15,Stoke City,,,False,
Centre-Back,right,,2016-01-07,Bernardo Espinosa,192,64598,"['Colombia', 'Spain']",2500000,Sporting Gijón,27,1989-11-07,Retired,,,False,
Centre-Back,right,,2014-01-24,Daniel Ayala,190,78966,['Spain'],2000000,: Ablöse €420k,26,1990-07-11,Retired,,,False,
Centre-Back,right,,2015-06-07,Alex Baptiste,180,16660,['England'],1000000,Bolton Wanderers,31,1986-01-31,Retired,,,False,
Centre-Back,right,,2015-01-07,Dael Fry,190,314140,['England'],250000,: Ablöse -,19,1997-08-30,Birmingham City,,,False,
Left-Back,left,,2011-01-07,Adam Reach,185,163530,['England'],4500000,Middlesbrough FC U18,24,1993-03-02,Lincoln City,,,False,
Left-Back,left,,2012-07-30,George Friend,188,77544,['England'],1500000,Doncaster Rovers,29,1987-10-19,Retired,,,False,
Left-Back,left,,2014-07-30,James Husband,179,167393,['England'],500000,Doncaster Rovers,23,1994-03-01,Doncaster Rovers,,,False,
Right-Back,right,,2016-07-15,Antonio Barragán,186,32522,['Spain'],3000000,Valencia CF,30,1987-12-06,Retired,,,False,
Right-Back,right,,2016-12-08,Fábio,172,61891,"['Brazil', 'Portugal']",2000000,Cardiff City,26,1990-09-07,Retired,,,False,
Defensive Midfield,right,,2016-04-07,Marten de Roon,186,133179,['Netherlands'],10000000,: Ablöse €10.50m,26,1991-03-29,Atalanta BC,,,False,
Defensive Midfield,right,,2016-01-02,Julien De Sart,187,129592,['Belgium'],2000000,: Ablöse €2.60m,22,1994-12-23,Al-Rayyan SC,,,False,
Defensive Midfield,right,,2017-01-31,Adlène Guédioura,178,74768,"['Algeria', 'France']",1000000,Watford FC,31,1985-12-11,Retired,,,False,
Central Midfield,left,,2016-07-18,Gastón Ramírez,183,123742,['Uruguay'],6000000,Southampton FC,26,1990-02-12,CA Boston River,,,False,
Central Midfield,right,,2014-08-13,Adam Clayton,175,73067,['England'],3000000,: Ablöse €1.87m,28,1989-01-14,Without Club,,,False,
Central Midfield,right,,2015-01-28,Adam Forshaw,175,121257,['England'],3000000,Wigan Athletic,25,1991-08-10,Blackburn Rovers,,,False,
Central Midfield,right,,2012-01-07,Grant Leadbitter,177,13796,['England'],2000000,Ipswich Town,31,1986-07-01,Retired,,,False,
Left Midfield,left,,2015-07-16,Stewart Downing,180,4063,['England'],3500000,: Ablöse €7.90m,32,1984-07-22,Retired,,,False,
Left Winger,N/A,,2016-01-07,Viktor Fischer,,95755,['Denmark'],5000000,: Ablöse €5.00m,23,1994-09-06,Retired,,,False,
Left Winger,left,,2015-01-09,Carlos de Pena,177,257740,"['Uruguay', 'Italy']",2000000,Club Nacional,25,1992-11-03,Sport Club do Recife,,,False,
Right Winger,right,,2016-08-31,Adama Traoré,178,204103,"['Spain', 'Mali']",8000000,: Ablöse €8.25m,21,1996-01-25,Without Club,,,False,
Right Winger,right,,2013-08-08,Albert Adomah,185,83430,"['Ghana', 'England']",2500000,: Ablöse ?,29,1987-12-13,Walsall FC,,,False,
Centre-Forward,right,,2016-01-02,Jordan Rhodes,185,48950,"['Scotland', 'England']",10000000,Blackburn Rovers,27,1990-05-02,Retired,,,False,
Centre-Forward,left,,2016-07-20,Álvaro Negredo,186,18644,['Spain'],7500000,Valencia CF,31,1985-08-20,Retired,,,False,
Centre-Forward,right,,2017-04-01,Rudy Gestede,193,39908,"['Benin', 'France']",7000000,: Ablöse €7.10m,28,1988-10-10,Retired,,,False,
Centre-Forward,left,,2017-01-18,Patrick Bamford,185,183334,"['England', 'Ireland']",5000000,: Ablöse €6.90m,23,1993-05-09,Sheffield United,,,False,
Centre-Forward,right,,2015-07-08,Cristhian Stuani,184,59323,"['Uruguay', 'Italy']",3500000,RCD Espanyol Barcelona,30,1986-12-10,Without Club,,,False,
Centre-Forward,right,,2015-08-14,David Nugent,180,33963,"['England', 'Ireland']",3000000,Leicester City,32,1985-02-05,Anstey Nomads,,,False,
Centre-Forward,right,,2014-02-08,Emilio Nsue,181,59558,"['Equatorial Guinea', 'Spain']",1750000,RCD Mallorca,27,1989-09-30,CF Intercity,,,False,
