position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2020-01-31,Jonas Lössl,195,48870,['Denmark'],5000000,Everton FC,30,1989-01-02,Retired,,,False,
Goalkeeper,right,,2018-01-07,Ben Hamer,193,67283,['England'],500000,Leicester City,31,1987-11-20,Without Club,,,False,
Goalkeeper,right,,2016-01-07,Joel Coleman,198,285551,['England'],500000,: Ablöse ?,23,1995-09-26,Millwall FC,,,False,
Goalkeeper,right,,2019-01-07,Ryan Schofield,190,495441,['England'],100000,Huddersfield Town U23,19,1999-11-12,Coleraine FC,,,False,
Centre-Back,left,,2018-01-07,Terence Kongolo,188,152651,"['Netherlands', 'DR Congo']",15000000,: Ablöse €20.00m,25,1994-02-14,Retired,,,False,
Centre-Back,right,,2016-01-07,Christopher Schindler,188,57842,['Germany'],7000000,: Ablöse €2.20m,29,1990-04-29,Retired,,,False,
Centre-Back,right,,2017-07-07,Zanka,189,52059,['Denmark'],5000000,: Ablöse €2.70m,29,1990-04-23,Without Club,,,False,
Left-Back,left,,2016-01-07,Chris Löwe,173,55125,['Germany'],2000000,1.FC Kaiserslautern,30,1989-04-16,SV 05 Hartmannsdorf,,,False,
Right-Back,right,,2012-04-09,Tommy Smith,185,121398,['England'],3000000,FC Helsby,27,1992-04-14,Retired,,,False,
Right-Back,right,,2018-07-13,Erik Durm,183,93922,['Germany'],2000000,Borussia Dortmund,27,1992-12-05,SG Rieschweiler,,,False,
Right-Back,right,,2020-01-01,Demeaco Duhaney,180,380913,"['England', 'Jamaica']",,Huddersfield Town U23,20,1998-10-13,Istanbulspor,,,False,
Defensive Midfield,right,,2013-07-29,Jonathan Hogg,176,61573,['England'],3500000,Watford FC,30,1988-06-12,Huddersfield Town U21,,,False,
Defensive Midfield,N/A,,2017-04-07,Danny Williams,,38383,"['United States', 'Germany']",2000000,Reading FC,30,1989-08-03,Retired,,,False,
Defensive Midfield,right,,2016-08-07,Jon Gorenc Stankovic,190,245034,['Slovenia'],1500000,Borussia Dortmund II,23,1996-01-14,SK Sturm Graz,,,False,
Central Midfield,right,,2017-01-07,Aaron Mooy,174,123951,"['Australia', 'Netherlands']",14000000,Manchester City,28,1990-09-15,Retired,,,False,
Central Midfield,left,Achilles tendon rupture - Return unknown,2018-07-20,Adama Diakhaby,184,453594,"['France', 'Senegal']",8000000,: Ablöse €10.00m,22,1996-05-07,SV Waldhof Mannheim,,,False,
Central Midfield,left,,2015-01-07,Philip Billing,193,320411,"['Denmark', 'Nigeria']",7000000,Huddersfield Town U18,23,1996-11-06,FC Midtjylland,,,False,
Central Midfield,right,,2018-01-07,Juninho Bacuna,178,348863,"['Curacao', 'Netherlands']",3500000,: Ablöse €2.50m,21,1997-07-08,Gaziantep FK,,,False,
Central Midfield,left,,2019-04-01,Jason Puncheon,173,47995,"['England', 'Jamaica']",3000000,Crystal Palace,33,1986-06-18,Retired,,,False,
Right Midfield,right,,2018-01-07,Florent Hadergjonaj,182,238809,"['Kosovo', 'Switzerland']",7000000,FC Ingolstadt 04,24,1994-07-31,Alanyaspor,,,False,
Right Midfield,right,,2020-01-07,Aaron Rowe,168,657994,"['England', 'Jamaica']",,Huddersfield Town U19,18,2000-07-09,Without Club,,,False,
Attacking Midfield,right,,2018-12-01,Alex Pritchard,168,200777,['England'],9000000,: Ablöse €12.35m,26,1993-03-05,Without Club,,,False,
Attacking Midfield,right,Doping ban – cross-competition – until 26/11/2029,2018-01-07,Ramadan Sobhi,183,312017,['Egypt'],5000000,: Ablöse €6.50m,22,1997-01-23,Disqualification,,,False,
Attacking Midfield,right,,2017-08-23,Abdelhamid Sabiri,186,340394,"['Morocco', 'Germany']",1500000,1.FC Nuremberg,22,1996-11-28,Without Club,,,False,
Attacking Midfield,left,,2016-01-07,Jack Payne,165,278092,['England'],350000,Southend United,24,1994-10-25,Colchester United,,,False,
Attacking Midfield,right,,2019-01-07,Matty Daly,175,566349,['England'],,Huddersfield Town U23,18,2001-10-03,Morecambe FC,,,False,
Left Winger,right,,2016-01-07,Rajiv van La Parra,181,77001,"['Netherlands', 'Suriname']",4000000,Wolverhampton Wanderers,28,1991-04-06,Without Club,,,False,
Right Winger,right,,2019-09-07,Isaac Mbenza,188,260806,"['Belgium', 'DR Congo']",5000000,: Ablöse €12.50m,23,1996-08-03,Al-Yarmouk SC (Kuwait),,,False,
Centre-Forward,right,,2017-05-07,Steve Mounié,189,238639,"['Benin', 'France']",10000000,: Ablöse €13.00m,24,1994-09-29,FC Augsburg,,,False,
Centre-Forward,right,Hamstring injury - Return unknown,2019-01-30,Karlan Grant,183,314183,"['England', 'Scotland']",5000000,Charlton Athletic,21,1997-09-18,Charlton Athletic,,,False,
Centre-Forward,right,,2017-01-07,Laurent Depoitre,191,90583,['Belgium'],3500000,FC Porto,30,1988-07-12,Retired,,,False,
Centre-Forward,right,,2017-01-07,Elias Kachunga,178,49501,"['DR Congo', 'Germany']",3000000,FC Ingolstadt 04,27,1992-04-22,Without Club,,,False,
Centre-Forward,N/A,,2017-01-20,Collin Quaner,,123397,"['Germany', 'Ghana']",1500000,1.FC Union Berlin,28,1991-06-18,Retired,,,False,
