position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2020-07-27,Illan Meslier,197,542586,['France'],20000000,FC Lorient,21,2000-02-03,Arsenal FC,,,False,
Goalkeeper,right,,2019-01-17,Kiko Casilla,191,27486,['Spain'],800000,Real Madrid,34,1986-02-10,Retired,,,False,
Goalkeeper,right,,,Elia Caprile,191,421873,['Italy'],200000,,19,2001-08-25,Cagliari Calcio,,,False,
Centre-Back,right,,2020-09-24,Diego Llorente,186,246291,['Spain'],20000000,Real Sociedad,27,1993-08-16,Real Betis Balompié,,,False,
Centre-Back,right,,2020-08-29,Robin Koch,192,328784,['Germany'],17000000,SC Freiburg,24,1996-07-17,Eintracht Frankfurt,,,False,
Centre-Back,left,,2020-01-01,Pascal Struijk,190,410708,"['Netherlands', 'Belgium']",9000000,Leeds United U23,21,1999-11-08,Brighton & Hove Albion,,,False,
Centre-Back,left,,2014-08-13,Liam Cooper,186,75067,"['Scotland', 'England']",7000000,Chesterfield FC,29,1991-08-30,Sheffield Wednesday,,,False,
Centre-Back,right,,,Oliver Casey,188,559800,['England'],250000,,20,2000-12-19,Blackpool FC,,,False,
Centre-Back,right,,2021-01-07,Charlie Cresswell,190,597659,['England'],200000,Leeds United U23,18,2002-08-17,FC Toulouse,,,False,
Left-Back,left,,2017-07-13,Ezgjan Alioski,172,129604,"['North Macedonia', 'Switzerland']",5000000,: Ablöse €2.50m,29,1992-12-02,FC Lugano,,,False,
Left-Back,left,,2018-07-28,Barry Douglas,176,91854,['Scotland'],1500000,Wolverhampton Wanderers,31,1989-04-09,Retired,,,False,
Left-Back,left,,2018-04-07,Leif Davis,182,596446,['England'],800000,: Ablöse ?,21,1999-12-31,Ipswich Town,,,False,
Right-Back,right,,2016-11-08,Luke Ayling,183,67420,['England'],5000000,: Ablöse €870k,29,1991-08-25,Middlesbrough FC,,,False,
Right-Back,right,Foot injury - Return unknown,2018-01-07,Jamie Shackleton,168,534700,['England'],2500000,Leeds United U23,21,1999-08-10,Sheffield United,,,False,
Right-Back,right,,2014-07-18,Gaetano Berardi,179,43084,"['Switzerland', 'Italy']",300000,UC Sampdoria,32,1988-08-21,Retired,,,False,
Right-Back,right,,,Niall Huggins,173,559801,"['Wales', 'England']",200000,,20,2000-12-18,Without Club,,,False,
Right-Back,right,,2021-01-07,Cody Drameh,181,531957,"['England', 'The Gambia']",,Leeds United U23,19,2001-08-12,Hull City,,,False,
