position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,Back injury - Return unknown,2025-10-09,Lukasz Fabianski,190,29692,['Poland'],1500000,Without Club,36,1985-04-18,Without Club,,,False,
Goalkeeper,right,,2020-01-15,Darren Randolph,187,51321,"['Ireland', 'United States']",1500000,: Ablöse €4.70m,34,1987-12-05,Retired,,,False,
Goalkeeper,right,,2019-01-07,David Martin,188,15930,['England'],250000,: Ablöse free transfer,35,1986-01-22,Retired,,,False,
Goalkeeper,left,,2022-01-07,Nathan Trott,188,431422,"['England', 'Bermuda']",250000,West Ham United U21,22,1998-11-21,Cardiff City,,,False,
Centre-Back,right,,2018-01-07,Issa Diop,194,272622,"['Morocco', 'France']",18000000,: Ablöse €25.00m,24,1997-09-01,Ipswich Town,,,False,
Centre-Back,right,,2018-07-14,Fabián Balbuena,188,285548,['Paraguay'],5000000,Sport Club Corinthians Paulista,29,1991-08-23,Grêmio Foot-Ball Porto Alegrense,,,False,
Centre-Back,right,,2021-01-07,Craig Dawson,188,121477,['England'],3000000,Watford FC,31,1990-06-05,Without Club,,,False,
Centre-Back,left,,2015-10-07,Angelo Ogbonna,191,48002,"['Italy', 'Nigeria']",2500000,: Ablöse €11.00m,33,1988-05-23,Retired,,,False,
Centre-Back,right,,2010-05-08,Winston Reid,191,37526,"['New Zealand', 'Denmark']",1500000,: Ablöse €4.20m,32,1988-03-07,Retired,,,False,
Centre-Back,left,,,Gonçalo Cardoso,189,587106,['Portugal'],1500000,,20,2000-10-21,CD Mafra,,,False,
Centre-Back,right,,2021-01-01,Frederik Alves,195,542690,"['Denmark', 'Brazil']",1000000,Silkeborg IF,21,1999-08-11,Bröndby IF,,,False,
Centre-Back,right,,,Jamal Baptiste,191,610706,['England'],200000,,17,2003-11-11,Sheffield United U21,,,False,
Centre-Back,left,,,Aji Alese,192,502065,"['England', 'Nigeria']",,,20,2001-01-17,Sunderland AFC,,,False,
Left-Back,left,,2016-08-08,Arthur Masuaku,179,181380,"['DR Congo', 'France']",7000000,: Ablöse €7.10m,27,1993-07-11,Sunderland AFC,,,False,
Left-Back,left,,2014-03-07,Aaron Cresswell,170,92571,['England'],5000000,Ipswich Town,31,1989-12-15,Stoke City,,,False,
Left-Back,left,,,Emmanuel Longelo,184,504386,"['England', 'DR Congo']",150000,,20,2000-12-27,Motherwell FC,,,False,
Right-Back,right,,2020-02-10,Vladimír Coufal,175,157672,['Czech Republic'],12000000,: Ablöse €6.00m,28,1992-08-22,TSG 1899 Hoffenheim,,,False,
