position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,Suspension through sports court – Süper Lig – until 16/08/2026,2017-01-07,Ederson,188,238223,"['Brazil', 'Portugal']",45000000,SL Benfica,28,1993-08-17,Fenerbahce,,,False,
Goalkeeper,right,unknown injury - Return unknown,2019-09-07,Zack Steffen,191,221624,['United States'],6000000,: Ablöse €6.82m,27,1995-02-04,Colorado Rapids,,,False,
Goalkeeper,right,,2021-07-20,Scott Carson,188,14555,['England'],300000,Derby County,36,1985-03-09,Retired,,,False,
Goalkeeper,,,,Cieran Slicker,191,621997,"['Scotland', 'England']",,,19,2002-09-15,Barnsley FC,,,False,
Centre-Back,right,,2020-09-29,Rúben Dias,187,258004,['Portugal'],75000000,SL Benfica,25,1997-05-14,Manchester City,,,False,
Centre-Back,left,,2018-01-30,Aymeric Laporte,191,176553,"['Spain', 'France']",45000000,Athletic Bilbao,28,1994-05-27,Athletic Bilbao,,,False,
Centre-Back,right,,2016-09-08,John Stones,188,186590,['England'],28000000,Everton FC,28,1994-05-28,Without Club,,,False,
Centre-Back,left,,2020-05-08,Nathan Aké,180,177476,"['Netherlands', ""Cote d'Ivoire""]",25000000,AFC Bournemouth,27,1995-02-18,Fenerbahce,,,False,
Centre-Back,right,,2018-07-31,Philippe Sandler,190,340460,"['Netherlands', 'United States']",2000000,PEC Zwolle,25,1997-10-02,NEC Nijmegen,,,False,
Centre-Back,right,Dead leg - Return unknown,,CJ Egan-Riley,183,581669,"['England', 'Ireland']",800000,,19,2003-02-01,Olympique Marseille,,,False,
Centre-Back,left,,,Luke Mbete,185,609883,"['England', 'DR Congo']",600000,,18,2003-09-18,Manchester City U21,,,False,
Centre-Back,right,,,Finley Burns,196,581681,['England'],300000,,19,2003-06-17,Manchester City U21,,,False,
Left-Back,left,Torn knee ligaments - Return unknown,2016-04-07,Oleksandr Zinchenko,175,203853,['Ukraine'],25000000,: Ablöse €2.25m,25,1996-12-15,Without Club,,,False,
Left-Back,left,,2023-01-01,Josh Wilson-Esbrand,176,576121,"['England', 'Jamaica']",400000,Manchester City U21,19,2002-12-26,Manchester City,,,False,
Left-Back,left,,2017-07-24,Benjamin Mendy,185,157495,"['France', 'Senegal']",,: Ablöse €57.50m,27,1994-07-17,Pogon Szczecin,,,False,
Right-Back,right,,2019-07-08,João Cancelo,182,182712,['Portugal'],65000000,: Ablöse €65.00m,28,1994-05-27,Al-Hilal SFC,,,False,
Right-Back,right,,2017-07-14,Kyle Walker,183,95424,['England'],18000000,: Ablöse €52.70m,32,1990-05-28,Burnley FC,,,False,
Right-Back,right,,2020-01-07,Yan Couto,168,627228,"['Brazil', 'Portugal']",5000000,Coritiba Foot Ball Club,20,2002-03-06,Borussia Dortmund,,,False,
Defensive Midfield,right,,2019-04-07,Rodri,190,357565,['Spain'],80000000,: Ablöse €70.00m,26,1996-06-22,Manchester City,,,False,
Defensive Midfield,right,,,Roméo Lavia,181,628451,"['Belgium', 'Ghana']",2000000,,18,2004-06-01,Chelsea FC,,,False,
Defensive Midfield,right,,2013-01-07,Fernandinho,179,26267,['Brazil'],1500000,Shakhtar Donetsk,37,1985-04-05,Retired,,,False,
Defensive Midfield,right,,,Claudio Gomes,171,395239,"['France', 'Guinea-Bissau']",1000000,,21,2000-07-23,Palermo FC,,,False,
Central Midfield,right,,2024-08-23,İlkay Gündoğan,180,53622,['Germany'],25000000,FC Barcelona,31,1990-10-24,Galatasaray,,,False,
Central Midfield,right,,2023-01-07,Tommy Doyle,172,433183,['England'],2500000,Manchester City U21,20,2001-10-17,Wolverhampton Wanderers,,,False,
Attacking Midfield,left,,2017-01-07,Phil Foden,171,406635,['England'],90000000,Manchester City U18,22,2000-05-28,Manchester City,,,False,
Attacking Midfield,right,,2015-08-30,Kevin De Bruyne,181,88755,"['Belgium', 'Burundi']",85000000,: Ablöse €76.00m,31,1991-06-28,SSC Napoli,,,False,
Attacking Midfield,left,,2017-01-07,Bernardo Silva,173,241641,['Portugal'],80000000,: Ablöse €50.00m,27,1994-10-08,Real Madrid,,,False,
Attacking Midfield,left,,2021-01-07,Cole Palmer,185,568177,"['England', 'St. Kitts & Nevis']",6000000,Manchester City U23,20,2002-06-05,Chelsea FC,,,False,
Attacking Midfield,left,,2023-01-07,James McAtee,180,583199,['England'],3000000,Manchester City U21,19,2002-10-18,Nottingham Forest,,,False,
Attacking Midfield,left,,,Ben Knight,170,568007,['England'],,,20,2002-06-14,Cambridge United,,,False,
Left Winger,right,,2021-05-08,Jack Grealish,180,203460,"['England', 'Ireland']",70000000,: Ablöse €117.50m,26,1995-10-09,Manchester City,,,False,
Left Winger,right,,,Samuel Edozie,181,680806,"['England', 'Nigeria']",800000,,19,2003-01-28,Southampton FC,,,False,
Right Winger,right,,2015-07-14,Raheem Sterling,172,134425,"['England', 'Jamaica']",70000000,: Ablöse €63.70m,27,1994-08-12,Without Club,,,False,
Right Winger,left,,2018-10-07,Riyad Mahrez,179,171424,"['Algeria', 'France']",35000000,Leicester City,31,1991-02-21,Without Club,,,False,
Right Winger,left,Ankle injury - Return unknown,,Kayky,172,668265,['Brazil'],14000000,,19,2003-11-06,Sport Club Internacional,,,False,
Right Winger,left,,2023-01-07,Oscar Bobb,177,661207,"['Norway', 'The Gambia']",,Manchester City U21,18,2003-12-07,Fulham FC,,,False,
Centre-Forward,right,,2017-01-01,Gabriel Jesus,175,363205,['Brazil'],50000000,Sociedade Esportiva Palmeiras,25,1997-03-04,Arsenal FC,,,False,
Centre-Forward,right,,2020-04-08,Ferran Torres,183,398184,['Spain'],45000000,Valencia CF,22,2000-02-29,FC Barcelona,,,False,
Centre-Forward,right,,,Liam Delap,186,610849,"['England', 'Ireland']",1500000,,19,2003-08-02,Chelsea FC,,,False,
