position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2014-01-07,Freddie Woodman,188,226049,['England'],9000000,Newcastle United U18,25,1997-04-03,Liverpool FC,,,False,
Goalkeeper,right,,2018-01-07,Martin Dúbravka,191,74960,['Slovakia'],4000000,: Ablöse €4.00m,33,1989-01-15,Tottenham Hotspur,,,False,
Goalkeeper,right,,2014-09-08,Karl Darlow,190,99397,"['Wales', 'England']",2500000,: Ablöse €5.00m,31,1990-08-10,Manchester United,,,False,
Goalkeeper,right,,2020-03-07,Mark Gillespie,191,142389,['England'],300000,Motherwell FC,30,1992-03-27,Newcastle United,,,False,
Centre-Back,left,,2022-01-31,Dan Burn,201,134270,['England'],12000000,Brighton & Hove Albion,30,1992-09-05,Newcastle United,,,False,
Centre-Back,right,,2014-09-08,Jamaal Lascelles,188,183318,"['England', 'Barbados']",10000000,: Ablöse €5.00m,28,1993-11-11,Without Club,,,False,
Centre-Back,right,,2018-07-26,Fabian Schär,186,135343,['Switzerland'],7000000,Deportivo de La Coruña,30,1991-12-20,Newcastle United,,,False,
Centre-Back,left,,2016-03-08,Ciaran Clark,185,98240,"['Ireland', 'England']",1800000,: Ablöse €6.00m,32,1989-09-26,Retired,,,False,
Centre-Back,right,,2018-09-08,Federico Fernández,189,85475,"['Argentina', 'Italy']",1500000,: Ablöse €6.70m,33,1989-02-21,Retired,,,False,
Left-Back,left,,2022-01-07,Matt Targett,183,250478,"['England', 'Scotland']",17000000,: Ablöse €17.50m,26,1995-09-18,Hull City,,,False,
Left-Back,left,Knee injury - Return unknown,2020-08-09,Jamal Lewis,178,346018,"['Northern Ireland', 'England']",10000000,: Ablöse €16.50m,24,1998-01-25,Without Club,,,False,
Left-Back,left,,2012-01-07,Paul Dummett,183,170321,"['Wales', 'England']",1500000,Newcastle United U21,30,1991-09-26,Retired,,,False,
Right-Back,right,,2022-07-01,Kieran Trippier,173,95810,['England'],15000000,: Ablöse €14.00m,31,1990-09-19,Wolverhampton Wanderers,,,False,
Right-Back,right,,2019-08-08,Emil Krafth,184,184528,['Sweden'],5000000,: Ablöse €5.40m,27,1994-02-08,Without Club,,,False,
Right-Back,right,,2017-07-21,Javier Manquillo,178,162029,['Spain'],3000000,: Ablöse €5.00m,28,1994-05-05,Retired,,,False,
Defensive Midfield,right,,2016-11-07,Isaac Hayden,187,206225,"['Jamaica', 'England']",8000000,Arsenal FC U23,27,1995-03-22,Leyton Orient,,,False,
Central Midfield,right,,2022-01-30,Bruno Guimarães,182,520624,"['Brazil', 'Spain']",40000000,: Ablöse €50.10m,24,1997-11-16,Newcastle United,,,False,
Central Midfield,right,,2021-08-13,Joe Willock,186,340329,"['England', 'Montserrat']",22000000,Arsenal FC,22,1999-08-20,Newcastle United,,,False,
Central Midfield,right,,2019-07-23,Joelinton,186,333241,['Brazil'],20000000,TSG 1899 Hoffenheim,25,1996-08-14,Newcastle United,,,False,
Central Midfield,right,Groin injury - Return expected on 27/07/2026,2019-01-01,Sean Longstaff,187,346707,['England'],13000000,Newcastle United U23,24,1997-10-30,Leeds United,,,False,
Central Midfield,right,,2016-12-01,Jonjo Shelvey,184,71292,"['England', 'Ireland']",10000000,: Ablöse €16.00m,30,1992-02-27,Retired,,,False,
Central Midfield,right,,2020-08-24,Jeff Hendrick,185,148262,['Ireland'],5000000,: Ablöse free transfer,30,1992-01-31,Retired,,,False,
Central Midfield,right,,2019-01-07,Matty Longstaff,171,484387,['England'],1800000,Newcastle United U23,22,2000-03-21,CF Montréal,,,False,
Central Midfield,right,,2022-01-07,Elliot Anderson,179,567576,"['England', 'Scotland']",200000,Newcastle United U21,19,2002-06-11,Manchester City,,,False,
Central Midfield,right,,,Lucas De Bolle,,626291,"['Scotland', 'Belgium']",,,19,2002-10-22,Portimonense SAD,,,False,
Right Midfield,left,,2016-01-07,Matt Ritchie,173,92469,"['Scotland', 'England']",1800000,AFC Bournemouth,32,1989-10-09,Retired,,,False,
Attacking Midfield,left,,2023-01-07,Joe White,186,614811,['England'],,Newcastle United U21,19,2002-01-10,Crewe Alexandra,,,False,
Left Winger,right,,2019-02-08,Allan Saint-Maximin,173,272642,"['France', 'Guadeloupe']",32000000,OGC Nice,25,1997-12-03,Charlotte FC,,,False,
Left Winger,right,,2020-07-09,Ryan Fraser,163,146795,['Scotland'],10000000,AFC Bournemouth,28,1994-02-24,Without Club,,,False,
Right Winger,left,,2019-01-31,Miguel Almirón,178,272999,['Paraguay'],16000000,Atlanta United FC,28,1994-10-02,Atlanta United FC,,,False,
Right Winger,right,,2017-07-19,Jacob Murphy,179,199527,"['England', 'Ireland']",5000000,: Ablöse €11.30m,27,1995-02-24,Newcastle United,,,False,
Centre-Forward,right,,2020-07-09,Callum Wilson,180,123682,"['England', 'Ireland']",18000000,AFC Bournemouth,30,1992-02-27,Brentford FC,,,False,
Centre-Forward,right,,2022-01-13,Chris Wood,191,108725,['New Zealand'],10000000,: Ablöse €30.00m,30,1991-07-12,Nottingham Forest,,,False,
Centre-Forward,right,,2016-01-07,Dwight Gayle,174,196522,"['England', 'Jamaica']",1500000,Crystal Palace,32,1989-10-17,Retired,,,False,
