position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2020-01-07,Robert Sánchez,197,403151,"['Spain', 'England']",22000000,Brighton & Hove Albion U23,25,1997-11-18,Chelsea FC,,,False,
Goalkeeper,right,,2018-01-07,Jason Steele,188,73564,"['England', 'Scotland']",4000000,Sunderland AFC,32,1990-08-18,Brighton & Hove Albion,,,False,
Goalkeeper,right,,2022-07-29,Tom McGill,185,406556,"['Canada', 'England']",600000,Brighton & Hove Albion U21,23,2000-03-25,Brighton & Hove Albion,,,False,
Centre-Back,left,,2022-05-08,Levi Colwill,187,614258,['England'],30000000,: Ablöse ?,20,2003-02-26,Chelsea FC,,,False,
Centre-Back,right,,2019-03-08,Adam Webster,190,212847,['England'],25000000,Bristol City,28,1995-04-01,Without Club,,,False,
Centre-Back,right,Team captain,2010-01-07,Lewis Dunk,192,148153,['England'],16000000,: Ablöse -,31,1991-11-21,Brighton & Hove Albion,,,False,
Centre-Back,right,,2020-10-09,Jan Paul van Hecke,189,576314,['Netherlands'],5000000,NAC Breda,23,2000-08-06,Tottenham Hotspur,,,False,
Centre-Back,right,,,Ed Turns,186,580809,"['Wales', 'England']",350000,,20,2002-10-18,Exeter City,,,False,
Centre-Back,right,,,Antef Tsoungui,185,503858,"['Belgium', 'England']",250000,,20,2002-12-30,GD Estoril Praia,,,False,
Centre-Back,right,,2024-01-07,Odeluga Offiah,187,567597,"['England', 'Nigeria']",200000,Brighton & Hove Albion U21,20,2002-10-26,Preston North End,,,False,
Left-Back,left,,2022-08-16,Pervis Estupiñán,175,349599,"['Ecuador', 'Spain']",32000000,Villarreal CF,25,1998-01-21,AC Milan,,,False,
Left-Back,left,,2021-01-07,Haydon Roberts,184,533523,['England'],700000,Brighton & Hove Albion U23,21,2002-10-05,Reading FC,,,False,
Left-Back,left,,,James Furlong,178,580030,['Ireland'],275000,,21,2002-07-06,Without Club,,,False,
Left-Back,left,,,Imari Samuels,187,565846,"['England', 'Nigeria']",150000,,20,2003-05-02,Dundee FC,,,False,
Right-Back,right,,2020-01-31,Tariq Lamptey,163,504148,"['Ghana', 'England']",12000000,Chelsea FC U23,22,2000-09-30,Queens Park Rangers,,,False,
