position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2021-07-15,José Sá,192,249994,['Portugal'],18000000,: Ablöse €8.00m,30,1993-01-17,Wolverhampton Wanderers,,,False,
Goalkeeper,right,,2020-07-27,Matija Sarkic,,293257,"['Montenegro', 'England']",2000000,: Ablöse free transfer,26,1997-07-23,---,,,False,
Goalkeeper,,,2023-01-25,Daniel Bentley,193,136401,['England'],2000000,Bristol City,29,1993-07-13,Wolverhampton Wanderers,,,False,
Goalkeeper,right,,,Louie Moulden,190,444641,['England'],200000,,21,2002-06-01,Accrington Stanley,,,False,
Goalkeeper,,,,Jackson Smith,187,511964,['England'],150000,,21,2001-10-14,Port Vale FC,,,False,
Centre-Back,left,,2018-09-08,Maximilian Kilman,194,525247,"['England', 'Ukraine']",30000000,: Ablöse €4.75m,26,1997-05-23,West Ham United,,,False,
Centre-Back,right,,2022-12-07,Nathan Collins,193,469050,['Ireland'],22000000,: Ablöse €24.30m,22,2001-04-30,Brentford FC,,,False,
Centre-Back,right,,2015-03-07,Conor Coady,185,128901,['England'],12000000,: Ablöse €2.80m,30,1993-02-25,Wrexham AFC,,,False,
Centre-Back,left,Team captain,2020-02-09,Toti,187,606718,"['Portugal', 'Guinea-Bissau']",6000000,GD Estoril Praia,24,1999-01-16,Wolverhampton Wanderers,,,False,
Centre-Back,right,,2021-01-07,Yerson Mosquera,188,716276,['Colombia'],3000000,Atlético Nacional,22,2001-02-05,Wolverhampton Wanderers,,,False,
Centre-Back,right,Knee injury - Return unknown,2018-01-07,Willy Boly,195,142310,"[""Cote d'Ivoire"", 'France']",2500000,FC Porto,32,1991-03-02,Without Club,,,False,
Centre-Back,right,,2023-01-22,Craig Dawson,188,121477,['England'],2000000,West Ham United,33,1990-06-05,Without Club,,,False,
Left-Back,left,,2021-09-07,Rayan Aït-Nouri,180,578391,"['Algeria', 'France']",22000000,Angers SCO,22,2001-06-06,Manchester City,,,False,
Left-Back,left,,2022-01-07,Hugo Bueno,180,698678,['Spain'],6000000,Wolverhampton Wanderers U21,20,2002-09-18,Wolverhampton Wanderers,,,False,
Right-Back,right,,2022-08-18,Matheus Nunes,183,601883,"['Portugal', 'Brazil']",45000000,: Ablöse €47.40m,24,1998-08-27,Manchester City,,,False,
Right-Back,right,,2020-09-23,Nélson Semedo,179,231572,"['Portugal', 'Cape Verde']",15000000,FC Barcelona,29,1993-11-16,Fenerbahce,,,False,
Right-Back,both,,2019-01-31,Jonny Otto,175,175446,['Spain'],13000000,: Ablöse €21.00m,29,1994-03-03,Deportivo Alavés,,,False,
Right-Back,right,,2020-09-19,Ki-Jana Hoever,183,485583,"['Netherlands', 'Suriname']",3500000,: Ablöse €9.80m,21,2002-01-18,Wolverhampton Wanderers,,,False,
Right-Back,right,,,Dexter Lembikisa,180,712099,"['Jamaica', 'England']",,,19,2003-04-11,Without Club,,,False,
Defensive Midfield,right,,2017-08-07,Rúben Neves,183,225161,['Portugal'],40000000,FC Porto,26,1997-03-13,Al-Hilal SFC,,,False,
Defensive Midfield,right,,2019-01-07,Leander Dendoncker,188,168157,['Belgium'],15000000,: Ablöse €13.80m,28,1995-04-15,Without Club,,,False,
Defensive Midfield,right,,2023-01-13,Mario Lemina,184,170934,"['Gabon', 'France']",10000000,OGC Nice,29,1993-01-09,Galatasaray,,,False,
Defensive Midfield,right,,2023-01-07,Boubacar Traoré,183,649020,['Mali'],5000000,FC Metz,21,2001-08-20,Wolverhampton Wanderers,,,False,
Defensive Midfield,right,,2022-01-07,Joe Hodge,172,503975,"['Ireland', 'England']",2000000,Wolverhampton Wanderers U21,20,2002-09-14,CD Tondela,,,False,
Defensive Midfield,,,,Harvey Griffiths,190,670558,['England'],,,19,2003-09-22,Without Club,,,False,
Central Midfield,right,,2023-01-30,João Gomes,176,735570,['Brazil'],18000000,CR Flamengo,22,2001-12-02,Aston Villa,,,False,
Central Midfield,right,,2021-01-07,Luke Cundle,171,532541,['England'],3000000,Wolverhampton Wanderers U23,21,2002-04-26,Millwall FC,,,False,
Central Midfield,right,,2018-07-24,João Moutinho,170,29364,['Portugal'],1500000,: Ablöse €5.60m,36,1986-08-09,SC Braga,,,False,
Central Midfield,right,,2017-01-01,Connor Ronan,171,337787,"['Ireland', 'England']",800000,Wolverhampton Wanderers U23,25,1998-06-03,Aberdeen FC,,,False,
Attacking Midfield,right,,2017-01-01,Morgan Gibbs-White,171,429014,"['England', 'Jamaica']",40000000,Wolverhampton Wanderers U18,23,2000-01-27,Nottingham Forest,,,False,
Attacking Midfield,left,,2023-01-17,Pablo Sarabia,174,74230,['Spain'],14000000,: Ablöse €5.00m,31,1992-11-05,Al-Arabi SC,,,False,
Left Winger,right,,2022-08-08,Gonçalo Guedes,179,225122,['Portugal'],23000000,Valencia CF,26,1996-11-29,Real Sociedad,,,False,
Left Winger,right,,2020-01-30,Daniel Podence,170,256977,['Portugal'],20000000,: Ablöse €19.60m,27,1995-10-21,Al-Shabab FC,,,False,
Left Winger,right,,2022-01-17,Chiquinho,179,695454,"['Portugal', 'Cape Verde']",2000000,GD Estoril Praia,23,2000-05-02,FC Alverca,,,False,
Left Winger,right,,2022-01-07,Chem Campbell,180,614603,"['Wales', 'England']",1000000,Wolverhampton Wanderers U21,20,2002-12-30,Stevenage FC,,,False,
Right Winger,left,,2019-02-08,Pedro Neto,174,487465,['Portugal'],28000000,: Ablöse €17.90m,23,2000-09-03,Chelsea FC,,,False,
Right Winger,right,,2018-08-08,Adama Traoré,178,204103,"['Spain', 'Mali']",10000000,: Ablöse €20.00m,27,1996-01-25,Without Club,,,False,
Centre-Forward,right,,2023-01-07,Matheus Cunha,183,517894,['Brazil'],25000000,: Ablöse €50.00m,24,1999-05-27,Manchester United,,,False,
Centre-Forward,right,,2022-08-31,Sasa Kalajdzic,200,369567,['Austria'],15000000,VfB Stuttgart,25,1997-07-07,Wolverhampton Wanderers,,,False,
Centre-Forward,right,,2022-01-07,Hee-chan Hwang,177,292246,"['Korea, South']",12000000,RB Leipzig,27,1996-01-26,Wolverhampton Wanderers,,,False,
Centre-Forward,right,,2026-01-07,Raúl Jiménez,188,206040,['Mexico'],6000000,Fulham FC,32,1991-05-05,Wolverhampton Wanderers,,,False,
Centre-Forward,right,,2022-12-09,Diego Costa,186,44779,"['Spain', 'Brazil']",2000000,Without Club,34,1988-07-10,Retired,,,False,
Centre-Forward,right,,2024-01-01,Nathan Fraser,188,863741,"['Ireland', 'England']",,Wolverhampton Wanderers U21,18,2005-02-22,Wolverhampton Wanderers,,,False,
