position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2023-07-20,James Trafford,192,566799,['England'],18000000,Manchester City,21,2002-10-10,Manchester City,,,False,
Goalkeeper,right,,2022-07-22,Arijanet Murić,198,371021,"['Kosovo', 'Montenegro']",7000000,Manchester City,25,1998-07-11,US Sassuolo,,,False,
Goalkeeper,left,,2023-01-07,Lawrence Vigouroux,194,243591,"['Chile', 'England']",300000,Leyton Orient,30,1993-11-19,Swansea City,,,False,
Goalkeeper,right,,2022-08-26,Denis Franchi,189,606576,['Italy'],250000,: Ablöse free transfer,21,2002-10-22,Potenza Calcio,,,False,
Centre-Back,right,Hamstring injury - Return expected on 03/08/2026,2023-01-07,Jordan Beyer,187,403898,['Germany'],13000000,Borussia Mönchengladbach,24,2000-05-19,Burnley FC,,,False,
Centre-Back,right,,2023-01-13,Ameen Al-Dakhil,187,620598,"['Belgium', 'Iraq']",12000000,Sint-Truidense VV,22,2002-06-03,VfB Stuttgart,,,False,
Centre-Back,right,,2023-01-07,Dara O'Shea,189,401320,['Ireland'],7000000,West Bromwich Albion,25,1999-04-03,Ipswich Town,,,False,
Centre-Back,right,,2023-01-21,Hjalmar Ekdal,187,392179,['Sweden'],7000000,Djurgårdens IF,25,1998-10-21,Burnley FC,,,False,
Centre-Back,left,,2024-01-07,Maxime Estève,193,842341,['France'],7000000,Montpellier HSC,22,2002-05-26,RB Leipzig,,,False,
Centre-Back,left,,2023-08-22,Hannes Delcroix,183,338635,"['Haiti', 'Belgium']",4000000,RSC Anderlecht,25,1999-02-28,FC Lugano,,,False,
Centre-Back,right,Cruciate ligament injury - Return unknown,2022-01-07,Luke McNally,193,535927,['Ireland'],3800000,Oxford United,24,1999-09-20,Bristol City,,,False,
Centre-Back,right,Dead leg - Return unknown,2022-01-07,CJ Egan-Riley,183,581669,"['England', 'Ireland']",1500000,Manchester City U21,21,2003-02-01,Olympique Marseille,,,False,
Left-Back,left,,2017-06-07,Charlie Taylor,183,195633,['England'],3000000,Leeds United,30,1993-09-18,Derby County,,,False,
Right-Back,right,Shoulder injury - Return unknown,2024-01-02,Lorenz Assignon,181,711969,"['France', 'Togo']",10000000,Stade Rennais FC,24,2000-06-22,VfB Stuttgart,,,False,
Right-Back,right,,2021-08-31,Connor Roberts,175,214666,['Wales'],7000000,: Ablöse €2.90m,28,1995-09-23,Burnley FC,,,False,
Right-Back,right,,2022-07-28,Vitinho,174,468249,['Brazil'],5000000,Cercle Brugge ,24,1999-07-23,Botafogo de Futebol e Regatas,,,False,
Defensive Midfield,right,,2023-09-08,Sander Berge,195,333014,['Norway'],20000000,Sheffield United,26,1998-02-14,Fulham FC,,,False,
Defensive Midfield,right,,2017-11-07,Jack Cork,185,40613,['England'],800000,: Ablöse €9.10m,35,1989-06-25,Burnley FC U21,,,False,
Central Midfield,right,,2020-01-30,Josh Brownhill,179,293569,['England'],15000000,Bristol City,28,1995-12-19,Al-Shabab FC,,,False,
Central Midfield,right,Team captain; Cruciate ligament tear - Return expected on 01/10/2026,2022-12-07,Josh Cullen,175,242606,"['Ireland', 'England']",10000000,: Ablöse €3.00m,28,1996-07-04,Burnley FC,,,False,
Central Midfield,right,,2023-08-31,Han-Noah Massengo,178,536508,"['France', 'Congo']",4000000,Bristol City,22,2001-07-07,FC Augsburg,,,False,
Attacking Midfield,right,,2023-08-22,Aaron Ramsey,181,646658,['England'],15000000,: Ablöse €16.45m,21,2003-01-21,Burnley FC,,,False,
Attacking Midfield,right,,2024-01-07,Mike Tresor,172,381963,"['Belgium', 'Burundi']",12000000,KRC Genk,25,1999-05-28,Burnley FC,,,False,
Attacking Midfield,right,,2022-01-07,Scott Twine,174,433818,['England'],3000000,: Ablöse €2.90m,24,1999-07-14,Bristol City,,,False,
Left Winger,right,Cruciate ligament tear - Return expected on 28/11/2026,2023-12-08,Wilson Odobert,182,743498,"['France', 'Martinique']",10000000,ESTAC Troyes,19,2004-11-28,Tottenham Hotspur,,,False,
Left Winger,right,,2022-08-30,Anass Zaroury,176,491296,"['Morocco', 'Belgium']",9000000,Royal Charleroi SC,23,2000-07-11,Panathinaikos,,,False,
Left Winger,right,,2025-11-07,Jacob Bruun Larsen,183,293281,['Denmark'],8000000,VfB Stuttgart,25,1998-09-19,Burnley FC,,,False,
Left Winger,right,,2022-08-19,Darko Churlinov,180,386786,['North Macedonia'],1500000,VfB Stuttgart,23,2000-11-07,Kocaelispor,,,False,
Left Winger,left,,2022-01-07,Dara Costelloe,175,614700,['Ireland'],325000,Burnley FC U21,21,2002-11-12,Wigan Athletic,,,False,
Right Winger,right,,2023-07-25,Luca Koleosho,175,745461,"['Italy', 'United States']",7000000,RCD Espanyol B,19,2004-09-15,Burnley FC,,,False,
Right Winger,left,Hamstring strain - Return unknown,2022-04-08,Manuel Benson,166,322702,"['Angola', 'Belgium']",5000000,Royal Antwerp FC,27,1997-03-28,Maccabi Haifa,,,False,
Right Winger,right,,2023-07-21,Nathan Redmond,173,129078,"['England', 'Jamaica']",5000000,: Ablöse free transfer,30,1994-06-03,Without Club,,,False,
Right Winger,left,,2016-07-19,Jóhann Berg Gudmundsson,186,89231,['Iceland'],1000000,Charlton Athletic,33,1990-10-27,Without Club,,,False,
Right Winger,left,,,Enock Agyei,172,724041,"['Belgium', 'Ghana']",800000,,19,2005-01-13,Burnley FC U21,,,False,
Centre-Forward,right,,2023-01-25,Lyle Foster,185,467623,['South Africa'],13000000,KVC Westerlo,23,2000-03-09,Burnley FC,,,False,
Centre-Forward,right,,2024-01-13,David Datro Fofana,182,787232,"[""Cote d'Ivoire""]",12000000,: Ablöse ?,21,2002-12-22,Chelsea FC,,,False,
Centre-Forward,right,,2023-07-19,Zeki Amdouni,183,548729,"['Switzerland', 'Tunisia']",12000000,FC Basel 1893,23,2000-04-12,Burnley FC,,,False,
Centre-Forward,right,,2023-01-07,Michael Obafemi,170,444208,"['Ireland', 'Nigeria']",2200000,Swansea City,23,2000-06-07,Burnley FC,,,False,
Centre-Forward,right,Ankle injury - Return unknown,2019-09-07,Jay Rodríguez,185,53360,"['England', 'Spain']",1000000,West Bromwich Albion,34,1989-07-29,Without Club,,,False,
