position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2023-03-08,Thomas Kaminski,190,77757,"['Belgium', 'Poland']",3000000,Blackburn Rovers,31,1992-10-23,Charlton Athletic,,,False,
Goalkeeper,left,,2023-08-17,Tim Krul,193,33027,['Netherlands'],500000,Norwich City,36,1988-03-04,Retired,,,False,
Goalkeeper,right,,2023-01-30,Jack Walton,184,368629,['England'],400000,Barnsley FC,26,1998-04-23,Dundee United FC,,,False,
Goalkeeper,right,,2017-03-07,James Shea,185,91340,"['England', 'Ireland']",200000,: Ablöse free transfer,33,1991-06-16,Luton Town,,,False,
Centre-Back,right,Hamstring injury - Return unknown,2023-08-31,Teden Mengi,186,548470,"['England', 'Angola']",12000000,Manchester United,22,2002-04-30,Luton Town,,,False,
Centre-Back,right,,2024-01-17,Tom Holmes,194,424900,['England'],3500000,Reading FC,24,2000-12-03,Luton Town,,,False,
Centre-Back,right,,2020-11-18,Gabriel Osho,185,364409,"['Nigeria', 'England']",3000000,Without Club,25,1998-08-14,Cardiff City,,,False,
Centre-Back,right,,2023-03-07,Mads Andersen,194,407021,['Denmark'],3000000,Barnsley FC,26,1997-12-27,Luton Town,,,False,
Centre-Back,right,,2020-01-09,Tom Lockyer,185,207742,['Wales'],2500000,Charlton Athletic,29,1994-03-12,Melbourne Victory,,,False,
Centre-Back,left,,2021-01-07,Amari'i Bell,180,278166,"['Jamaica', 'England']",2500000,Blackburn Rovers,30,1994-05-05,Charlton Athletic,,,False,
Centre-Back,right,,2021-01-07,Reece Burke,189,264220,['England'],1800000,Hull City,27,1996-02-09,Charlton Athletic,,,False,
Centre-Back,left,,2015-01-07,Dan Potts,183,207037,['England'],900000,: Ablöse free transfer,30,1994-04-13,Without Club,,,False,
Centre-Back,right,,,Aidan Francis-Clarke,181,802230,['England'],,,19,2004-02-07,Without Club,,,False,
