position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2023-01-07,Guglielmo Vicario,194,286047,['Italy'],35000000,FC Empoli,27,1996-07-10,Tottenham Hotspur,,,False,
Goalkeeper,left,,2012-08-31,Hugo Lloris,188,17965,['France'],1200000,: Ablöse €12.60m,37,1986-12-26,Los Angeles FC,,,False,
Goalkeeper,right,,2022-01-07,Fraser Forster,201,52570,['England'],1200000,Southampton FC,36,1988-03-17,AFC Bournemouth,,,False,
Goalkeeper,right,,2021-01-08,Brandon Austin,188,428016,"['England', 'United States']",600000,: Ablöse -,25,1999-08-01,Tottenham Hotspur,,,False,
Goalkeeper,right,,2019-01-07,Alfie Whiteman,188,282823,['England'],500000,: Ablöse -,25,1998-02-10,Retired,,,False,
Centre-Back,right,Team captain,2022-08-30,Cristian Romero,185,355915,['Argentina'],60000000,: Ablöse €53.80m,26,1998-04-27,Tottenham Hotspur,,,False,
Centre-Back,left,,2023-08-08,Micky van de Ven,193,557459,['Netherlands'],55000000,: Ablöse €40.00m,23,2001-04-19,Tottenham Hotspur,,,False,
Centre-Back,right,,2024-11-01,Radu Drăgușin,191,568559,['Romania'],25000000,Genoa CFC,22,2002-03-02,ACF Fiorentina,,,False,
Centre-Back,right,,2017-08-23,Davinson Sánchez,188,341429,['Colombia'],17000000,: Ablöse €42.00m,28,1996-12-06,Galatasaray,,,False,
Centre-Back,right,,2014-07-31,Eric Dier,191,175722,"['England', 'Portugal']",12000000,: Ablöse €5.00m,30,1994-01-15,AS Monaco,,,False,
Centre-Back,left,,2014-07-23,Ben Davies,181,192765,['Wales'],10000000,: Ablöse €12.65m,31,1993-04-24,Tottenham Hotspur,,,False,
Centre-Back,right,,2020-10-16,Joe Rodon,193,297212,['Wales'],8000000,: Ablöse €12.10m,26,1997-10-22,Leeds United,,,False,
Centre-Back,right,,2023-05-08,Ashley Phillips,196,859951,"['England', 'Wales']",2200000,Blackburn Rovers,19,2005-06-26,Tottenham Hotspur,,,False,
Centre-Back,right,,2020-01-01,Japhet Tanganga,184,346478,"['England', 'DR Congo']",1800000,: Ablöse -,25,1999-03-31,Sheffield United,,,False,
Centre-Back,right,,,Alfie Dorrington,192,796300,['England'],500000,,19,2005-04-20,Tottenham Hotspur U21,,,False,
Left-Back,left,,2022-08-16,Destiny Udogie,188,556385,"['Italy', 'Nigeria']",45000000,Udinese Calcio,21,2002-11-28,Tottenham Hotspur,,,False,
Left-Back,left,,2020-09-19,Sergio Reguilón,178,282429,['Spain'],12000000,Real Madrid,27,1996-12-16,Inter Miami CF,,,False,
Left-Back,left,,2019-08-08,Ryan Sessegnon,178,392775,['England'],10000000,Fulham FC,24,2000-05-18,Fulham FC,,,False,
Right-Back,right,,2023-01-07,Pedro Porro,173,553875,['Spain'],45000000,: Ablöse €40.00m,24,1999-09-13,Tottenham Hotspur,,,False,
Right-Back,right,,2021-08-31,Emerson Royal,183,476344,['Brazil'],18000000,FC Barcelona,25,1999-01-14,CR Flamengo,,,False,
Defensive Midfield,right,,2022-01-07,Yves Bissouma,182,410425,"['Mali', ""Cote d'Ivoire""]",35000000,Brighton & Hove Albion,27,1996-08-30,Without Club,,,False,
Defensive Midfield,right,,2022-01-31,Rodrigo Bentancur,187,354362,['Uruguay'],35000000,Juventus FC,27,1997-06-25,Tottenham Hotspur,,,False,
Defensive Midfield,right,,2020-11-08,Pierre-Emile Højbjerg,185,167799,"['Denmark', 'France']",18000000,Southampton FC,28,1995-05-08,Olympique Marseille,,,False,
Defensive Midfield,right,,2018-01-07,Oliver Skipp,175,406638,['England'],15000000,: Ablöse -,23,2000-09-16,Leicester City,,,False,
Central Midfield,right,,2021-08-27,Pape Matar Sarr,185,568693,['Senegal'],45000000,FC Metz,21,2002-09-14,Tottenham Hotspur,,,False,
Central Midfield,right,,,Tyrese Hall,183,965971,"['Jamaica', 'England']",,,18,2005-04-09,Tottenham Hotspur U21,,,False,
Attacking Midfield,right,,2023-01-07,James Maddison,175,294057,"['England', 'Ireland']",70000000,Leicester City,27,1996-11-23,Tottenham Hotspur,,,False,
Attacking Midfield,left,Knee surgery - Return expected on 27/07/2026,2023-01-07,Dejan Kulusevski,186,431755,"['Sweden', 'North Macedonia']",55000000,Juventus FC,24,2000-04-25,Tottenham Hotspur,,,False,
Attacking Midfield,left,,2020-01-07,Giovani Lo Celso,177,348795,"['Argentina', 'Italy']",16000000,Real Betis Balompié,28,1996-09-04,Real Betis Balompié,,,False,
Attacking Midfield,left,,,Jamie Donley,183,796305,"['Northern Ireland', 'England']",1500000,,19,2005-03-01,Tottenham Hotspur U21,,,False,
Left Winger,both,,2015-08-28,Heung-min Son,183,91845,"['Korea, South']",45000000,Bayer 04 Leverkusen,31,1992-08-07,Los Angeles FC,,,False,
Left Winger,left,,2021-07-26,Bryan Gil,175,537382,['Spain'],14000000,Sevilla FC,23,2001-11-02,Girona FC,,,False,
Left Winger,right,,2023-11-07,Manor Solomon,170,396638,"['Israel', 'Portugal']",13000000,Shakhtar Donetsk,24,1999-07-24,Tottenham Hotspur,,,False,
Left Winger,both,,2022-01-07,Ivan Perišić,186,42460,['Croatia'],2000000,Inter Milan,35,1989-02-02,PSV Eindhoven,,,False,
Left Winger,right,,,Yago Santiago,180,706947,['Spain'],200000,,21,2003-04-15,Elche CF,,,False,
Left Winger,right,,2024-01-07,Mikey Moore,180,1011147,"['England', 'Wales']",,Tottenham Hotspur U18,16,2007-11-08,Tottenham Hotspur,,,False,
Right Winger,right,,2023-01-09,Brennan Johnson,186,470607,"['Wales', 'England']",48000000,Nottingham Forest,23,2001-05-23,Crystal Palace,,,False,
Centre-Forward,right,,2022-01-07,Richarlison,184,378710,['Brazil'],38000000,Everton FC,27,1997-10-05,Tottenham Hotspur,,,False,
Centre-Forward,right,Muscle injury - Return unknown,2024-09-01,Timo Werner,180,170527,['Germany'],17000000,RB Leipzig,28,1996-06-03,San Jose Earthquakes,,,False,
Centre-Forward,right,,2023-08-08,Alejo Veliz,186,888493,['Argentina'],9000000,: Ablöse €15.00m,20,2003-09-19,Esporte Clube Bahia,,,False,
Centre-Forward,right,,2023-01-07,Dane Scarlett,180,670883,"['England', 'Jamaica']",1800000,: Ablöse -,20,2004-03-24,Tottenham Hotspur,,,False,
