position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2024-08-29,Kepa Arrizabalaga,188,192279,['Spain'],10000000,: Ablöse €3.60m,30,1994-03-10,Arsenal FC,,,False,
Goalkeeper,right,,2020-01-07,Mark Travers,191,357658,['Ireland'],4000000,AFC Bournemouth U23,26,1999-05-18,Everton FC,,,False,
Goalkeeper,right,Ankle injury - Return unknown,2021-01-07,Will Dennis,188,582078,['England'],350000,AFC Bournemouth U23,24,2000-10-07,AFC Bournemouth,,,False,
Centre-Back,right,,2023-01-31,Ilya Zabarnyi,189,659089,['Ukraine'],42000000,: Ablöse €33.00m,22,2002-01-09,Paris Saint-Germain,,,False,
Centre-Back,left,,2022-08-08,Marcos Senesi,184,469781,"['Argentina', 'Italy']",22000000,: Ablöse €15.00m,28,1997-10-05,Tottenham Hotspur,,,False,
Centre-Back,right,,2019-01-22,Chris Mepham,190,480987,"['Wales', 'England']",6000000,Brentford FC,27,1997-05-11,West Bromwich Albion,,,False,
Centre-Back,right,,2022-05-01,James Hill,184,611793,['England'],3000000,Fleetwood Town,23,2002-10-01,AFC Bournemouth,,,False,
Centre-Back,left,Muscle injury - Return unknown,2025-03-01,Matai Akinmboni,188,994604,"['United States', 'Nigeria']",1000000,D.C. United,18,2006-10-17,AFC Bournemouth,,,False,
Centre-Back,right,,,Max Kinsey,184,939615,['England'],,,20,2005-02-02,AFC Bournemouth U21,,,False,
Left-Back,left,,2023-07-20,Milos Kerkez,180,730861,"['Hungary', 'Serbia']",45000000,AZ Alkmaar,21,2003-07-11,Liverpool FC,,,False,
Left-Back,left,,2025-07-01,Julio Soler,175,1009658,"['Argentina', 'Paraguay']",8000000,CA Lanús,20,2005-02-16,AFC Bournemouth,,,False,
Right-Back,right,Yellow card suspension – Major League Soccer,2024-08-13,Julián Araujo,176,513970,"['Mexico', 'United States']",10000000,FC Barcelona,23,2001-08-13,AFC Bournemouth,,,False,
Right-Back,right,,2023-10-08,Max Aarons,177,471690,"['England', 'Jamaica']",6000000,Norwich City,25,2000-04-01,AFC Bournemouth,,,False,
Right-Back,right,Team captain,2014-01-28,Adam Smith,174,61841,['England'],750000,: Ablöse ?,34,1991-04-29,AFC Bournemouth,,,False,
Defensive Midfield,right,,2023-08-20,Tyler Adams,175,332705,['United States'],18000000,Leeds United,26,1999-02-14,AFC Bournemouth,,,False,
Defensive Midfield,right,,2025-01-01,Ben Winterburn,185,854721,['England'],500000,AFC Bournemouth U21,20,2004-04-09,AFC Bournemouth,,,False,
Central Midfield,right,,2023-10-08,Alex Scott,178,855256,"['England', 'Guernsey']",20000000,Bristol City,21,2003-08-21,AFC Bournemouth,,,False,
Central Midfield,right,,2016-08-07,Lewis Cook,175,249089,['England'],15000000,Leeds United,28,1997-03-02,AFC Bournemouth,,,False,
Central Midfield,left,,2021-08-31,Ryan Christie,178,188077,['Scotland'],10000000,: Ablöse €2.90m,30,1995-02-22,AFC Bournemouth,,,False,
Attacking Midfield,both,,2023-01-07,Justin Kluivert,173,330659,"['Netherlands', 'Suriname']",35000000,AS Roma,26,1999-05-05,AFC Bournemouth,,,False,
Attacking Midfield,left,,2022-01-08,Marcus Tavernier,178,399434,['England'],18000000,: Ablöse €11.90m,26,1999-03-22,AFC Bournemouth,,,False,
Left Winger,right,,2024-01-07,Luis Sinisterra,172,512385,['Colombia'],15000000,Leeds United,26,1999-06-17,Cruzeiro Esporte Clube,,,False,
Right Winger,right,,2023-01-27,Antoine Semenyo,185,583255,"['Ghana', 'England']",40000000,Bristol City,25,2000-07-01,Manchester City,,,False,
Right Winger,left,,2023-01-19,Dango Ouattara,177,823231,['Burkina Faso'],28000000,FC Lorient,23,2002-11-02,Brentford FC,,,False,
Right Winger,left,,2018-01-07,David Brooks,173,277033,"['Wales', 'England']",10000000,Sheffield United,27,1997-08-07,AFC Bournemouth,,,False,
Centre-Forward,both,,2024-08-16,Evanilson,183,711337,['Brazil'],35000000,FC Porto,25,1999-06-10,AFC Bournemouth,,,False,
Centre-Forward,right,,2024-01-07,Enes Ünal,187,251106,['Türkiye'],10000000,Getafe CF,28,1997-10-05,AFC Bournemouth,,,False,
Centre-Forward,right,,2024-10-07,Daniel Jebbison,190,746740,"['Canada', 'England']",4000000,Sheffield United,21,2003-08-13,AFC Bournemouth,,,False,
