position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2023-07-20,André Onana,190,234509,['Cameroon'],25000000,Inter Milan,29,1996-02-04,Trabzonspor,,,False,
Goalkeeper,right,,2023-01-09,Altay Bayındır,198,336077,['Türkiye'],8000000,Fenerbahce,27,1998-04-14,Manchester United,,,False,
Goalkeeper,right,,2021-02-07,Tom Heaton,188,34130,['England'],200000,: Ablöse free transfer,39,1986-04-15,Manchester United,,,False,
Goalkeeper,right,,2026-01-07,Dermot Mee,183,620362,"['Northern Ireland', 'England']",,Manchester United U21,22,2002-11-20,Manchester United,,,False,
Centre-Back,right,,2024-07-18,Leny Yoro,190,923831,"['France', ""Cote d'Ivoire""]",55000000,LOSC Lille,19,2005-11-13,Manchester United,,,False,
Centre-Back,left,Hamstring injury - Return unknown,2022-07-27,Lisandro Martínez,175,480762,['Argentina'],40000000,: Ablöse €57.37m,27,1998-01-18,Manchester United,,,False,
Centre-Back,right,,2024-08-13,Matthijs de Ligt,189,326031,['Netherlands'],38000000,Bayern Munich,25,1999-12-08,Manchester United,,,False,
Centre-Back,right,,2019-05-08,Harry Maguire,194,177907,['England'],13000000,Leicester City,32,1993-05-03,Manchester United,,,False,
Centre-Back,right,,2017-01-07,Victor Lindelöf,187,184573,['Sweden'],8000000,SL Benfica,30,1994-07-17,Aston Villa,,,False,
Centre-Back,left,,2025-01-02,Ayden Heaven,189,1078163,"['England', 'Ghana']",5000000,Arsenal FC U21,18,2006-09-22,Manchester United,,,False,
Centre-Back,right,,2026-01-01,Tyler Fredricson,188,911424,['England'],3000000,Manchester United U21,20,2005-02-23,Manchester United,,,False,
Centre-Back,both,,2023-07-18,Jonny Evans,188,42412,['Northern Ireland'],1000000,Leicester City,37,1988-03-01,Retired,,,False,
Left-Back,left,,2014-01-07,Luke Shaw,178,183288,['England'],12000000,Southampton FC,29,1995-12-07,Manchester United,,,False,
Left-Back,left,,2025-01-01,Harry Amass,181,1011738,['England'],5000000,Manchester United U18,18,2007-03-16,Manchester United,,,False,
Right-Back,right,,2018-01-07,Diogo Dalot,184,357147,['Portugal'],30000000,FC Porto,26,1999-03-18,Manchester United,,,False,
Right-Back,right,,2024-08-13,Noussair Mazraoui,183,340456,"['Morocco', 'Netherlands']",25000000,Bayern Munich,27,1997-11-14,Manchester United,,,False,
Defensive Midfield,right,Cruciate ligament tear - Return unknown,2024-08-30,Manuel Ugarte,182,476701,['Uruguay'],45000000,Paris Saint-Germain,24,2001-11-04,Manchester United,,,False,
Defensive Midfield,right,,2022-08-22,Casemiro,185,16306,"['Brazil', 'Spain']",10000000,Real Madrid,33,1992-02-23,Inter Miami CF,,,False,
Defensive Midfield,right,,2024-01-07,Toby Collyer,180,654253,['England'],5000000,Manchester United U21,21,2004-03-01,Manchester United,,,False,
Central Midfield,right,,2023-01-01,Kobbie Mainoo,184,820374,"['England', 'Ghana']",50000000,Manchester United U21,20,2005-04-19,Manchester United,,,False,
Central Midfield,right,,2023-01-07,Dan Gore,170,747153,['England'],800000,Manchester United U18,20,2004-09-26,Manchester United,,,False,
Attacking Midfield,right,Team captain,2020-01-29,Bruno Fernandes,183,240306,['Portugal'],50000000,: Ablöse €65.00m,30,1994-08-09,Manchester United,,,False,
Attacking Midfield,right,,2023-05-07,Mason Mount,181,346483,['England'],28000000,: Ablöse €67.70m,26,1999-10-01,Manchester United,,,False,
Attacking Midfield,right,heart problems - Return unknown,2022-07-15,Christian Eriksen,182,69633,['Denmark'],4000000,Brentford FC,33,1992-02-14,VfL Wolfsburg,,,False,
Attacking Midfield,left,,2026-01-07,Jack Fletcher,,1011140,"['England', 'Scotland']",,Manchester United U18,18,2007-03-19,Manchester United,,,False,
Left Winger,right,,2016-01-01,Marcus Rashford,185,258923,"['England', 'St. Kitts & Nevis']",50000000,Manchester United U18,27,1997-10-31,Manchester United,,,False,
Left Winger,right,,2022-01-07,Alejandro Garnacho,180,811779,"['Argentina', 'Spain']",45000000,Manchester United U21,20,2004-01-07,Aston Villa,,,False,
Left Winger,left,,2025-02-02,Patrick Dorgu,185,926952,"['Denmark', 'Nigeria']",25000000,US Lecce,20,2004-10-26,Manchester United,,,False,
Right Winger,left,,2021-02-01,Amad Diallo,173,536835,"[""Cote d'Ivoire"", 'Italy']",45000000,: Ablöse €27.30m,22,2002-11-07,Manchester United,,,False,
Centre-Forward,left,,2023-05-08,Rasmus Højlund,191,610442,['Denmark'],35000000,: Ablöse €79.80m,22,2003-04-02,SSC Napoli,,,False,
Centre-Forward,right,,2024-07-14,Joshua Zirkzee,193,435648,"['Netherlands', 'Nigeria']",30000000,Bologna FC 1909,24,2001-05-22,Manchester United,,,False,
Centre-Forward,right,,2025-01-07,Chido Obi,188,1042886,"['Denmark', 'Nigeria']",5000000,Manchester United U18,17,2007-11-29,Manchester United,,,False,
Centre-Forward,,,2025-01-07,Ethan Wheatley,187,888639,['England'],,Manchester United U21,19,2006-01-20,Manchester United,,,False,
