position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2024-04-07,David Raya,186,262749,['Spain'],30000000,Brentford FC,30,1995-09-15,Arsenal FC,,,False,
Goalkeeper,right,,2025-01-07,Kepa Arrizabalaga,188,192279,['Spain'],5000000,: Ablöse €5.80m,31,1994-03-10,Arsenal FC,,,False,
Goalkeeper,right,,2026-01-07,Tommy Setford,185,848753,"['England', 'Netherlands']",500000,Arsenal FC U21,20,2006-03-13,Arsenal FC,,,False,
Centre-Back,right,Back injury - Return unknown,2019-07-25,William Saliba,192,495666,"['France', 'Cameroon']",100000000,: Ablöse €30.00m,25,2001-03-24,Arsenal FC,,,False,
Centre-Back,left,,2020-01-09,Gabriel,190,435338,['Brazil'],75000000,LOSC Lille,28,1997-12-19,Arsenal FC,,,False,
Centre-Back,left,,2026-01-07,Piero Hincapié,183,659813,['Ecuador'],50000000,Bayer 04 Leverkusen,24,2002-09-01,Arsenal FC,,,False,
Centre-Back,right,,2025-07-24,Cristhian Mosquera,191,646750,"['Spain', 'Colombia']",40000000,Valencia CF,22,2004-06-27,Arsenal FC,,,False,
Left-Back,left,,2024-07-29,Riccardo Calafiori,188,502821,['Italy'],55000000,Bologna FC 1909,24,2002-05-19,Arsenal FC,,,False,
Left-Back,left,,2024-01-07,Myles Lewis-Skelly,178,890721,"['England', 'Barbados']",45000000,Arsenal FC U21,19,2006-09-26,Arsenal FC,,,False,
Right-Back,right,Groin injury - Return unknown,2023-07-14,Jurriën Timber,179,420243,"['Netherlands', 'Curacao']",70000000,: Ablöse €40.00m,25,2001-06-17,Arsenal FC,,,False,
Right-Back,right,,2021-07-30,Ben White,186,335721,['England'],30000000,Brighton & Hove Albion,28,1997-08-10,Arsenal FC,,,False,
Defensive Midfield,right,,2025-06-07,Martín Zubimendi,181,423440,['Spain'],75000000,Real Sociedad,27,1999-02-02,Arsenal FC,,,False,
Defensive Midfield,right,,2025-10-07,Christian Nørgaard,187,148367,['Denmark'],5000000,Brentford FC,32,1994-10-03,Arsenal FC,,,False,
Central Midfield,right,,2023-07-15,Declan Rice,188,357662,"['England', 'Ireland']",120000000,West Ham United,27,1999-01-14,Arsenal FC,,,False,
Central Midfield,left,,2024-08-27,Mikel Merino,188,338424,['Spain'],25000000,Real Sociedad,30,1996-06-22,Arsenal FC,,,False,
Attacking Midfield,left,Team captain,2021-08-20,Martin Ødegaard,178,316264,['Norway'],65000000,Real Madrid,27,1998-12-17,Arsenal FC,,,False,
Attacking Midfield,right,,2025-08-23,Eberechi Eze,178,479999,"['England', 'Nigeria']",65000000,Crystal Palace,28,1998-06-29,Arsenal FC,,,False,
Attacking Midfield,left,,2024-01-07,Ethan Nwaneri,176,890719,"['England', 'Nigeria']",35000000,Arsenal FC U21,19,2007-03-21,Arsenal FC,,,False,
Left Winger,right,,2019-02-07,Gabriel Martinelli,178,655488,"['Brazil', 'Italy']",45000000,Ituano Futebol Clube (SP),25,2001-06-18,Arsenal FC,,,False,
Left Winger,right,No eligibility – UEFA Europa League Qualifying – until 31/07/2026,2023-01-20,Leandro Trossard,172,144028,['Belgium'],18000000,Brighton & Hove Albion,31,1994-04-12,Besiktas JK,,,False,
Right Winger,left,,2019-01-07,Bukayo Saka,178,433177,"['England', 'Nigeria']",110000000,Arsenal FC U23,24,2001-05-09,Arsenal FC,,,False,
Right Winger,left,,2025-07-18,Noni Madueke,182,503987,"['England', 'Nigeria']",50000000,: Ablöse €56.00m,24,2002-10-03,Arsenal FC,,,False,
Right Winger,left,,2025-01-07,Max Dowman,183,1187629,['England'],30000000,Arsenal FC U18,16,2009-12-31,Arsenal FC,,,False,
Centre-Forward,right,,2025-07-26,Viktor Gyökeres,189,325443,"['Sweden', 'Hungary']",65000000,: Ablöse €66.90m,28,1998-04-06,Arsenal FC,,,False,
Centre-Forward,left,,2023-01-07,Kai Havertz,193,309400,['Germany'],55000000,: Ablöse €75.00m,27,1999-11-06,Arsenal FC,,,False,
Centre-Forward,right,,2022-04-07,Gabriel Jesus,175,363205,['Brazil'],17000000,Manchester City,29,1997-03-04,Arsenal FC,,,False,
