position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2025-01-07,Caoimhín Kelleher,188,340918,['Ireland'],28000000,Liverpool FC,27,1998-11-23,Brentford FC,,,False,
Goalkeeper,right,,2024-01-26,Hákon Valdimarsson,195,488935,['Iceland'],2500000,IF Elfsborg,24,2001-10-13,Brentford FC,,,False,
Goalkeeper,right,,2022-01-07,Matthew Cox,183,741236,['England'],700000,Brentford FC B,23,2003-02-05,Brentford FC,,,False,
Goalkeeper,right,,2018-01-07,Ellery Balcombe,190,456292,"['England', 'St. Vincent & Grenadinen']",400000,Brentford FC B,26,1999-10-15,Brentford FC,,,False,
Goalkeeper,right,,2025-04-07,Julian Eyestone,200,1008553,['United States'],,Brentford FC B,20,2006-04-21,Brentford FC,,,False,
Centre-Back,right,,2024-08-22,Sepp van den Berg,192,541231,['Netherlands'],32000000,Liverpool FC,24,2001-12-20,Brentford FC,,,False,
Centre-Back,right,Team captain,2023-04-07,Nathan Collins,193,469050,['Ireland'],30000000,Wolverhampton Wanderers,25,2001-04-30,Brentford FC,,,False,
Centre-Back,right,,2021-07-21,Kristoffer Ajer,198,328658,['Norway'],18000000,: Ablöse €15.70m,28,1998-04-17,Brentford FC,,,False,
Centre-Back,left,,2019-02-07,Ethan Pinnock,194,442248,"['Jamaica', 'England']",3000000,Barnsley FC,33,1993-05-29,Brentford FC,,,False,
Centre-Back,right,,2025-04-07,Benjamin Arthur,192,1144158,['England'],100000,Brentford FC B,20,2005-09-10,Brentford FC,,,False,
Left-Back,left,,2016-08-31,Rico Henry,170,339556,"['Jamaica', 'England']",13000000,Walsall FC,28,1997-08-07,Brentford FC,,,False,
Left-Back,left,,2024-08-30,Jayden Meghoma,176,954104,"['England', 'Nigeria']",2000000,Southampton FC U21,20,2006-06-28,Brentford FC,,,False,
Right-Back,right,,2025-01-07,Michael Kayode,179,823486,"['Italy', 'Nigeria']",40000000,ACF Fiorentina,21,2004-10-07,Brentford FC,,,False,
Right-Back,both,,2022-09-07,Aaron Hickey,185,591949,['Scotland'],16000000,Bologna FC 1909,24,2002-10-06,Brentford FC,,,False,
Defensive Midfield,left,,2020-03-10,Vitaly Janelt,184,270171,"['Germany', 'Bosnia-Herzegovina']",16000000,VfL Bochum,28,1998-10-05,Brentford FC,,,False,
Defensive Midfield,right,,2024-11-01,Yunus Konak,181,1141628,['Türkiye'],3500000,Sivasspor,20,2006-10-01,Brentford FC,,,False,
Defensive Midfield,right,,2025-07-15,Jordan Henderson,182,61651,['England'],1200000,Ajax Amsterdam,36,1990-06-17,Brentford FC,,,False,
Central Midfield,right,unknown injury - Return unknown,2023-01-07,Yegor Yarmolyuk,180,717411,['Ukraine'],32000000,Brentford FC B,22,2004-01-03,Brentford FC,,,False,
Central Midfield,right,,2019-10-07,Mathias Jensen,180,319859,['Denmark'],10000000,Celta de Vigo,30,1996-01-01,Brentford FC,,,False,
Central Midfield,right,,2021-07-20,Frank Onyeka,183,421637,['Nigeria'],8000000,: Ablöse €10.00m,28,1998-01-01,Coventry City,,,False,
Central Midfield,left,,2025-10-23,Josh Dasilva,184,340321,"['England', 'Angola']",1500000,Without Club,27,1998-10-23,Brentford FC,,,False,
Central Midfield,right,,2023-01-07,Ryan Trevitt,170,874538,['England'],275000,Brentford FC B,23,2003-12-03,Wigan Athletic,,,False,
Left Midfield,right,,2022-12-07,Keane Lewis-Potter,170,644401,['England'],25000000,Hull City,25,2001-02-22,Brentford FC,,,False,
Attacking Midfield,right,,2022-10-08,Mikkel Damsgaard,180,540941,['Denmark'],30000000,UC Sampdoria,25,2000-03-07,Brentford FC,,,False,
Attacking Midfield,right,Cruciate ligament tear - Return expected on 01/08/2026,2025-03-07,Antoni Milambo,179,683620,"['Netherlands', 'DR Congo']",15000000,Feyenoord Rotterdam,21,2005-03-04,Brentford FC,,,False,
Attacking Midfield,right,Cruciate ligament tear - Return expected on 01/09/2026,2024-12-08,Fábio Carvalho,170,559263,['Portugal'],8000000,Liverpool FC,23,2002-08-30,Brentford FC,,,False,
Left Winger,right,,2023-01-07,Kevin Schade,185,473050,"['Germany', 'Nigeria']",35000000,SC Freiburg,24,2001-11-27,Brentford FC,,,False,
Left Winger,right,,2024-08-28,Gustavo Nunes,173,1086375,['Brazil'],8000000,Grêmio Foot-Ball Porto Alegrense,20,2005-11-20,Brentford FC,,,False,
Left Winger,right,,2025-01-09,Reiss Nelson,175,340325,"['England', 'Jamaica']",8000000,Arsenal FC,26,1999-10-12,Arsenal FC,,,False,
Right Winger,left,,2025-08-16,Dango Ouattara,177,823231,['Burkina Faso'],35000000,AFC Bournemouth,24,2002-11-02,Brentford FC,,,False,
Right Winger,left,,2025-01-07,Romelle Donovan,171,1091562,"['England', 'St. Kitts & Nevis']",3500000,Birmingham City,19,2006-11-30,Sheffield United,,,False,
Centre-Forward,right,,2024-01-07,Igor Thiago,190,739443,"['Brazil', 'Bulgaria']",65000000,: Ablöse €33.00m,25,2001-06-26,Brentford FC,,,False,
Centre-Forward,right,,2026-11-01,Kaye Furo,190,1011936,"['Belgium', 'Nigeria']",8000000,: Ablöse €10.00m,19,2007-06-02,Brentford FC,,,False,
