position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2026-02-07,Jack Butland,196,128899,['England'],1500000,Rangers FC,33,1993-10-03,,,,False,
Goalkeeper,right,,2022-09-08,Thimothée Lo-Tutala,191,655877,"['France', 'England']",400000,: Ablöse free transfer,23,2003-02-13,,,,False,
Goalkeeper,right,,2025-01-07,Dillon Phillips,188,308431,['England'],200000,: Ablöse free transfer,31,1995-11-06,,,,False,
Goalkeeper,right,,2021-01-07,Harvey Cartwright,192,712592,['England'],150000,Hull City U23,24,2002-09-05,,,,False,
Centre-Back,right,,2024-08-16,Charlie Hughes,185,746357,['England'],10000000,Wigan Athletic,22,2003-10-16,,,,False,
Centre-Back,right,,2026-01-28,Paddy McNair,189,167268,['Northern Ireland'],1500000,San Diego FC,31,1995-04-27,,,,False,
Centre-Back,right,,2025-03-02,John Egan,185,121324,['Ireland'],1000000,Burnley FC,33,1992-10-20,,,,False,
Centre-Back,right,,2025-01-07,Semi Ajayi,193,251912,"['Nigeria', 'England']",700000,West Bromwich Albion,32,1993-09-11,,,,False,
Left-Back,left,,2024-01-07,Ryan Giles,183,504581,['England'],12000000,Luton Town,26,2000-01-26,,,,False,
Left-Back,left,,2026-07-23,Matt Targett,183,250478,"['England', 'Scotland']",3000000,Newcastle United,30,1995-09-18,,,,False,
Left-Back,left,,2022-01-07,Matty Jacob,180,729940,['England'],400000,Hull City U21,25,2001-03-06,,,,False,
Right-Back,right,,2024-07-23,Cody Drameh,181,531957,"['England', 'The Gambia']",3000000,Leeds United,24,2001-08-12,,,,False,
Right-Back,right,Team captain,2020-07-08,Lewie Coyle,173,413402,['England'],1200000,Fleetwood Town,30,1995-10-15,,,,False,
Defensive Midfield,right,,2022-01-27,Regan Slater,171,473080,['England'],5500000,Sheffield United U23,26,1999-11-09,,,,False,
Defensive Midfield,right,,2026-07-21,Óscar Zambrano,176,893658,['Ecuador'],1500000,NK Maribor,22,2004-04-20,,,,False,
Central Midfield,right,Groin injury - Return unknown,2025-01-09,Darko Gyabi,196,663264,"['England', 'Ghana']",2000000,Leeds United,22,2004-02-18,,,,False,
Central Midfield,right,Cruciate ligament tear - Return expected on 30/11/2026,2025-01-24,Eliot Matazo,170,535834,"['Belgium', 'DR Congo']",1500000,AS Monaco,24,2002-02-15,,,,False,
Central Midfield,right,,2025-10-01,Matt Crooks,191,169416,['England'],700000,Real Salt Lake City,32,1994-01-20,,,,False,
Right Midfield,left,,2024-01-02,Abdülkadir Ömür,168,271495,['Türkiye'],1500000,Trabzonspor,27,1999-06-25,,,,False,
Attacking Midfield,left,,2026-01-23,Kieran Dowell,183,258916,['England'],600000,Rangers FC,28,1997-10-10,,,,False,
Left Winger,right,,2024-09-08,Liam Millar,181,487417,"['Canada', 'England']",5000000,FC Basel 1893,26,1999-09-27,,,,False,
Right Winger,left,,2024-08-30,Mohamed Belloumi,177,857079,['Algeria'],6000000,SC Farense,24,2002-01-06,,,,False,
Right Winger,left,,2024-08-30,Abu Kamara,183,696764,"['England', 'Sierra Leone']",2500000,Norwich City,23,2003-07-21,,,,False,
Right Winger,right,,2025-08-15,David Akintola,178,353775,['Nigeria'],1000000,Caykur Rizespor,30,1996-01-13,,,,False,
Centre-Forward,right,,2025-06-08,Oli McBurnie,188,298477,"['Scotland', 'England']",5000000,UD Las Palmas,30,1996-04-06,,,,False,
Centre-Forward,right,,2024-08-16,Mason Burstow,187,874080,"['England', 'Jamaica']",2800000,: Ablöse €2.35m,22,2003-04-08,,,,False,
Centre-Forward,right,,2025-01-08,Enis Destan,186,699980,['Türkiye'],2000000,Trabzonspor,24,2002-06-15,,,,False,
