position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2022-01-19,Christian Walton,195,208379,['England'],2500000,Brighton & Hove Albion,30,1995-09-11,,,,False,
Goalkeeper,right,,2026-07-21,Kayne van Oevelen,199,790669,['Netherlands'],2000000,FC Volendam,22,2003-07-08,,,,False,
Goalkeeper,right,,2025-03-02,Alex Palmer,191,245625,['England'],1000000,West Bromwich Albion,29,1996-10-08,,,,False,
Goalkeeper,right,,2025-04-07,David Button,191,61814,['England'],50000,Reading FC,37,1989-02-27,,,,False,
Centre-Back,right,Team captain,2024-08-25,Dara O'Shea,189,401320,['Ireland'],16000000,Burnley FC,27,1999-04-03,,,,False,
Centre-Back,left,,2024-12-07,Jacob Greaves,193,693095,['England'],14000000,Hull City,25,2000-12-09,,,,False,
Centre-Back,right,,2026-07-22,Issa Diop,194,272622,"['Morocco', 'France']",8000000,Fulham FC,29,1997-09-01,,,,False,
Centre-Back,right,,2026-01-07,Cédric Kipré,193,364827,"[""Cote d'Ivoire"", 'France']",2000000,Stade Reims,29,1996-09-12,,,,False,
Left-Back,left,,2022-07-25,Leif Davis,182,596446,['England'],20000000,Leeds United,26,1999-12-31,,,,False,
Right-Back,right,,2024-01-07,Ben Johnson,184,468002,['England'],6000000,West Ham United,26,2000-01-24,,,,False,
Right-Back,right,,2023-01-19,Harry Clarke,180,528892,['England'],2500000,Arsenal FC U21,25,2001-02-03,,,,False,
Right-Back,right,,2025-08-28,Darnell Furlong,183,351755,"['England', 'Montserrat']",2500000,West Bromwich Albion,30,1995-10-31,,,,False,
Defensive Midfield,right,,2025-07-13,Azor Matusiwa,173,315145,"['Netherlands', 'Angola']",12000000,Stade Rennais FC,28,1998-04-28,,,,False,
Central Midfield,right,,2025-08-29,Marcelino Núñez,173,715558,['Chile'],14000000,Norwich City,26,2000-01-03,,,,False,
Central Midfield,right,,2023-01-07,Jack Taylor,185,458178,"['Ireland', 'England']",3000000,: Ablöse €1.75m,28,1998-06-23,,,,False,
Central Midfield,left,,2022-01-07,Cameron Humphreys,178,871335,['England'],600000,Ipswich Town U21,22,2003-10-30,,,,False,
Right Midfield,right,unknown injury - Return unknown,2025-08-22,Kasey McAteer,177,621193,"['Ireland', 'England']",10000000,Leicester City,24,2001-11-22,,,,False,
Right Midfield,right,,2021-01-07,Wes Burns,173,255731,['Wales'],1500000,Fleetwood Town,31,1994-11-23,,,,False,
Attacking Midfield,right,,2026-01-23,Anis Mehmeti,180,530813,"['Albania', 'England']",15000000,Bristol City,25,2001-09-01,,,,False,
Attacking Midfield,right,,2024-08-16,Sammie Szmodics,168,292139,"['Ireland', 'Hungary']",3500000,Blackburn Rovers,30,1995-09-24,,,,False,
Left Winger,right,,2025-01-15,Jaden Philogene,181,665390,"['England', 'Dominica']",20000000,Aston Villa,24,2002-08-02,,,,False,
Left Winger,right,,2024-08-24,Jack Clarke,181,559794,['England'],20000000,Sunderland AFC,25,2000-11-23,,,,False,
Right Winger,left,,2026-07-21,Abdul Fatawu,177,864121,['Ghana'],20000000,Leicester City,22,2004-08-03,,,,False,
Right Winger,left,,2025-08-29,Sindre Walle Egeli,182,923504,['Norway'],15000000,FC Nordsjaelland,20,2006-06-21,,,,False,
Right Winger,right,,2024-08-28,Chiedozie Ogbene,181,392591,"['Ireland', 'Nigeria']",4000000,Luton Town,29,1997-01-05,,,,False,
Centre-Forward,right,,2023-07-13,George Hirst,191,420808,"['Scotland', 'England']",10000000,Leicester City,27,1999-02-15,,,,False,
Centre-Forward,right,,2026-08-07,Emersonn,193,743599,['Brazil'],8000000,FC Toulouse,22,2004-07-16,,,,False,
Centre-Forward,right,,2026-01-07,Chuba Akpom,183,197642,"['England', 'Nigeria']",3500000,Ajax Amsterdam,30,1995-09-10,,,,False,
Centre-Forward,right,,2024-01-29,Ali Al-Hamadi,187,610581,"['Iraq', 'England']",1500000,AFC Wimbledon,24,2002-01-03,,,,False,
