Season,Team,Player,Position
2000/01,Arsenal,Alberto Méndez,Attacking Midfield
2000/01,Arsenal,Alexander Manninger,Goalkeeper
2000/01,Arsenal,Ashley Cole,Left-Back
2000/01,Arsenal,Christopher Wreh,Centre-Forward
2000/01,Arsenal,David Seaman,Goalkeeper
2000/01,Arsenal,Dennis Bergkamp,Second Striker
2000/01,Arsenal,Edú Gaspar,Central Midfield
2000/01,Arsenal,Freddie Ljungberg,Right Midfield
2000/01,Arsenal,Gilles Grimandi,Defensive Midfield
2000/01,Arsenal,Guy Demel,Right-Back
2000/01,Arsenal,Igors Stepanovs,Centre-Back
2000/01,Arsenal,Jermaine Pennant,Right Winger
2000/01,Arsenal,John Lukic,Goalkeeper
2000/01,Arsenal,Laurén,Right-Back
2000/01,Arsenal,Lee Dixon,Right-Back
2000/01,Arsenal,Martin Keown,Centre-Back
2000/01,Arsenal,Matthew Upson,Centre-Back
2000/01,Arsenal,Moritz Volz,Right-Back
2000/01,Arsenal,Nelson Vivas,Right-Back
2000/01,Arsenal,Nwankwo Kanu,Centre-Forward
2000/01,Arsenal,Oleg Luzhnyi,Right-Back
2000/01,Arsenal,Paolo Vernazza,Central Midfield
2000/01,Arsenal,Patrick Vieira,Defensive Midfield
2000/01,Arsenal,Ray Parlour,Central Midfield
2000/01,Arsenal,Robert Pirès,Left Midfield
2000/01,Arsenal,Sebastian Svärd,Defensive Midfield
2000/01,Arsenal,Stefan Malz,Left-Back
2000/01,Arsenal,Stuart Taylor,Goalkeeper
2000/01,Arsenal,Sylvain Wiltord,Second Striker
2000/01,Arsenal,Sylvinho,Left-Back
2000/01,Arsenal,Thierry Henry,Centre-Forward
2000/01,Arsenal,Tomas Danilevičius,Centre-Forward
2000/01,Arsenal,Tony Adams,Centre-Back
2000/01,Aston Villa,Alan Wright,Left-Back
2000/01,Aston Villa,Alpay Özalan,Centre-Back
2000/01,Aston Villa,Darius Vassell,Centre-Forward
2000/01,Aston Villa,David Ginola,Left Winger
2000/01,Aston Villa,David James,Goalkeeper
2000/01,Aston Villa,Dion Dublin,Centre-Forward
2000/01,Aston Villa,Gareth Barry,Defensive Midfield
2000/01,Aston Villa,Gareth Southgate,Centre-Back
2000/01,Aston Villa,George Boateng,Defensive Midfield
2000/01,Aston Villa,Gilles De Bilde,Centre-Forward
2000/01,Aston Villa,Ian Taylor,Central Midfield
2000/01,Aston Villa,Jlloyd Samuel,Left-Back
2000/01,Aston Villa,John McGrath,Left Midfield
2000/01,Aston Villa,Jonathan Bewers,Right-Back
2000/01,Aston Villa,Juan Pablo Ángel,Centre-Forward
2000/01,Aston Villa,Julian Joachim,Centre-Forward
2000/01,Aston Villa,Lee Hendrie,Central Midfield
2000/01,Aston Villa,Luc Nilis,Centre-Forward
2000/01,Aston Villa,Mark Delaney,Right-Back
2000/01,Aston Villa,Neil Cutler,Goalkeeper
2000/01,Aston Villa,Paul Merson,Attacking Midfield
2000/01,Aston Villa,Peter Enckelman,Goalkeeper
2000/01,Aston Villa,Stefan Moore,Centre-Forward
2000/01,Aston Villa,Stephen Cooke,Right Midfield
2000/01,Aston Villa,Steve Staunton,Left-Back
2000/01,Aston Villa,Steve Stone,Right Midfield
2000/01,Aston Villa,Thomas Hitzlsperger,Central Midfield
2000/01,Aston Villa,Ugo Ehiogu,Centre-Back
2000/01,Bradford,Aidan Davison,Goalkeeper
2000/01,Bradford,Andrew O'Brien,Centre-Back
2000/01,Bradford,Andy Myers,Left-Back
2000/01,Bradford,Ashley Ward,Centre-Forward
2000/01,Bradford,Ashley Westwood,Centre-Back
2000/01,Bradford,Benny Carbone,Second Striker
2000/01,Bradford,Billy McKinlay,Right Midfield
2000/01,Bradford,Dan Petrescu,Right-Back
2000/01,Bradford,David Hopkin,Right Midfield
2000/01,Bradford,David Wetherall,Centre-Back
2000/01,Bradford,Dean Saunders,Centre-Forward
2000/01,Bradford,Dean Windass,Centre-Forward
2000/01,Bradford,Eoin Jess,Second Striker
2000/01,Bradford,Gareth Grant,Striker
2000/01,Bradford,Gareth Whalley,Central Midfield
2000/01,Bradford,Gary Locke,Defensive Midfield
2000/01,Bradford,Gary Walsh,Goalkeeper
2000/01,Bradford,Gunnar Halle,Right-Back
2000/01,Bradford,Ian Nolan,Right-Back
2000/01,Bradford,Isaiah Rankin,Centre-Forward
2000/01,Bradford,Jamie Lawrence,Central Midfield
2000/01,Bradford,Lee Mills,Centre-Forward
2000/01,Bradford,Lee Sharpe,Left Midfield
2000/01,Bradford,Lewis Emanuel,Left-Back
2000/01,Bradford,Mark Bower,Centre-Back
2000/01,Bradford,Matt Clarke,Goalkeeper
2000/01,Bradford,Matt Lawrence,Centre-Back
2000/01,Bradford,Neville Southall,Goalkeeper
2000/01,Bradford,Peter Atherton,Centre-Back
2000/01,Bradford,Peter Beagrie,Left Winger
2000/01,Bradford,Robbie Blake,Second Striker
2000/01,Bradford,Robert Molenaar,Centre-Back
2000/01,Bradford,Scott Kerr,Central Midfield
2000/01,Bradford,Stan Collymore,Centre-Forward
2000/01,Bradford,Stuart McCall,Central Midfield
2000/01,Bradford,Wayne Jacobs,Left-Back
2000/01,Charlton,Andy Hunt,Centre-Forward
2000/01,Charlton,Andy Todd,Centre-Back
2000/01,Charlton,Ben Roberts,Goalkeeper
2000/01,Charlton,Carl Tiler,Centre-Back
2000/01,Charlton,Charlie MacDonald,Centre-Forward
2000/01,Charlton,Chris Powell,Left-Back
2000/01,Charlton,Claus Jensen,Attacking Midfield
2000/01,Charlton,Clive Mendonca,Centre-Forward
2000/01,Charlton,Dean Kiely,Goalkeeper
2000/01,Charlton,Eddie Youds,Centre-Back
2000/01,Charlton,Graham Stuart,Right Winger
2000/01,Charlton,Greg Shields,Right-Back
2000/01,Charlton,John Robinson,Right Winger
2000/01,Charlton,John Salako,Left Midfield
2000/01,Charlton,Jonatan Johansson,Centre-Forward
2000/01,Charlton,Jonathan Fortune,Centre-Back
2000/01,Charlton,Karim Bagheri,Defensive Midfield
2000/01,Charlton,Kemal Izzet,Central Midfield
2000/01,Charlton,Kevin Lisbie,Centre-Forward
2000/01,Charlton,Mark DeBolla,Striker
2000/01,Charlton,Mark Fish,Centre-Back
2000/01,Charlton,Mark Kinsella,Defensive Midfield
2000/01,Charlton,Martin Pringle,Centre-Forward
2000/01,Charlton,Mathias Svensson,Centre-Forward
2000/01,Charlton,Paul Konchesky,Left-Back
2000/01,Charlton,Radostin Kishishev,Defensive Midfield
2000/01,Charlton,Richard Rufus,Centre-Back
2000/01,Charlton,Sasa Ilic,Goalkeeper
2000/01,Charlton,Scott Parker,Central Midfield
2000/01,Charlton,Shaun Bartlett,Centre-Forward
2000/01,Charlton,Shaun Newton,Right Midfield
2000/01,Charlton,Steve Brown,Centre-Back
2000/01,Charlton,Tony Caig,Goalkeeper
2000/01,Chelsea,Albert Ferrer,Right-Back
2000/01,Chelsea,Bernard Lambourde,Centre-Back
2000/01,Chelsea,Carlo Cudicini,Goalkeeper
2000/01,Chelsea,Celestine Babayaro,Left-Back
2000/01,Chelsea,Christian Panucci,Right-Back
2000/01,Chelsea,Danny Slatter,Midfielder
2000/01,Chelsea,Dennis Wise,Defensive Midfield
2000/01,Chelsea,Ed de Goey,Goalkeeper
2000/01,Chelsea,Eidur Gudjohnsen,Centre-Forward
2000/01,Chelsea,Frank Leboeuf,Centre-Back
2000/01,Chelsea,Gabriele Ambrosetti,Left Midfield
2000/01,Chelsea,Gianfranco Zola,Second Striker
2000/01,Chelsea,Graeme Le Saux,Left-Back
2000/01,Chelsea,Gustavo Poyet,Attacking Midfield
2000/01,Chelsea,Jes Høgh,Centre-Back
2000/01,Chelsea,Jesper Grønkjær,Left Winger
2000/01,Chelsea,Jimmy Floyd Hasselbaink,Centre-Forward
2000/01,Chelsea,Jody Morris,Central Midfield
2000/01,Chelsea,John Terry,Centre-Back
2000/01,Chelsea,Jon Harley,Left-Back
